Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Alex Acker,25.8,LAC,Wing,132,48,-0.8,-1,66,+1.5,79,+1.8%,99,-4.6%,4,-4.9%,4,-6.4,31,+2.3,32,+1.0%,11,-1.7%,41,+0.6%,99,-9.4
Arron Afflalo,23.0,DET,Wing,1193,58,+0.3,+1,63,+0.9,60,+0.4%,37,+0.5%,71,+1.4%,84,+3.7,45,+0.6,66,-0.9%,57,+0.3%,39,+0.7%,9,+6.2
Alexis Ajinca,20.5,CHA,Big,136,94,+9.8,+26,64,+1.3,40,-0.7%,77,-0.9%,40,-0.7%,79,+2.9,97,-8.6,96,-4.2%,100,+6.7%,1,+7.7%,1,+11.6
LaMarcus Aldridge,23.3,POR,Big,2993,98,+13.3,+32,97,+9.8,86,+2.4%,99,-3.9%,66,+1.0%,55,+0.3,81,-3.5,37,+0.7%,52,+0.1%,80,-2.0%,90,-4.6
Joe Alexander,21.9,MIL,Forward,612,32,-3.5,-9,55,+0.1,37,-1.0%,27,+1.0%,90,+4.0%,71,+1.8,20,+3.6,67,-1.0%,28,-0.8%,66,-0.9%,0,+14.0
Malik Allen,30.3,MIL,Big,522,53,-0.3,-1,38,-1.9,22,-2.0%,97,-3.1%,3,-5.3%,42,-0.9,65,-1.6,91,-3.1%,65,+0.6%,17,+2.5%,45,+0.6
Ray Allen,33.3,BOS,Wing,2866,88,+7.5,+15,94,+7.2,98,+5.3%,75,-0.7%,21,-2.1%,20,-3.4,54,-0.3,50,+0.1%,21,-1.1%,72,-1.3%,95,-6.2
Tony Allen,26.8,BOS,Wing,782,65,+1.7,+4,22,-4.2,8,-4.2%,41,+0.4%,60,+0.5%,96,+6.7,90,-5.9,89,-3.0%,97,+3.2%,39,+0.7%,2,+9.4
Morris Almond,23.7,UTA,Wing,233,6,-12.2,-32,0,-18.2,1,-7.8%,0,+5.5%,60,+0.5%,84,+3.7,91,-6.0,98,-5.3%,8,-1.9%,79,-1.9%,79,-2.8
Rafer Alston,32.3,HOU,Point,1587,51,-0.5,-1,58,+0.4,41,-0.7%,92,-2.0%,13,-3.0%,81,+3.1,42,+0.9,55,-0.2%,14,-1.5%,30,+1.4%,84,-3.3
Rafer Alston,32.3,ORL,Point,853,32,-3.3,-7,38,-1.9,36,-1.0%,88,-1.7%,5,-4.6%,73,+2.1,36,+1.4,52,-0.0%,79,+1.2%,3,+5.4%,39,+1.3
Lou Amundson,25.9,PHX,Big,909,42,-1.6,-4,30,-2.7,8,-4.3%,9,+2.2%,100,+10.1%,46,-0.5,61,-1.1,70,-1.2%,89,+2.1%,14,+2.8%,10,+5.9
Chris Andersen,30.3,DEN,Big,1412,44,-1.4,-3,52,-0.3,39,-0.8%,10,+2.2%,97,+6.0%,81,+3.0,40,+1.1,88,-2.9%,17,-1.3%,3,+5.4%,65,-1.4
Ryan Anderson,20.5,NJN,Big,1233,63,+1.4,+3,50,-0.5,53,-0.1%,19,+1.5%,69,+1.2%,81,+3.2,67,-1.9,56,-0.3%,74,+0.9%,82,-2.2%,50,+0.3
