Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Steven Adams,22.3,OKC,Big,546,87,62.4%,84,62.4%,0,0.0%,50,63.0%,32,74%,26,70%,0,100%,0,0%
LaMarcus Aldridge,30.3,SAS,Big,336,55,52.7%,50,51.5%,0,100.0%,100,89.1%,87,53%,53,60%,76,49%,55,100%
Al-Farouq Aminu,25.1,POR,Forward,370,67,54.7%,56,48.3%,81,40.0%,38,72.4%,11,82%,50,60%,17,88%,56,96%
Kyle Anderson,22.1,SAS,Forward,100,22,41.7%,17,37.5%,0,50.0%,0,83.3%,100,29%,100,20%,94,0%,0,100%
Trevor Ariza,30.3,HOU,Forward,180,0,30.0%,22,39.1%,0,14.8%,0,75.0%,72,54%,89,25%,72,40%,0,100%
Leandro Barbosa,32.9,GSW,Wing,212,97,65.5%,100,66.0%,72,42.9%,0,84.6%,38,68%,38,53%,31,69%,0,100%
J.J. Barea,31.3,DAL,Point,100,13,34.8%,25,38.5%,0,14.3%,0,100.0%,81,18%,88,0%,56,13%,0,100%
Harrison Barnes,23.4,GSW,Forward,720,28,44.4%,28,40.0%,56,34.7%,63,76.5%,50,69%,22,67%,61,44%,61,96%
Matt Barnes,35.6,MEM,Forward,138,17,38.9%,39,46.4%,6,16.7%,0,80.0%,56,69%,39,64%,33,50%,0,100%
Nicolas Batum,26.9,CHA,Wing,143,21,44.4%,66,47.8%,16,27.3%,0,85.0%,76,47%,100,0%,21,80%,100,67%
Kent Bazemore,26.3,ATL,Wing,324,17,43.7%,59,46.7%,12,27.1%,0,68.2%,28,73%,14,74%,52,40%,90,81%
Patrick Beverley,27.3,HOU,Point,128,0,31.1%,0,30.4%,0,21.4%,0,100.0%,19,40%,88,0%,19,20%,0,100%
Bismack Biyombo,23.2,TOR,Big,504,76,58.0%,76,58.0%,0,0.0%,44,59.7%,26,75%,5,78%,68,50%,0,0%
Andrew Bogut,30.9,GSW,Big,364,84,62.3%,92,64.0%,0,0.0%,0,35.7%,50,69%,39,66%,32,80%,0,0%
Kentavious Caldwell-Pope,22.7,DET,Wing,160,79,56.0%,41,43.5%,84,44.4%,0,71.4%,14,82%,0,100%,52,40%,52,92%
DeMarre Carroll,29.3,TOR,Forward,595,33,46.8%,33,44.3%,38,32.9%,50,75.0%,39,74%,33,64%,33,50%,72,92%
Ian Clark,24.7,GSW,Combo,109,92,51.4%,100,58.3%,0,25.0%,0,85.7%,23,65%,15,57%,15,57%,8,100%
Allen Crabbe,23.6,POR,Wing,298,90,63.2%,93,60.5%,76,44.1%,0,73.7%,21,82%,41,50%,28,76%,0,100%
Jamal Crawford,35.6,LAC,Wing,197,7,40.2%,34,42.7%,8,19.0%,0,88.0%,93,31%,97,14%,72,25%,0,100%
Jae Crowder,25.3,BOS,Forward,195,11,33.8%,11,30.0%,13,24.4%,0,63.6%,22,79%,22,67%,0,0%,83,90%
Stephen Curry,27.6,GSW,Point,612,94,56.8%,69,48.6%,92,41.2%,86,91.6%,25,39%,19,33%,31,19%,69,50%
Ed Davis,26.4,POR,Big,204,63,55.3%,61,55.3%,0,0.0%,31,57.6%,71,62%,76,50%,0,100%,0,0%
DeMar DeRozan,26.2,TOR,Wing,745,3,40.1%,28,41.1%,4,16.0%,0,81.3%,97,29%,83,30%,69,27%,0,100%
Matthew Dellavedova,25.1,CLE,Point,218,19,39.8%,31,40.5%,17,25.9%,0,72.2%,0,64%,0,50%,6,55%,19,86%
Luol Deng,30.5,MIA,Forward,492,78,55.8%,78,50.6%,94,42.1%,75,84.2%,33,75%,11,73%,56,47%,0,100%
Boris Diaw,33.5,SAS,Big,138,34,48.8%,29,47.2%,0,40.0%,0,75.0%,95,47%,89,40%,82,43%,55,100%
Goran Dragic,29.5,MIA,Point,470,75,48.5%,63,47.2%,75,35.6%,14,76.7%,38,32%,6,39%,38,18%,69,50%
Andre Drummond,22.2,DET,Big,131,61,52.8%,58,52.8%,0,0.0%,0,32.4%,76,61%,21,72%,92,40%,0,0%
Tim Duncan,39.5,SAS,Big,216,16,42.3%,18,42.3%,0,0.0%,0,71.4%,8,82%,3,85%,34,78%,0,0%
Kevin Durant,27.1,OKC,Forward,723,39,47.2%,61,48.5%,19,28.7%,88,88.8%,78,53%,61,58%,67,43%,94,74%
Monta Ellis,30.0,IND,Combo,225,38,48.0%,38,47.3%,38,33.3%,0,80.0%,62,27%,46,27%,62,18%,85,43%
Festus Ezeli,26.0,GSW,Big,187,74,56.9%,71,56.9%,0,0.0%,19,40.5%,45,70%,42,66%,18,88%,0,0%
Jordan Farmar,28.9,MEM,Point,100,6,34.6%,13,35.3%,0,22.2%,0,100.0%,94,13%,88,0%,88,0%,69,50%
Raymond Felton,31.3,DAL,Combo,160,77,50.8%,85,52.8%,0,27.3%,0,63.6%,69,26%,92,15%,54,20%,8,100%
Randy Foye,32.1,OKC,Combo,148,0,38.9%,0,37.5%,0,26.3%,0,100.0%,0,88%,100,0%,0,100%,8,100%
Channing Frye,32.5,CLE,Big,227,100,79.7%,82,60.0%,100,59.1%,0,80.0%,0,95%,13,75%,0,100%,55,100%
Paul George,25.5,IND,Forward,274,61,52.8%,44,47.5%,88,41.9%,100,95.2%,83,43%,83,31%,83,23%,89,78%
Manu Ginobili,38.3,SAS,Wing,190,59,53.3%,31,42.3%,92,45.0%,0,78.3%,59,60%,41,50%,86,20%,69,89%
Danny Green,28.4,SAS,Wing,263,100,65.6%,10,37.5%,100,50.0%,0,66.7%,7,87%,28,60%,3,100%,52,92%
Draymond Green,25.7,GSW,Big,876,45,50.4%,26,47.1%,33,37.3%,63,73.8%,68,62%,74,51%,97,28%,97,97%
