Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Steven Adams,31.3,HOU,Big,154,12,11.0%,38,114.3,9,3.8%,21,0.35,47,12.8%
Bam Adebayo,27.3,MIA,Big,233,82,23.0%,15,100.0,74,16.2%,68,0.71,68,11.1%
Santi Aldama,23.8,MEM,Big,177,38,15.2%,59,120.3,59,9.9%,59,0.65,82,9.3%
Nickeil Alexander-Walker,26.2,MIN,Wing,300,63,19.6%,21,102.6,79,16.4%,79,0.84,17,16.6%
Jarrett Allen,26.5,CLE,Big,261,29,13.6%,97,153.2,32,6.4%,35,0.47,6,20.4%
Giannis Antetokounmpo,29.9,MIL,Big,187,100,37.5%,85,131.0,100,35.1%,85,0.94,35,14.7%
OG Anunoby,27.3,NYK,Forward,703,48,17.2%,35,108.5,13,5.1%,13,0.30,52,10.8%
Paolo Banchero,22.0,ORL,Big,230,97,35.9%,21,101.9,88,23.5%,62,0.65,74,9.9%
Desmond Bane,26.4,MEM,Wing,211,96,26.0%,29,104.6,96,19.1%,67,0.73,13,17.0%
Nicolas Batum,35.9,LAC,Forward,170,9,9.7%,74,118.2,61,10.4%,96,1.08,83,8.3%
Malik Beasley,27.9,DET,Wing,163,67,19.9%,33,105.2,21,7.6%,21,0.38,58,9.2%
Anthony Black,20.8,ORL,Combo,107,42,19.2%,47,108.2,0,5.7%,0,0.30,95,4.3%
Bogdan Bogdanovic,32.2,LAC,Wing,114,83,22.4%,4,90.9,83,17.7%,71,0.79,0,19.1%
Christian Braun,23.5,DEN,Wing,544,25,13.4%,46,110.6,33,9.1%,63,0.68,67,8.5%
Mikal Bridges,28.2,NYK,Forward,705,74,18.6%,22,104.9,74,12.0%,57,0.64,22,12.7%
Dillon Brooks,28.8,HOU,Forward,205,61,18.0%,57,114.7,39,6.6%,35,0.37,43,11.1%
Jaylen Brown,28.0,BOS,Wing,402,100,30.3%,38,108.5,100,19.9%,58,0.66,29,14.6%
Jalen Brunson,28.2,NYK,Point,680,93,35.1%,50,117.0,86,32.0%,50,0.91,64,9.9%
Thomas Bryant,27.3,IND,Big,146,18,11.8%,79,129.7,6,3.0%,9,0.26,15,18.2%
Jimmy Butler,35.1,GSW,Forward,436,78,24.8%,65,116.0,96,25.5%,91,1.03,100,6.2%
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,4,10.2%,0,76.9,29,8.2%,75,0.80,92,4.7%
Wendell Carter,25.5,ORL,Big,188,35,14.6%,68,122.8,38,6.8%,32,0.47,32,14.9%
Alex Caruso,30.7,OKC,Forward,561,39,14.6%,83,119.8,78,13.0%,87,0.89,74,9.4%
Mike Conley,37.1,MIN,Point,356,7,15.9%,0,89.1,29,19.1%,71,1.20,79,9.4%
Cade Cunningham,23.1,DET,Combo,247,95,34.7%,16,101.4,100,37.4%,79,1.08,11,15.8%
Stephen Curry,36.6,GSW,Point,318,57,28.1%,86,130.5,43,24.3%,36,0.86,29,14.0%
Donte DiVincenzo,27.8,MIN,Combo,369,26,18.6%,11,100.8,53,19.0%,68,1.02,5,17.1%
Luka Doncic,25.7,LAL,Point,207,79,34.2%,64,121.8,50,26.9%,14,0.78,36,13.2%
Luguentz Dort,25.5,OKC,Wing,665,8,11.3%,25,104.6,4,4.0%,13,0.35,42,11.4%
Kris Dunn,30.6,LAC,Combo,151,5,12.9%,5,100.0,11,7.9%,16,0.61,100,2.4%
Jalen Duren,21.0,DET,Big,203,26,13.5%,94,142.0,79,16.4%,100,1.22,21,16.0%
Tari Eason,23.5,HOU,Forward,131,57,18.0%,39,112.8,43,7.0%,39,0.39,0,19.0%
Zach Edey,22.6,MEM,Big,172,21,12.4%,47,120.0,47,8.3%,65,0.67,12,19.0%
Anthony Edwards,23.2,MIN,Combo,584,89,28.4%,68,114.5,79,24.4%,58,0.86,74,10.2%
Dorian Finney-Smith,31.5,LAL,Forward,169,4,9.6%,26,106.9,70,11.1%,100,1.15,9,14.3%
Darius Garland,24.8,CLE,Point,147,71,30.9%,29,112.5,64,27.7%,43,0.89,21,14.4%
