Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Alex Abrines,23.3,OKC,Wing,976,77,+2.9,84,+4.2,54,+0.3%,12,+2.4%,66,+1.1,67,+1.0,51,-0.0
Quincy Acy,26.1,BKN,Big,492,70,+2.0,42,-1.5,95,+6.3%,18,+2.0%,49,-0.1,54,+0.2,42,-3.0
Steven Adams,23.3,OKC,Big,2381,77,+2.8,59,+0.4,80,+2.5%,97,-3.7%,41,-0.7,55,+0.3,34,-5.1
Arron Afflalo,31.0,SAC,Wing,1576,46,-1.5,78,+3.4,41,-0.7%,4,+3.7%,39,-0.9,48,-0.1,36,-4.6
Alexis Ajinca,28.5,NOP,Big,566,25,-4.5,34,-2.9,44,-0.5%,38,+0.6%,19,-3.1,20,-2.2,37,-4.5
Cole Aldrich,28.0,MIN,Big,497,36,-3.1,21,-4.9,77,+2.1%,60,-0.4%,53,+0.2,56,+0.3,55,+1.0
LaMarcus Aldridge,31.3,SAS,Big,2325,53,-0.3,64,+0.9,24,-2.1%,19,+1.9%,28,-1.9,17,-2.4,69,+5.6
Lavoy Allen,27.7,IND,Big,829,31,-3.6,4,-9.8,99,+9.3%,42,+0.4%,92,+5.2,94,+4.0,54,+0.9
Tony Allen,34.8,MEM,Wing,1906,53,-0.3,53,-0.3,43,-0.6%,87,-2.2%,80,+2.6,86,+2.6,44,-2.3
Al-Farouq Aminu,26.1,POR,Big,1756,57,+0.0,85,+4.7,2,-7.1%,35,+0.8%,5,-6.1,3,-4.8,33,-5.3
Alan Anderson,34.0,LAC,Wing,258,24,-4.7,78,+3.5,21,-2.4%,1,+5.4%,41,-0.6,45,-0.3,48,-1.0
Justin Anderson,23.0,DAL,Wing,627,12,-7.1,4,-9.8,88,+3.6%,47,+0.1%,49,-0.1,65,+0.8,20,-9.7
Justin Anderson,23.0,PHI,Wing,462,27,-4.3,28,-3.9,45,-0.4%,4,+3.7%,30,-1.6,9,-3.5,91,+18.2
Kyle Anderson,23.1,SAS,Wing,912,34,-3.3,37,-2.5,55,+0.3%,55,-0.2%,75,+2.0,82,+2.1,41,-3.2
