Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Alex Abrines,24.3,OKC,Wing,106,95,-8.3%,35,+3.1%,52,-0.5%,25,+6.9%,36,+2.3%,100,-41.2%,86,-6.6%,99,-17.3%
Steven Adams,24.3,OKC,Big,199,44,+1.6%,64,-3.3%,87,-11.4%,8,+15.9%,50,0.0%,23,+10.0%,38,+2.4%,23,+5.1%
LaMarcus Aldridge,32.3,SAS,Big,175,19,+4.9%,61,-2.6%,75,-6.3%,11,+11.9%,23,+4.5%,16,+14.6%,39,+2.0%,19,+5.6%
Al-Farouq Aminu,27.1,POR,Big,130,39,+2.0%,42,+1.4%,27,+6.1%,27,+5.4%,19,+5.6%,80,-9.5%,46,+0.9%,60,-0.7%
Giannis Antetokounmpo,22.9,MIL,Forward,279,15,+5.8%,40,+1.5%,4,+20.4%,81,-9.0%,11,+9.2%,33,+5.7%,57,-0.8%,54,+0.4%
Carmelo Anthony,33.4,OKC,Big,193,7,+8.4%,17,+6.6%,56,-1.3%,90,-13.2%,76,-4.8%,7,+24.9%,19,+5.8%,6,+11.8%
Trevor Ariza,32.3,HOU,Wing,579,62,-1.7%,95,-9.8%,26,+6.4%,63,-2.6%,34,+2.7%,24,+9.4%,77,-4.2%,58,-0.3%
Aron Baynes,30.9,BOS,Big,372,65,-2.1%,67,-3.6%,58,-1.7%,28,+5.4%,44,+1.1%,58,-2.4%,45,+1.0%,56,+0.2%
Bradley Beal,24.3,WAS,Wing,215,2,+10.5%,25,+5.2%,10,+15.1%,99,-25.0%,47,+0.6%,9,+21.2%,1,+20.8%,0,+21.0%
Marco Belinelli,31.6,PHI,Wing,272,47,+1.2%,32,+3.3%,72,-5.1%,22,+7.6%,44,+1.4%,78,-9.4%,27,+4.4%,53,+0.4%
