Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,28.3,MEM,Big,109,79,+7.5,56,+0.6,13,-2.7%,41,-5.6,72,+1.0,93,+22.5%,66,+11.1,39,-0.5,12,-6.8%,29,-17.5
Kyle Anderson,28.1,MEM,Forward,211,73,+5.8,77,+2.7,21,-2.0%,66,+11.6,67,+0.8,24,-7.8%,63,+6.5,87,+2.1,45,-0.5%,77,+18.8
Giannis Antetokounmpo,26.9,MIL,Big,447,91,+14.9,67,+1.7,88,+3.3%,73,+17.2,73,+1.0,94,+23.7%,74,+29.5,61,+0.7,57,+1.3%,67,+11.5
Will Barton,30.8,DEN,Wing,172,33,-4.7,60,+1.1,99,+5.9%,21,-20.4,67,+0.7,86,+13.3%,3,-88.9,56,+0.4,80,+5.4%,29,-16.2
Malik Beasley,24.9,MIN,Wing,144,13,-11.3,17,-2.6,87,+3.1%,10,-28.3,30,-0.9,83,+12.4%,18,-37.5,21,-1.6,89,+7.1%,25,-19.6
Davis Bertans,29.0,DAL,Forward,179,55,+0.7,31,-1.5,90,+3.6%,19,-20.5,25,-1.2,48,-0.7%,12,-52.5,52,+0.3,98,+13.6%,64,+10.3
Patrick Beverley,33.3,MIN,Combo,226,22,-6.1,60,+0.9,68,+1.4%,56,+3.3,87,+2.0,57,+1.2%,79,+34.8,29,-1.1,40,-1.2%,23,-21.7
Nemanja Bjelica,33.5,GSW,Big,125,15,-10.5,76,+2.7,14,-2.5%,86,+23.9,54,+0.2,79,+10.2%,51,-3.4,81,+1.8,10,-7.4%,87,+32.0
Bojan Bogdanovic,32.5,UTA,Forward,214,28,-5.5,25,-1.8,26,-1.8%,61,+7.4,44,-0.1,6,-24.5%,48,-5.0,21,-1.7,63,+1.7%,71,+12.7
Devin Booker,25.0,PHX,Wing,365,56,+1.6,86,+3.1,67,+1.3%,81,+20.6,36,-0.6,87,+13.7%,27,-26.1,94,+3.6,67,+2.3%,94,+50.5
Jaylen Brown,25.0,BOS,Wing,919,52,+0.3,12,-3.5,45,-0.3%,14,-24.0,56,+0.4,32,-5.3%,57,+1.9,5,-4.0,60,+1.3%,7,-45.7
Reggie Bullock,30.6,DAL,Forward,707,58,+1.7,80,+2.7,73,+1.7%,94,+37.8,63,+0.7,75,+9.1%,71,+24.1,87,+2.5,71,+3.1%,98,+63.7
Jimmy Butler,32.1,MIA,Forward,628,92,+15.7,75,+2.6,69,+1.4%,78,+19.7,60,+0.5,60,+1.8%,75,+29.9,78,+1.6,85,+6.6%,76,+18.4
Jordan Clarkson,29.4,UTA,Combo,170,96,+17.5,29,-1.6,87,+3.2%,20,-20.5,12,-1.6,92,+20.6%,1,-100.0,47,+0.0,73,+3.7%,33,-11.9
Mike Conley,34.1,UTA,Point,174,3,-15.1,71,+2.0,40,-0.5%,58,+6.6,83,+1.8,21,-8.5%,91,+71.4,51,+0.2,44,-0.7%,40,-7.9
Pat Connaughton,28.8,MIL,Wing,317,67,+4.7,58,+0.8,43,-0.3%,60,+7.2,6,-2.2,25,-7.7%,17,-39.5,91,+2.9,49,+0.3%,88,+33.0
Jae Crowder,31.3,PHX,Forward,377,66,+4.2,46,-0.2,29,-1.6%,54,+1.5,13,-1.6,7,-22.4%,30,-21.0,64,+0.9,39,-1.3%,65,+11.2
Seth Curry,31.2,BKN,Wing,165,83,+8.7,13,-3.1,2,-6.9%,47,-3.8,94,+2.4,13,-14.6%,84,+41.3,1,-5.6,0,-18.9%,21,-22.3
