Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Quincy Acy,22.1,TOR,Big,291,72,2.8%,80,1.6%,14,6.4%,75,11.1%,11,11.6%,0,0.0%,20,20.0%
Jeff Adrien,26.7,CHA,Big,660,57,2.0%,57,1.2%,42,4.8%,58,9.4%,58,17.8%,69,5.5%,67,31.9%
Arron Afflalo,27.0,ORL,Wing,2288,17,0.3%,8,0.8%,83,2.4%,20,1.2%,45,9.6%,88,2.8%,40,7.0%
Cole Aldrich,24.0,HOU,Big,179,44,1.8%,14,0.7%,3,7.9%,12,5.8%,68,18.7%,93,10.0%,20,20.0%
Cole Aldrich,24.0,SAC,Big,149,87,3.6%,1,0.3%,58,4.3%,47,8.7%,67,18.3%,0,0.0%,100,80.0%
LaMarcus Aldridge,27.3,POR,Big,2782,43,1.8%,40,1.0%,95,2.6%,18,6.5%,65,18.2%,52,3.6%,59,29.9%
Lavoy Allen,23.7,PHI,Big,1623,46,1.8%,11,0.7%,51,4.6%,60,9.7%,31,14.7%,75,6.0%,10,13.8%
Ray Allen,37.3,MIA,Wing,1989,29,0.4%,61,1.6%,64,2.7%,55,2.4%,48,9.7%,59,0.9%,21,2.7%
Tony Allen,30.8,MEM,Wing,2102,88,1.2%,99,2.6%,16,4.5%,97,6.3%,69,11.6%,0,0.0%,91,27.2%
Al-Farouq Aminu,22.1,NOP,Wing,2049,92,1.4%,84,2.1%,53,3.0%,99,7.4%,100,22.6%,64,1.1%,94,30.7%
Lou Amundson,29.9,MIN,Big,121,70,2.8%,97,2.3%,12,6.5%,96,14.0%,20,13.5%,81,7.1%,40,25.0%
Lou Amundson,29.9,NOP,Big,205,45,1.8%,95,2.1%,30,5.6%,90,12.9%,47,16.9%,0,0.0%,92,46.2%
Chris Andersen,34.3,MIA,Big,604,92,4.0%,52,1.1%,21,5.8%,75,11.0%,41,16.3%,0,0.0%,99,54.5%
Alan Anderson,30.0,TOR,Wing,1406,15,0.2%,52,1.5%,26,3.9%,49,2.3%,24,8.3%,90,3.3%,48,8.6%
James Anderson,23.6,HOU,Wing,229,37,0.5%,43,1.3%,67,2.7%,94,5.7%,80,12.5%,0,0.0%,67,14.3%
Ryan Anderson,24.5,NOP,Big,2478,8,0.7%,16,0.8%,87,3.1%,39,7.9%,25,14.1%,63,4.8%,28,21.4%
Carmelo Anthony,28.4,NYK,Forward,2475,42,0.7%,23,1.0%,54,3.2%,67,5.4%,58,14.1%,96,8.1%,35,16.0%
Joel Anthony,30.2,MIA,Big,507,89,3.8%,55,1.2%,75,3.5%,48,8.7%,11,11.7%,82,7.4%,14,16.0%
Trevor Ariza,27.3,WAS,Wing,1450,65,0.7%,90,2.1%,88,2.0%,70,3.1%,88,13.3%,0,0.0%,99,39.6%
Darrell Arthur,24.6,MEM,Big,931,54,2.0%,58,1.2%,31,5.5%,27,7.4%,5,10.5%,90,9.1%,5,10.0%
Omer Asik,26.3,HOU,Big,2453,47,1.8%,20,0.8%,78,3.4%,85,12.2%,99,27.0%,46,3.0%,60,30.0%
D.J. Augustin,25.0,IND,Point,1150,20,0.1%,27,1.3%,84,2.1%,47,1.5%,6,6.1%,0,0.0%,55,3.3%
Gustavo Ayon,27.6,MIL,Big,137,38,1.6%,99,2.6%,13,6.5%,92,13.2%,71,19.1%,0,0.0%,69,33.3%
Gustavo Ayon,27.6,ORL,Big,567,27,1.2%,43,1.0%,25,5.7%,35,7.8%,46,16.9%,0,0.0%,73,35.5%
Jeff Ayres,25.5,IND,Big,268,44,1.8%,38,1.0%,38,5.1%,33,7.6%,42,16.5%,0,0.0%,32,23.1%
Luke Babbitt,23.4,POR,Forward,672,13,0.4%,21,0.9%,10,5.4%,4,1.5%,81,17.2%,94,6.9%,25,13.3%
Leandro Barbosa,29.9,BOS,Combo,476,64,0.5%,55,1.5%,29,4.2%,44,2.0%,52,8.1%,0,0.0%,0,0.0%
J.J. Barea,28.4,MIN,Combo,1642,0,0.0%,3,0.9%,64,3.0%,48,2.0%,89,11.0%,0,0.0%,45,2.2%
Andrea Bargnani,27.0,TOR,Big,995,28,1.3%,31,1.0%,99,2.3%,1,2.5%,1,9.9%,59,4.4%,28,22.2%
Harrison Barnes,20.4,GSW,Wing,2019,23,0.3%,26,1.1%,64,2.7%,63,2.8%,90,13.5%,0,0.0%,36,6.0%
Matt Barnes,32.6,LAC,Wing,1927,98,1.8%,72,1.7%,7,5.1%,96,5.8%,64,11.4%,94,4.8%,89,24.8%
Earl Barron,31.2,WAS,Big,114,68,2.6%,92,1.9%,11,6.5%,51,8.9%,96,24.7%,97,14.3%,60,30.0%
Will Barton,21.8,POR,Wing,808,57,0.6%,64,1.6%,74,2.5%,88,4.3%,92,13.8%,0,0.0%,18,2.4%
Brandon Bass,27.5,BOS,Big,2218,39,1.6%,28,0.9%,72,3.6%,17,6.4%,15,12.9%,58,4.3%,63,30.6%
Shane Battier,34.1,MIA,Forward,1771,85,1.7%,29,1.1%,31,3.9%,10,2.0%,2,6.9%,98,8.7%,8,9.4%
Nicolas Batum,23.9,POR,Wing,2798,96,1.6%,53,1.5%,87,2.1%,81,3.7%,59,10.8%,77,2.2%,88,24.5%
Jerryd Bayless,24.2,MEM,Combo,1685,74,0.5%,61,1.6%,21,4.4%,30,1.4%,80,9.5%,0,0.0%,52,2.9%
Aron Baynes,25.9,SAS,Big,107,66,2.4%,0,0.0%,20,6.0%,53,9.2%,49,17.0%,0,0.0%,0,0.0%
Kent Bazemore,23.3,GSW,Combo,169,91,0.9%,100,3.6%,2,5.8%,12,0.7%,27,6.9%,0,0.0%,0,0.0%
Bradley Beal,19.3,WAS,Wing,1720,71,0.8%,42,1.3%,57,2.8%,50,2.3%,50,9.8%,97,5.3%,37,6.1%
Michael Beasley,23.8,PHX,Forward,1510,75,1.2%,17,0.9%,69,2.8%,31,3.2%,73,15.5%,83,4.2%,15,11.3%
Rodrigue Beaubois,24.7,DAL,Combo,481,64,0.5%,56,1.5%,24,4.3%,45,2.0%,45,7.9%,0,0.0%,48,2.5%
Marco Belinelli,26.6,CHI,Wing,1843,10,0.2%,28,1.1%,42,3.3%,5,0.7%,11,6.9%,68,1.3%,40,7.1%
Patrick Beverley,24.3,HOU,Point,642,100,1.7%,78,2.2%,12,4.7%,100,6.2%,82,10.1%,100,5.8%,0,0.0%
