Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Glenn Robinson,31.8,SAS,Forward,135,100,24.4%,43,117.8,74,12.5%,26,0.51,96,8.2%
Rodney Rogers,33.4,PHI,Big,476,66,15.1%,18,106.4,78,9.2%,71,0.61,86,12.1%
Rodney Rogers,33.4,NOP,Big,881,89,18.2%,7,97.2,89,12.2%,80,0.67,39,19.3%
Jalen Rose,31.8,TOR,Wing,2707,86,21.6%,84,134.2,66,13.9%,30,0.64,48,13.8%
Malik Rose,29.9,SAS,Big,799,67,15.4%,50,125.5,70,7.9%,57,0.52,37,19.5%
Malik Rose,29.9,NYK,Forward,614,35,15.0%,74,130.7,2,5.0%,2,0.33,2,23.0%
Quinton Ross,23.5,LAC,Combo,1598,5,12.0%,56,112.0,4,11.2%,23,0.93,70,13.1%
Michael Ruffin,27.8,WAS,Big,1213,1,5.8%,36,116.5,65,7.5%,99,1.28,7,27.8%
Kareem Rush,24.0,CHA,Wing,854,84,20.9%,6,101.1,56,12.9%,24,0.62,77,10.9%
Bryon Russell,33.8,DEN,Wing,981,10,12.1%,68,127.9,47,11.7%,78,0.96,56,13.2%
John Salmons,24.9,PHI,Wing,941,16,13.2%,42,118.9,89,19.1%,98,1.45,9,18.6%
Jamal Sampson,21.5,CHA,Big,312,18,9.9%,59,128.6,20,3.8%,33,0.39,16,23.5%
Brian Scalabrine,26.6,BKN,Forward,1106,39,15.2%,17,103.9,80,13.0%,89,0.85,33,17.1%
Ansu Sesay,28.3,GSW,Forward,113,48,16.1%,26,113.9,96,18.3%,96,1.14,48,16.1%
Bobby Simmons,24.4,LAC,Wing,2798,60,17.3%,58,123.4,51,12.6%,50,0.73,61,12.9%
Brian Skinner,28.5,SAC,Big,698,22,10.7%,52,126.0,68,7.8%,85,0.72,68,15.8%
Brian Skinner,28.5,PHI,Big,237,24,11.0%,5,92.5,10,2.7%,14,0.25,37,19.8%
Donta Smith,20.9,ATL,Wing,416,29,14.0%,41,118.8,63,13.7%,82,0.98,14,17.6%
JR Smith,19.1,NOP,Wing,1833,78,20.1%,17,108.2,69,14.2%,46,0.71,51,13.6%
Jabari Smith,27.7,BKN,Big,593,43,12.7%,31,115.4,82,9.9%,90,0.78,24,21.5%
Joe Smith,29.3,MIL,Big,2266,29,11.6%,69,136.3,32,4.8%,37,0.41,82,13.3%
Josh Smith,18.9,ATL,Forward,2017,28,14.9%,63,124.0,48,9.8%,57,0.66,13,19.6%
Steven Smith,35.6,CHA,Wing,631,53,16.2%,87,135.5,74,15.4%,76,0.95,90,9.5%
Theron Smith,24.1,CHA,Forward,468,26,14.6%,0,76.4,46,9.6%,54,0.66,30,17.8%
Eric Snow,31.5,CLE,Point,1759,2,13.0%,11,100.3,30,25.3%,94,1.94,31,17.0%
Kirk Snyder,21.4,UTA,Wing,817,68,18.1%,8,102.8,3,7.2%,1,0.40,13,17.7%
Darius Songaila,26.7,SAC,Big,1591,53,13.8%,56,127.7,85,10.5%,87,0.76,80,13.9%
Pape Sow,22.9,TOR,Big,220,13,9.4%,39,117.5,2,1.3%,2,0.14,33,20.2%
Latrell Sprewell,34.1,MIN,Wing,2440,77,19.3%,20,109.0,48,11.9%,23,0.62,68,12.2%
Jerry Stackhouse,30.0,DAL,Wing,1578,83,20.8%,77,130.5,62,13.7%,34,0.66,42,14.2%
DeShawn Stevenson,23.6,ORL,Wing,1020,64,17.7%,12,104.5,36,10.6%,22,0.60,70,12.0%
Michael Stewart,29.5,ATL,Big,139,4,8.1%,62,131.6,40,5.4%,80,0.67,16,23.5%
Peja Stojakovic,27.4,SAC,Wing,2535,63,17.6%,85,134.3,17,8.6%,5,0.49,85,10.3%
Damon Stoudamire,31.2,POR,Point,2751,87,23.6%,33,111.0,44,28.3%,15,1.20,91,11.6%
Amar'e Stoudemire,22.0,PHX,Big,2862,94,19.4%,98,168.1,64,7.5%,32,0.38,73,15.0%
Erick Strickland,30.9,MIL,Combo,935,39,17.8%,19,98.2,49,19.6%,44,1.10,35,16.2%
Rod Strickland,38.3,HOU,Point,196,50,19.8%,0,65.1,59,30.7%,63,1.55,6,20.6%
Bob Sura,31.6,HOU,Point,1910,30,17.5%,81,126.8,33,26.6%,59,1.51,11,19.9%
Michael Sweetney,22.0,NYK,Big,1482,61,14.8%,93,155.2,29,4.6%,20,0.31,19,22.8%
Stromile Swift,24.9,MEM,Big,1221,91,18.5%,61,131.4,42,5.8%,21,0.31,57,17.3%
Wally Szczerbiak,27.7,MIN,Forward,2533,67,17.1%,87,139.5,70,12.3%,74,0.72,61,14.0%
Maurice Taylor,28.0,NYK,Big,430,88,18.1%,43,119.0,49,6.2%,25,0.34,43,18.7%
Maurice Taylor,28.0,HOU,Big,887,85,17.6%,11,102.9,86,10.5%,68,0.60,47,18.3%
Sebastian Telfair,19.4,POR,Combo,1290,81,21.3%,54,110.8,75,27.4%,72,1.29,12,20.4%
Jason Terry,27.1,DAL,Point,2381,46,19.1%,94,137.4,39,27.8%,56,1.45,65,14.4%
Billy Thomas,28.9,BKN,Wing,314,9,12.0%,5,98.7,11,7.9%,32,0.66,94,9.0%
Etan Thomas,26.6,WAS,Big,955,34,11.9%,67,135.0,15,3.3%,17,0.28,40,19.0%
