Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Steven Adams,20.3,OKC,Big,300,98,70.5%,91,72%,100,83%,7,0%,96,63%,0,0%,0,0%,0,0%
LaMarcus Aldridge,28.3,POR,Big,440,33,45.8%,54,62%,57,37%,54,38%,46,37%,0,100%,0,0%,0,100%
Ray Allen,38.3,MIA,Wing,526,66,53.9%,29,52%,63,40%,53,40%,58,40%,67,45%,38,37%,63,40%
Tony Allen,31.8,MEM,Wing,230,42,48.6%,55,62%,18,17%,61,43%,32,35%,0,0%,0,0%,0,0%
Chris Andersen,35.3,MIA,Big,316,80,57.9%,72,67%,2,0%,7,0%,0,0%,0,0%,0,0%,0,0%
Alan Anderson,31.0,BKN,Wing,257,39,48.4%,50,62%,37,33%,97,63%,84,47%,22,38%,0,20%,16,29%
Pero Antic,31.3,ATL,Big,169,0,20.2%,0,20%,2,0%,76,50%,20,29%,0,0%,0,13%,0,12%
Trevor Ariza,28.3,WAS,Wing,407,92,59.7%,53,62%,37,33%,34,33%,24,33%,0,47%,75,44%,78,45%
Omer Asik,27.3,HOU,Big,162,46,48.5%,9,48%,0,0%,76,50%,91,50%,0,0%,0,0%,0,0%
D.J. Augustin,26.0,CHI,Point,140,0,34.0%,5,36%,5,9%,37,40%,5,24%,0,0%,50,37%,18,27%
Harrison Barnes,21.4,GSW,Forward,141,18,47.7%,0,44%,18,22%,64,50%,18,33%,0,38%,0,42%,82,40%
Matt Barnes,33.6,LAC,Forward,400,27,50.0%,27,62%,36,36%,100,60%,91,48%,0,26%,50,35%,27,31%
Shane Battier,35.1,MIA,Wing,191,100,66.0%,63,67%,37,33%,0,0%,24,33%,0,75%,0,27%,88,47%
Nicolas Batum,24.9,POR,Wing,458,68,55.0%,84,73%,37,33%,84,50%,68,43%,0,46%,17,32%,34,35%
Bradley Beal,20.3,WAS,Wing,454,45,48.9%,34,56%,68,42%,42,37%,45,38%,0,33%,67,43%,66,42%
Marco Belinelli,27.6,SAS,Wing,308,79,57.8%,32,53%,87,56%,50,39%,76,44%,0,57%,83,46%,97,48%
Patrick Beverley,25.3,HOU,Combo,202,27,45.0%,18,44%,55,42%,0,0%,55,42%,0,29%,0,38%,22,32%
Andray Blatche,27.2,BKN,Big,171,28,45.6%,50,62%,28,20%,7,0%,9,12%,0,0%,0,0%,0,0%
Trevor Booker,25.9,WAS,Big,141,41,48.1%,17,54%,2,0%,98,86%,70,43%,0,0%,0,0%,0,0%
Carlos Boozer,31.9,CHI,Big,120,13,42.6%,4,47%,30,25%,70,46%,54,41%,0,0%,0,0%,0,0%
Chris Bosh,29.6,MIA,Big,684,78,57.2%,85,71%,43,30%,72,49%,78,44%,0,52%,75,34%,67,41%
Caron Butler,33.6,OKC,Wing,413,13,42.9%,42,58%,16,14%,8,20%,5,19%,11,35%,33,37%,38,36%
Jimmy Butler,24.1,CHI,Wing,217,24,43.9%,76,69%,63,40%,13,26%,13,29%,0,67%,8,24%,22,30%
Jose Calderon,32.1,DAL,Point,191,79,54.6%,16,50%,0,0%,84,48%,68,44%,0,40%,94,50%,94,48%
DeMarre Carroll,27.3,ATL,Wing,245,76,57.3%,71,69%,3,0%,47,38%,8,27%,0,40%,71,44%,75,43%
Vince Carter,36.8,DAL,Wing,190,74,56.6%,5,42%,37,33%,92,54%,71,44%,0,56%,79,45%,97,48%
Mario Chalmers,27.5,MIA,Point,528,42,50.0%,89,65%,11,17%,37,40%,0,21%,0,27%,75,42%,47,37%
Norris Cole,25.1,MIA,Combo,393,82,51.4%,82,60%,0,25%,18,33%,9,31%,0,37%,33,37%,44,37%
Darren Collison,26.2,LAC,Combo,222,9,40.6%,64,52%,64,43%,36,36%,36,39%,0,14%,0,0%,0,9%
Nick Collison,33.0,OKC,Big,172,15,42.9%,2,40%,96,67%,22,20%,48,38%,0,40%,0,0%,0,40%
Mike Conley,26.1,MEM,Point,266,16,44.6%,84,63%,79,50%,32,36%,84,46%,0,0%,0,14%,0,11%
Jamal Crawford,33.6,LAC,Combo,301,36,46.0%,36,50%,18,31%,100,47%,45,40%,0,27%,17,34%,33,33%
Stephen Curry,25.6,GSW,Point,296,74,54.4%,63,60%,21,23%,95,52%,53,41%,0,20%,81,44%,71,40%
Samuel Dalembert,33.5,DAL,Big,134,35,45.8%,35,58%,2,0%,7,0%,0,0%,0,0%,0,0%,0,0%
Glen Davis,27.8,LAC,Big,143,83,58.3%,83,71%,59,38%,93,55%,83,47%,0,0%,0,0%,0,0%
DeMar DeRozan,24.2,TOR,Wing,281,8,41.0%,58,63%,24,27%,39,34%,21,32%,0,45%,0,14%,28,33%
Boris Diaw,31.5,SAS,Big,595,74,56.1%,80,70%,70,43%,39,33%,52,40%,0,64%,25,30%,83,41%
Tim Duncan,37.5,SAS,Big,750,63,52.3%,74,67%,80,47%,37,31%,61,41%,0,0%,0,0%,0,0%
Mike Dunleavy,33.1,CHI,Wing,162,84,58.5%,76,69%,21,25%,18,30%,11,29%,0,43%,92,47%,84,46%
Kevin Durant,25.1,OKC,Forward,813,45,51.4%,55,71%,55,39%,55,47%,45,43%,0,55%,25,33%,45,35%
Monta Ellis,28.0,DAL,Wing,249,29,46.8%,26,51%,82,50%,32,33%,39,37%,0,33%,54,40%,47,39%
Derek Fisher,39.2,OKC,Combo,262,0,39.0%,0,25%,0,25%,73,38%,18,33%,0,42%,0,23%,11,29%
Kevin Garnett,37.5,BKN,Big,249,65,53.2%,96,76%,83,47%,57,39%,67,43%,0,0%,0,0%,0,0%
Marc Gasol,28.8,MEM,Big,299,7,40.9%,46,61%,52,34%,50,36%,39,34%,0,0%,0,0%,0,0%
Paul George,23.5,IND,Wing,779,53,51.5%,89,75%,32,30%,24,31%,16,31%,78,46%,42,37%,53,40%
Taj Gibson,28.4,CHI,Big,153,76,56.1%,67,67%,70,43%,59,40%,63,42%,0,0%,0,0%,0,0%
Manu Ginobili,36.3,SAS,Wing,585,63,53.0%,37,57%,76,45%,26,31%,55,39%,0,33%,58,41%,56,40%
Drew Gooden,32.1,WAS,Big,145,2,36.8%,13,53%,2,0%,76,50%,33,32%,0,0%,0,0%,0,0%
Marcin Gortat,29.7,WAS,Big,381,52,49.2%,65,66%,61,38%,46,35%,43,37%,0,0%,0,0%,0,0%
