Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Arron Afflalo,24.0,DEN,Wing,2157,39,-0.8%,23,-2.2%,62,+0.3%,85,+3.8%,85,+4.0%,87,+1.7%,10,-3.6%,30,-1.9%
LaMarcus Aldridge,24.3,POR,Big,2911,66,+0.8%,67,+1.2%,91,+3.1%,45,-0.3%,76,+2.8%,15,-1.3%,17,-2.6%,13,-3.9%
Malik Allen,31.3,DEN,Big,383,9,-3.8%,2,-6.2%,17,-2.1%,98,+9.2%,97,+7.1%,30,-0.7%,49,-0.1%,42,-0.8%
Ray Allen,34.3,BOS,Wing,2813,98,+5.1%,83,+2.7%,55,-0.0%,42,-0.6%,45,-0.6%,80,+1.0%,14,-3.1%,29,-2.1%
Tony Allen,27.8,BOS,Wing,838,19,-2.2%,72,+1.6%,78,+1.3%,42,-0.6%,57,+0.7%,14,-1.4%,40,-0.9%,27,-2.4%
Rafer Alston,33.3,NJN,Combo,744,20,-2.2%,9,-3.8%,67,+0.6%,54,+0.2%,57,+0.8%,49,-0.1%,87,+3.1%,80,+3.0%
Rafer Alston,33.3,MIA,Point,652,59,+0.4%,95,+4.6%,92,+3.2%,11,-3.8%,45,-0.6%,13,-1.4%,18,-2.6%,13,-4.0%
Lou Amundson,26.9,PHX,Big,1029,27,-1.7%,61,+0.6%,11,-2.7%,39,-0.7%,16,-3.5%,62,+0.3%,82,+2.5%,78,+2.8%
Chris Andersen,31.3,DEN,Big,1668,78,+1.7%,81,+2.5%,61,+0.2%,8,-4.3%,14,-4.0%,37,-0.5%,79,+2.0%,67,+1.5%
David Andersen,29.4,HOU,Big,848,38,-1.0%,7,-4.2%,79,+1.5%,57,+0.4%,68,+1.9%,14,-1.3%,90,+3.7%,75,+2.3%
Ryan Anderson,21.5,ORL,Big,837,69,+1.0%,44,-0.5%,3,-4.9%,37,-0.9%,5,-5.8%,51,-0.0%,98,+6.3%,95,+6.3%
Carmelo Anthony,25.4,DEN,Wing,2624,20,-2.2%,59,+0.5%,17,-2.1%,69,+1.8%,48,-0.4%,25,-0.8%,59,+0.7%,49,-0.2%
Joel Anthony,27.2,MIA,Big,1249,23,-1.9%,51,+0.0%,24,-1.6%,62,+0.9%,45,-0.6%,56,+0.1%,57,+0.5%,57,+0.6%
Gilbert Arenas,27.8,WAS,Combo,1166,45,-0.4%,87,+3.3%,46,-0.5%,5,-5.3%,5,-5.7%,42,-0.3%,84,+2.8%,76,+2.5%
Trevor Ariza,24.3,HOU,Wing,2625,68,+0.9%,91,+4.0%,29,-1.2%,25,-2.1%,18,-3.3%,40,-0.4%,47,-0.3%,44,-0.7%
Hilton Armstrong,24.9,NOH,Big,197,37,-1.0%,83,+2.7%,13,-2.7%,18,-2.9%,7,-5.5%,53,+0.0%,85,+2.8%,78,+2.8%
Carlos Arroyo,30.3,MIA,Point,1503,43,-0.6%,6,-4.2%,50,-0.2%,96,+7.1%,97,+6.9%,70,+0.6%,12,-3.3%,24,-2.6%
Darrell Arthur,21.6,MEM,Big,444,7,-4.1%,25,-2.0%,88,+2.6%,79,+2.8%,92,+5.4%,32,-0.6%,16,-2.7%,18,-3.3%
Chucky Atkins,35.2,DET,Point,607,28,-1.6%,47,-0.2%,54,-0.0%,17,-2.9%,20,-3.0%,62,+0.3%,86,+2.9%,82,+3.2%
D.J. Augustin,22.0,CHA,Point,1392,26,-1.7%,43,-0.7%,38,-0.8%,31,-1.4%,27,-2.3%,67,+0.5%,82,+2.5%,79,+3.0%
Jeff Ayres,22.5,POR,Big,376,91,+3.0%,17,-2.7%,57,+0.1%,72,+2.0%,70,+2.0%,84,+1.4%,42,-0.7%,58,+0.7%
Kelenna Azubuike,25.9,GSW,Wing,220,19,-2.3%,57,+0.4%,72,+0.9%,84,+3.6%,87,+4.5%,5,-2.1%,15,-2.8%,9,-4.9%
Marcus Banks,28.0,TOR,Point,183,0,-9.0%,50,-0.0%,54,-0.1%,69,+1.7%,66,+1.6%,43,-0.3%,35,-1.3%,35,-1.5%
