Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
LaMarcus Aldridge,29.3,POR,Big,208,51,-0.2%,0,+19.8%,75,-1.5%,100,-11.3%,100,-12.9%,52,-0.1%,94,-6.8%,94,-6.9%
Tony Allen,32.8,MEM,Wing,278,44,+0.7%,15,+3.5%,72,-1.4%,61,-1.4%,69,-2.8%,63,-0.7%,50,-0.0%,56,-0.7%
Al-Farouq Aminu,24.1,DAL,Forward,148,82,-4.3%,75,-3.0%,59,-0.7%,49,+0.1%,49,-0.7%,90,-2.4%,6,+6.0%,19,+3.6%
Alan Anderson,32.0,BKN,Wing,141,93,-9.4%,73,-2.9%,31,+1.0%,46,+0.3%,37,+1.3%,71,-1.0%,24,+2.6%,39,+1.6%
Giannis Antetokounmpo,19.9,MIL,Forward,200,60,-1.4%,98,-9.6%,18,+2.7%,31,+1.6%,21,+4.3%,77,-1.3%,5,+6.6%,9,+5.3%
Pero Antic,32.3,ATL,Big,195,56,-0.7%,43,+0.7%,65,-1.1%,30,+2.0%,42,+0.8%,66,-0.8%,59,-0.8%,69,-1.6%
Trevor Ariza,29.3,HOU,Forward,653,56,-0.9%,85,-4.4%,50,-0.1%,14,+5.8%,13,+5.7%,61,-0.6%,57,-0.7%,65,-1.3%
Leandro Barbosa,31.9,GSW,Combo,217,28,+2.5%,15,+3.8%,79,-2.0%,57,-0.9%,71,-2.8%,85,-1.8%,39,+0.9%,58,-0.9%
J.J. Barea,30.3,DAL,Combo,152,99,-16.7%,78,-3.4%,41,+0.2%,37,+1.1%,38,+1.3%,86,-2.1%,15,+4.2%,35,+2.1%
Harrison Barnes,22.4,GSW,Forward,678,77,-3.4%,49,+0.2%,74,-1.4%,28,+2.2%,43,+0.8%,68,-0.9%,52,-0.1%,60,-1.0%
Matt Barnes,34.6,LAC,Wing,404,78,-3.9%,40,+1.1%,48,-0.1%,35,+1.3%,39,+1.2%,29,+1.5%,84,-3.8%,73,-2.3%
Nicolas Batum,25.9,POR,Wing,208,31,+2.2%,86,-4.5%,15,+3.1%,64,-1.6%,35,+1.6%,45,+0.3%,23,+2.7%,23,+3.0%
Jerryd Bayless,26.2,MIL,Combo,108,67,-2.0%,69,-2.6%,15,+3.0%,16,+5.5%,3,+8.5%,53,-0.2%,89,-5.8%,90,-5.9%
Kent Bazemore,25.3,ATL,Wing,299,59,-1.1%,59,-1.0%,28,+1.3%,74,-2.9%,61,-1.6%,10,+2.6%,52,-0.1%,29,+2.5%
Bradley Beal,21.3,WAS,Wing,416,12,+5.9%,80,-3.5%,73,-1.4%,19,+4.5%,28,+3.0%,24,+1.6%,66,-1.2%,51,+0.5%
Marco Belinelli,28.6,SAS,Combo,108,77,-3.5%,76,-3.0%,38,+0.5%,10,+6.1%,9,+6.6%,92,-2.5%,63,-1.1%,82,-3.6%
Bojan Bogdanovic,25.5,BKN,Forward,205,21,+3.5%,9,+5.5%,11,+3.8%,85,-4.6%,51,-0.8%,25,+1.6%,94,-6.4%,85,-4.8%
Andrew Bogut,29.9,GSW,Big,438,41,+1.1%,65,-2.0%,13,+3.3%,35,+1.2%,20,+4.5%,60,-0.5%,73,-2.0%,74,-2.5%
Avery Bradley,23.9,BOS,Combo,132,95,-9.9%,2,+9.1%,44,+0.1%,86,-4.6%,84,-4.5%,0,+10.5%,100,-15.1%,85,-4.6%
Corey Brewer,28.7,HOU,Wing,417,37,+1.4%,20,+2.9%,44,+0.1%,84,-4.2%,77,-4.0%,49,+0.2%,38,+0.9%,43,+1.1%
Aaron Brooks,29.8,CHI,Point,120,5,+8.7%,68,-2.5%,23,+1.6%,67,-1.7%,46,-0.1%,40,+0.6%,31,+1.9%,27,+2.6%
Jimmy Butler,25.1,CHI,Wing,505,40,+1.3%,41,+0.8%,6,+4.6%,38,+1.0%,14,+5.7%,42,+0.5%,95,-7.0%,92,-6.5%
Nick Calathes,25.7,MEM,Combo,117,43,+1.1%,72,-2.9%,84,-2.3%,45,+0.3%,66,-2.0%,62,-0.7%,7,+5.5%,12,+4.9%
Clint Capela,20.5,HOU,Big,108,54,-0.6%,44,+0.7%,9,+4.1%,94,-7.0%,72,-2.9%,27,+1.6%,41,+0.7%,33,+2.3%
DeMarre Carroll,28.3,ATL,Wing,556,47,+0.3%,63,-1.7%,12,+3.4%,43,+0.7%,23,+4.1%,48,+0.3%,77,-2.7%,73,-2.4%
Vince Carter,37.8,MEM,Wing,193,33,+1.7%,61,-1.4%,52,-0.2%,23,+3.3%,27,+3.1%,55,-0.2%,69,-1.5%,70,-1.7%
