Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Steven Adams,23.3,OKC,Big,156,80,64.3%,85,64.3%,0,0.0%,0,36.4%,90,61%,93,42%,3,100%,0,0%
LaMarcus Aldridge,31.3,SAS,Big,535,13,46.3%,23,47.8%,0,14.3%,64,76.4%,98,55%,78,56%,73,52%,43,100%
Al-Farouq Aminu,26.1,POR,Big,111,43,52.8%,28,50.0%,54,37.5%,0,63.6%,53,75%,90,43%,3,100%,43,100%
Kyle Anderson,23.1,SAS,Wing,150,91,64.4%,100,68.4%,0,28.6%,0,70.0%,59,57%,62,47%,24,64%,0,100%
Ryan Anderson,28.5,HOU,Big,328,23,48.4%,80,59.4%,8,28.3%,0,87.5%,78,67%,100,25%,53,71%,88,94%
Giannis Antetokounmpo,21.9,MIL,Forward,242,63,54.9%,56,54.4%,0,40.0%,0,54.3%,81,48%,75,50%,69,36%,81,75%
Trevor Ariza,31.3,HOU,Forward,412,56,54.1%,25,50.0%,73,37.7%,0,92.9%,25,83%,44,71%,0,100%,56,91%
Kent Bazemore,27.3,ATL,Wing,149,38,48.0%,59,48.3%,28,29.2%,0,71.4%,59,57%,35,63%,38,50%,97,57%
Bradley Beal,23.3,WAS,Wing,464,62,52.3%,88,60.3%,19,26.6%,50,83.3%,65,56%,47,53%,35,52%,85,68%
Patrick Beverley,28.3,HOU,Point,323,35,50.9%,12,42.1%,60,40.4%,0,78.6%,12,56%,76,9%,12,31%,12,95%
Bojan Bogdanovic,27.5,WAS,Forward,230,44,52.0%,19,48.6%,55,36.8%,0,85.7%,50,78%,19,75%,44,67%,63,86%
Avery Bradley,25.9,BOS,Combo,604,75,53.0%,58,52.1%,29,36.3%,0,76.9%,8,81%,17,78%,17,62%,50,97%
Malcolm Brogdon,23.9,MIL,Combo,177,58,50.9%,0,35.3%,86,50.0%,0,0.0%,33,64%,50,44%,50,33%,75,90%
Jaylen Brown,20.0,BOS,Wing,168,71,54.3%,91,63.3%,9,25.0%,0,69.2%,35,74%,6,85%,65,33%,0,100%
Jimmy Butler,27.1,CHI,Wing,238,24,45.8%,41,47.1%,25,27.3%,38,80.4%,85,35%,79,38%,71,21%,88,67%
Clint Capela,22.5,HOU,Big,285,65,56.8%,60,56.8%,0,0.0%,21,61.5%,10,89%,13,88%,3,100%,0,0%
DeMarre Carroll,30.3,TOR,Forward,149,50,52.9%,69,57.1%,27,33.3%,0,55.6%,6,93%,19,75%,0,100%,0,100%
Vince Carter,39.8,MEM,Wing,194,74,57.1%,71,54.5%,69,40.0%,0,100.0%,41,70%,71,43%,29,60%,0,100%
Ian Clark,25.7,GSW,Combo,174,100,65.3%,100,66.7%,71,42.3%,0,88.9%,0,82%,8,83%,0,70%,58,91%
Mike Conley,29.1,MEM,Point,222,76,57.4%,65,50.8%,87,45.9%,44,83.8%,59,26%,71,11%,24,27%,53,41%
Jamal Crawford,36.6,LAC,Wing,162,26,46.1%,56,47.8%,16,26.3%,0,100.0%,94,30%,85,29%,88,13%,76,80%
Jae Crowder,26.3,BOS,Forward,557,25,49.5%,38,52.5%,9,30.5%,40,82.6%,19,87%,0,86%,38,80%,50,92%
Stephen Curry,28.6,GSW,Point,598,100,61.7%,94,56.4%,73,43.9%,78,90.3%,29,38%,18,30%,47,23%,47,50%
DeMar DeRozan,27.2,TOR,Wing,372,12,43.7%,38,46.9%,0,6.7%,63,88.8%,100,20%,97,18%,76,19%,0,100%
