Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Steven Adams,22.3,OKC,Big,546,50,63.0%,79,18.6%,68,3.2%,39,16.7%
LaMarcus Aldridge,30.3,SAS,Big,336,100,89.1%,42,11.4%,11,1.1%,84,28.6%
Al-Farouq Aminu,25.1,POR,Forward,370,38,72.4%,44,9.3%,39,0.8%,17,7.7%
Kyle Anderson,22.1,SAS,Forward,100,0,83.3%,56,10.5%,94,3.2%,89,50.0%
Trevor Ariza,30.3,HOU,Forward,180,0,75.0%,6,3.9%,22,0.7%,89,50.0%
Leandro Barbosa,32.9,GSW,Wing,212,0,84.6%,31,5.1%,45,1.3%,0,0.0%
J.J. Barea,31.3,DAL,Point,100,0,100.0%,6,2.9%,6,0.5%,0,0.0%
Harrison Barnes,23.4,GSW,Forward,720,63,76.5%,28,7.8%,28,0.7%,61,23.5%
Matt Barnes,35.6,MEM,Forward,138,0,80.0%,50,10.0%,11,0.7%,50,20.0%
Nicolas Batum,26.9,CHA,Wing,143,0,85.0%,97,17.0%,28,1.0%,38,11.1%
Kent Bazemore,26.3,ATL,Wing,324,0,68.2%,24,4.1%,55,1.5%,90,40.0%
Patrick Beverley,27.3,HOU,Point,128,0,100.0%,44,7.7%,13,1.3%,75,33.3%
Bismack Biyombo,23.2,TOR,Big,504,44,59.7%,100,30.8%,66,3.1%,58,21.4%
Andrew Bogut,30.9,GSW,Big,364,0,35.7%,0,0.0%,39,1.8%,100,0.0%
Kentavious Caldwell-Pope,22.7,DET,Wing,160,0,71.4%,34,5.8%,14,0.6%,79,33.3%
DeMarre Carroll,29.3,TOR,Forward,595,50,75.0%,33,8.2%,33,0.8%,11,7.1%
Ian Clark,24.7,GSW,Combo,109,0,85.7%,77,10.3%,23,1.2%,54,25.0%
Allen Crabbe,23.6,POR,Wing,298,0,73.7%,86,11.4%,41,1.3%,62,22.2%
Jamal Crawford,35.6,LAC,Wing,197,0,88.0%,59,8.9%,83,2.2%,34,10.0%
Jae Crowder,25.3,BOS,Forward,195,0,63.6%,17,6.7%,17,0.7%,50,20.0%
Stephen Curry,27.6,GSW,Point,612,86,91.6%,38,7.4%,94,3.7%,81,34.6%
Ed Davis,26.4,POR,Big,204,31,57.6%,89,20.8%,71,3.3%,21,10.0%
DeMar DeRozan,26.2,TOR,Wing,745,0,81.3%,83,11.2%,66,1.7%,52,18.4%
Matthew Dellavedova,25.1,CLE,Point,218,0,72.2%,56,10.0%,63,2.4%,31,14.3%
Luol Deng,30.5,MIA,Forward,492,75,84.2%,61,10.7%,50,1.2%,67,25.0%
Boris Diaw,33.5,SAS,Big,138,0,75.0%,11,4.7%,53,2.3%,0,0.0%
