Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Ray Allen,37.3,MIA,Wing,565,79,54.5%,69,59%,76,48%,21,26%,55,37%,60,49%,50,35%,71,41%
Tony Allen,30.8,MEM,Wing,420,17,43.1%,31,50%,34,30%,41,30%,24,30%,0,20%,0,0%,0,14%
Chris Andersen,34.3,MIA,Big,298,100,80.4%,100,87%,57,40%,82,50%,73,44%,0,0%,0,0%,0,0%
Carmelo Anthony,28.4,NYK,Forward,480,15,43.3%,8,41%,77,47%,85,41%,77,44%,0,25%,22,31%,25,30%
Darrell Arthur,24.6,MEM,Big,173,34,47.2%,52,62%,68,44%,77,45%,82,45%,0,0%,0,0%,0,0%
Omer Asik,26.3,HOU,Big,207,77,56.4%,36,58%,98,100%,9,0%,27,33%,0,0%,0,0%,0,0%
D.J. Augustin,25.0,IND,Point,308,75,50.7%,0,29%,13,33%,100,67%,94,50%,50,28%,100,46%,77,39%
Harrison Barnes,20.4,GSW,Wing,459,59,50.3%,72,60%,41,32%,90,48%,62,39%,0,36%,73,38%,61,37%
Matt Barnes,32.6,LAC,Wing,160,97,64.0%,90,74%,79,50%,17,25%,59,38%,0,40%,0,45%,79,44%
Brandon Bass,27.5,BOS,Big,201,48,48.1%,66,64%,73,50%,45,30%,50,38%,0,0%,0,0%,0,0%
Shane Battier,34.1,MIA,Forward,375,31,43.5%,15,50%,0,0%,0,0%,0,0%,0,33%,11,25%,17,30%
Jerryd Bayless,24.2,MEM,Combo,313,15,42.4%,8,36%,23,14%,77,46%,38,39%,0,38%,33,30%,50,32%
Marco Belinelli,26.6,CHI,Wing,314,48,48.5%,48,54%,31,29%,69,43%,66,39%,0,40%,23,31%,39,34%
Patrick Beverley,24.3,HOU,Point,191,38,48.4%,38,50%,100,58%,25,29%,81,47%,0,33%,36,31%,23,32%
Chauncey Billups,36.1,LAC,Wing,115,7,38.9%,10,40%,10,0%,38,30%,17,21%,0,50%,0,33%,46,35%
Andray Blatche,26.2,BKN,Big,138,61,50.0%,43,59%,89,53%,55,37%,73,44%,0,0%,0,0%,0,0%
Andrew Bogut,27.9,GSW,Big,326,86,58.2%,82,72%,14,30%,9,0%,14,29%,0,0%,0,0%,0,0%
Matt Bonner,32.6,SAS,Big,249,93,60.7%,2,40%,89,53%,82,50%,98,52%,0,0%,100,52%,50,47%
Carlos Boozer,30.9,CHI,Big,430,59,49.4%,73,65%,23,33%,80,45%,64,41%,0,0%,0,0%,0,0%
Chris Bosh,28.6,MIA,Big,747,55,49.2%,36,58%,52,38%,66,41%,61,40%,0,38%,0,45%,0,42%
Avery Bradley,21.9,BOS,Combo,189,23,42.9%,46,53%,0,0%,62,42%,8,33%,0,25%,0,0%,0,25%
Corey Brewer,26.7,DEN,Wing,145,10,39.2%,17,42%,66,43%,45,31%,41,35%,0,24%,27,31%,18,27%
Caron Butler,32.6,LAC,Wing,135,72,52.2%,72,60%,100,67%,100,57%,100,60%,0,50%,0,10%,0,25%
Jimmy Butler,23.1,CHI,Wing,488,55,50.0%,31,50%,48,36%,66,42%,69,41%,0,58%,32,32%,68,41%
Mario Chalmers,26.5,MIA,Point,639,50,48.6%,44,51%,38,37%,81,50%,44,41%,100,50%,18,28%,54,36%
Tyson Chandler,30.1,NYK,Big,349,73,53.8%,23,54%,0,0%,100,100%,91,50%,0,0%,0,0%,0,0%
Wilson Chandler,25.5,DEN,Forward,204,8,41.4%,0,33%,85,48%,23,22%,62,41%,0,42%,0,24%,33,31%
Norris Cole,24.1,MIA,Point,377,81,52.4%,19,45%,69,44%,50,40%,50,41%,0,64%,45,38%,100,48%
Nick Collison,32.0,OKC,Big,170,11,44.4%,11,50%,5,20%,30,25%,7,22%,0,0%,0,0%,0,0%
