Player,Age,Team,Pos,MIN,Diff Rank,Diff,Exp W,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
Kyle Anderson,30.1,MIN,Forward,227,7,-20.0,-45,6,-11.7,19,-3.8%,22,+1.9%,55,+0.3%,25,-3.3,22,+8.3,12,+5.2%,85,+3.3%,24,+3.8%,20,+4.7
Nicolas Batum,34.9,PHI,Wing,197,15,-15.4,-35,20,-6.3,17,-4.1%,6,+4.5%,67,+2.1%,89,+6.7,19,+9.1,19,+3.9%,7,-3.9%,55,-0.1%,25,+3.8
Bradley Beal,30.3,PHX,Combo,153,33,-7.5,-12,14,-8.4,18,-3.8%,65,-1.2%,62,+1.4%,2,-17.4,55,-0.9,8,+7.1%,97,+5.8%,94,-8.0%,56,-0.9
Malik Beasley,26.9,MIL,Combo,126,3,-22.6,-45,0,-21.5,13,-4.6%,18,+2.3%,3,-9.0%,7,-10.5,43,+1.2,14,+4.7%,93,+4.5%,35,+2.9%,83,-5.3
Patrick Beverley,35.3,MIL,Wing,209,59,+5.5,+13,93,+14.5,59,+1.4%,98,-6.1%,98,+11.5%,94,+10.6,20,+8.9,17,+4.5%,28,-1.5%,67,-1.5%,75,-3.8
Devin Booker,27.0,PHX,Point,165,85,+16.9,+12,84,+9.4,65,+2.0%,98,-6.3%,1,-13.6%,93,+10.5,81,-7.5,28,+2.9%,100,+10.2%,100,-20.4%,14,+5.7
Jaylen Brown,27.0,BOS,Wing,706,20,-13.8,-21,29,-4.3,35,-1.3%,24,+1.6%,41,-1.3%,46,-0.2,18,+9.5,16,+4.5%,73,+2.1%,36,+2.7%,31,+2.7
Alec Burks,32.3,NYK,Wing,114,32,-7.6,-15,71,+5.7,21,-3.3%,76,-1.8%,56,+0.3%,98,+16.4,11,+13.3,7,+7.3%,56,+0.8%,38,+2.6%,50,-0.0
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,49,+0.1,+1,90,+13.0,95,+9.5%,24,+1.6%,59,+0.7%,11,-6.3,11,+12.9,18,+4.4%,21,-1.9%,60,-0.9%,85,-5.9
Mike Conley,36.1,MIN,Point,472,63,+6.1,+15,51,+2.3,50,+0.3%,39,+0.6%,77,+3.3%,63,+2.6,68,-3.7,68,-1.7%,50,+0.3%,11,+6.4%,80,-4.6
Pat Connaughton,30.8,MIL,Wing,122,70,+8.2,+18,36,-2.0,53,+0.7%,15,+2.6%,20,-5.1%,26,-3.3,89,-10.2,85,-5.1%,98,+6.2%,14,+6.1%,45,+0.5
Anthony Davis,30.6,LAL,Big,248,14,-15.4,-36,78,+7.9,78,+3.9%,83,-2.4%,49,-0.5%,58,+2.0,1,+23.3,2,+12.6%,75,+2.2%,67,-1.6%,63,-2.0
Kevin Durant,35.1,PHX,Big,167,0,-58.6,-75,44,-0.5,99,+11.7%,29,+1.3%,0,-15.7%,1,-23.9,0,+58.1,0,+28.8%,1,-7.7%,23,+4.0%,98,-14.7
Joel Embiid,29.6,PHI,Big,286,100,+46.6,+57,100,+40.5,100,+19.0%,76,-1.9%,20,-5.2%,99,+18.9,76,-6.1,76,-3.1%,60,+1.3%,80,-4.2%,51,-0.2
Dante Exum,28.3,DAL,Wing,117,24,-10.0,-25,10,-10.6,9,-5.0%,44,+0.2%,30,-3.9%,71,+3.3,51,-0.5,66,-1.5%,76,+2.2%,22,+4.0%,28,+3.3
Paul George,33.5,LAC,Forward,222,79,+12.9,+20,94,+14.9,74,+3.3%,99,-7.3%,44,-1.1%,92,+8.1,38,+2.0,38,+1.5%,96,+5.6%,4,+8.4%,2,+9.7
Rudy Gobert,31.3,MIN,Big,510,92,+22.6,+49,92,+14.1,92,+8.7%,20,+1.9%,81,+4.5%,82,+5.0,85,-8.5,63,-1.3%,32,-1.1%,91,-6.0%,88,-6.9
Aaron Gordon,28.1,DEN,Big,444,2,-27.3,-52,8,-11.2,42,-0.3%,14,+2.9%,76,+3.2%,11,-6.1,6,+16.1,15,+4.6%,24,-1.9%,15,+5.9%,40,+1.3
Eric Gordon,34.9,PHX,Wing,116,76,+12.0,+15,98,+23.4,96,+10.0%,11,+3.3%,89,+6.6%,100,+23.0,14,+11.4,62,-1.2%,7,-3.9%,19,+4.7%,7,+8.9
Tim Hardaway Jr.,31.6,DAL,Wing,161,2,-23.9,-49,9,-11.2,4,-6.7%,54,-0.5%,61,+1.4%,45,-0.2,12,+12.7,25,+3.0%,46,+0.0%,18,+5.0%,46,+0.3
James Harden,34.2,LAC,Combo,241,4,-20.5,-46,20,-6.2,85,+5.7%,10,+3.5%,5,-8.7%,36,-1.9,8,+14.2,52,+0.2%,0,-7.9%,12,+6.4%,92,-8.6
Gary Harris,29.1,ORL,Wing,158,28,-9.3,-22,15,-8.4,24,-2.8%,55,-0.6%,11,-6.6%,28,-2.9,44,+0.9,63,-1.3%,43,-0.1%,41,+2.2%,36,+2.2
Tobias Harris,31.3,PHI,Forward,251,23,-10.1,-23,4,-13.1,28,-2.6%,42,+0.4%,51,-0.4%,3,-15.3,63,-3.0,85,-4.9%,52,+0.3%,70,-2.3%,74,-3.7
