Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Quincy Acy,22.1,TOR,Big,291,85,56.3%,82,69%,7,10%,54,21%,23,31%,0,0%,0,0%,0,0%
Jeff Adrien,26.7,CHA,Big,660,13,42.9%,45,50%,51,21%,75,29%,67,50%,0,0%,0,0%,0,0%
Arron Afflalo,27.0,ORL,Wing,2288,40,48.1%,36,22%,89,22%,83,31%,92,53%,32,8%,32,17%,26,25%
Cole Aldrich,24.0,HOU,Big,179,67,52.8%,73,64%,90,36%,0,0%,35,36%,0,0%,0,0%,0,0%
Cole Aldrich,24.0,SAC,Big,149,88,58.1%,90,76%,67,24%,0,0%,11,24%,0,0%,0,0%,0,0%
LaMarcus Aldridge,27.3,POR,Big,2782,43,48.6%,13,30%,71,26%,93,43%,95,69%,68,0%,66,0%,65,1%
Lavoy Allen,23.7,PHI,Big,1623,28,46.1%,22,36%,53,22%,91,42%,87,64%,64,0%,0,0%,49,0%
Ray Allen,37.3,MIA,Wing,1989,93,56.2%,40,24%,50,13%,27,16%,27,29%,83,20%,63,27%,76,48%
Tony Allen,30.8,MEM,Wing,2102,17,44.7%,99,59%,64,14%,55,23%,59,38%,4,2%,2,1%,2,3%
Al-Farouq Aminu,22.1,NOP,Wing,2049,40,48.0%,98,59%,83,20%,36,18%,58,37%,2,2%,4,2%,2,4%
Lou Amundson,29.9,MIN,Big,121,2,33.3%,87,74%,31,17%,24,9%,15,26%,0,0%,0,0%,0,0%
Lou Amundson,29.9,NOP,Big,205,10,41.5%,95,85%,22,15%,0,0%,5,15%,0,0%,0,0%,0,0%
Chris Andersen,34.3,MIA,Big,604,93,60.2%,95,84%,4,9%,19,5%,4,14%,0,0%,80,1%,75,1%
Alan Anderson,30.0,TOR,Wing,1406,29,46.4%,32,22%,68,15%,39,19%,41,34%,64,15%,73,30%,69,45%
James Anderson,23.6,HOU,Wing,229,24,45.8%,79,38%,76,18%,1,5%,14,23%,60,14%,50,24%,54,38%
Ryan Anderson,24.5,NOP,Big,2478,62,52.0%,9,25%,10,11%,39,17%,19,28%,95,7%,98,40%,98,47%
Carmelo Anthony,28.4,NYK,Forward,2475,67,50.5%,42,32%,46,13%,88,29%,71,43%,19,3%,67,22%,50,25%
Joel Anthony,30.2,MIA,Big,507,56,50.8%,58,56%,99,44%,0,0%,53,44%,0,0%,0,0%,0,0%
Trevor Ariza,27.3,WAS,Wing,1450,55,50.0%,63,32%,10,5%,40,19%,18,24%,78,18%,58,26%,66,44%
Darrell Arthur,24.6,MEM,Big,931,24,45.6%,10,28%,57,23%,93,46%,91,68%,86,3%,81,2%,82,4%
Omer Asik,26.3,HOU,Big,2453,74,54.0%,98,88%,8,11%,8,2%,2,12%,60,0%,0,0%,43,0%
D.J. Augustin,25.0,IND,Point,1150,29,46.3%,22,22%,16,11%,6,9%,4,21%,96,15%,92,42%,96,57%
Gustavo Ayon,27.6,MIL,Big,137,91,59.5%,86,73%,57,23%,16,5%,17,28%,0,0%,0,0%,0,0%
Gustavo Ayon,27.6,ORL,Big,567,70,53.2%,81,68%,21,15%,40,17%,26,32%,0,0%,0,0%,0,0%
Jeff Ayres,25.5,IND,Big,268,73,53.7%,10,27%,19,14%,97,54%,92,68%,86,2%,82,2%,83,5%
Luke Babbitt,23.4,POR,Forward,672,63,50.4%,2,6%,6,4%,29,14%,10,18%,90,22%,100,54%,96,76%
Leandro Barbosa,29.9,BOS,Combo,476,67,49.1%,89,49%,62,17%,14,13%,24,30%,55,8%,21,13%,24,22%
J.J. Barea,28.4,MIN,Combo,1642,56,48.1%,67,35%,61,17%,20,14%,27,31%,35,6%,67,29%,61,35%
Andrea Bargnani,27.0,TOR,Big,995,19,44.6%,2,16%,36,18%,90,39%,80,57%,83,2%,95,25%,93,27%
Harrison Barnes,20.4,GSW,Wing,2019,39,48.0%,87,40%,92,23%,23,16%,64,39%,25,6%,28,15%,21,21%
Matt Barnes,32.6,LAC,Wing,1927,87,54.8%,83,39%,23,8%,2,7%,7,15%,84,21%,53,25%,71,46%
Earl Barron,31.2,WAS,Big,114,1,30.3%,12,29%,46,21%,95,50%,96,71%,0,0%,0,0%,0,0%
Will Barton,21.8,POR,Wing,808,9,42.8%,94,46%,90,22%,20,14%,55,37%,34,9%,15,9%,16,17%
Brandon Bass,27.5,BOS,Big,2218,46,49.0%,17,33%,44,20%,95,47%,90,67%,0,0%,0,0%,0,0%
Shane Battier,34.1,MIA,Forward,1771,100,62.0%,4,8%,10,5%,0,1%,0,7%,100,52%,85,33%,100,86%
Nicolas Batum,23.9,POR,Wing,2798,77,52.5%,45,24%,6,5%,44,21%,19,25%,59,14%,85,37%,82,50%
Jerryd Bayless,24.2,MEM,Combo,1685,55,48.0%,45,25%,8,7%,88,38%,73,45%,59,9%,42,21%,47,30%
Aron Baynes,25.9,SAS,Big,107,9,40.0%,45,50%,98,43%,22,7%,66,50%,0,0%,0,0%,0,0%
Kent Bazemore,23.3,GSW,Combo,169,6,35.2%,62,33%,21,9%,76,32%,58,41%,61,9%,32,17%,32,26%
Bradley Beal,19.3,WAS,Wing,1720,37,47.7%,40,23%,37,11%,88,34%,79,45%,55,13%,40,20%,40,32%
Michael Beasley,23.8,PHX,Forward,1510,23,43.7%,23,27%,88,24%,90,32%,96,57%,25,5%,31,12%,27,17%
Rodrigue Beaubois,24.7,DAL,Combo,481,33,45.8%,48,26%,71,19%,39,20%,55,39%,53,8%,64,27%,62,35%
Marco Belinelli,26.6,CHI,Wing,1843,26,46.0%,55,29%,45,12%,66,26%,62,38%,30,7%,59,26%,41,33%
Patrick Beverley,24.3,HOU,Point,642,71,51.2%,37,24%,57,18%,8,10%,10,28%,98,15%,80,33%,88,49%
Andris Biedrins,26.6,GSW,Big,492,36,47.6%,90,78%,52,22%,0,0%,10,22%,0,0%,0,0%,0,0%
Chauncey Billups,36.1,LAC,Wing,417,74,51.9%,9,12%,44,12%,19,14%,20,26%,35,9%,100,54%,93,63%
Bismack Biyombo,20.2,CHA,Big,2144,20,44.7%,78,67%,74,27%,20,7%,29,33%,0,0%,0,0%,0,0%
DeJuan Blair,23.5,SAS,Big,745,73,54.0%,60,56%,86,32%,28,11%,52,44%,0,0%,0,0%,0,0%
Steve Blake,32.7,LAL,Combo,1167,97,57.7%,6,10%,24,10%,35,18%,18,28%,97,23%,92,39%,97,62%
Andray Blatche,26.2,BKN,Big,1464,68,52.8%,53,54%,70,25%,43,18%,51,44%,80,1%,77,1%,79,2%
Eric Bledsoe,22.9,LAC,Combo,1420,58,48.2%,92,49%,58,16%,48,23%,53,39%,18,4%,15,8%,12,12%
Keith Bogans,32.5,BKN,Wing,1394,83,54.2%,3,8%,0,2%,0,4%,0,6%,100,60%,56,25%,99,85%
Andrew Bogut,27.9,GSW,Big,784,22,45.1%,57,55%,95,41%,14,3%,54,45%,73,1%,0,0%,60,1%
Matt Bonner,32.6,SAS,Big,811,93,60.1%,1,7%,50,21%,45,19%,42,40%,97,13%,98,40%,98,53%
Trevor Booker,24.9,WAS,Big,868,52,50.2%,60,56%,68,25%,42,18%,49,43%,0,0%,77,1%,70,1%
Carlos Boozer,30.9,CHI,Big,2539,36,47.6%,31,41%,73,26%,82,32%,82,59%,57,0%,46,0%,46,0%
Chris Bosh,28.6,MIA,Big,2445,77,54.7%,21,35%,37,19%,89,39%,80,57%,87,4%,84,3%,84,7%
Avery Bradley,21.9,BOS,Combo,1425,24,44.6%,61,32%,18,8%,82,34%,65,42%,95,22%,8,4%,29,25%
Elton Brand,33.6,DAL,Big,1518,33,47.2%,16,31%,91,37%,80,31%,93,69%,0,0%,58,0%,49,0%
Corey Brewer,26.7,DEN,Wing,1938,44,48.4%,88,40%,56,13%,22,16%,26,29%,85,21%,16,10%,36,31%
Ronnie Brewer,27.6,NYK,Wing,681,13,44.0%,69,34%,11,6%,50,22%,25,28%,98,37%,3,2%,53,38%
Ronnie Brewer,27.6,OKC,Forward,102,0,13.3%,83,47%,0,0%,94,40%,58,40%,77,13%,0,0%,17,13%
Aaron Brooks,27.8,SAC,Point,936,90,53.6%,47,27%,31,15%,33,18%,24,33%,78,8%,71,31%,73,39%
MarShon Brooks,23.8,BKN,Wing,799,43,48.3%,84,39%,98,30%,26,16%,82,46%,14,4%,18,11%,12,15%
Kwame Brown,30.6,PHI,Big,267,27,45.9%,92,82%,25,16%,11,2%,8,18%,0,0%,0,0%,0,0%
Shannon Brown,26.9,PHX,Wing,1381,23,45.8%,74,36%,16,7%,88,34%,74,41%,17,5%,33,18%,24,23%
Kobe Bryant,34.2,LAL,Wing,3008,61,50.5%,50,27%,84,20%,80,30%,85,50%,10,3%,40,20%,25,23%
Chase Budinger,24.4,MIN,Wing,468,36,47.7%,49,27%,50,13%,48,22%,44,34%,82,20%,39,19%,55,39%
Alec Burks,21.3,UTA,Combo,1032,41,46.8%,77,37%,56,16%,61,26%,62,42%,21,4%,35,17%,23,21%
Caron Butler,32.6,LAC,Wing,1867,72,51.6%,17,15%,31,10%,83,31%,71,41%,70,16%,67,29%,68,44%
Jimmy Butler,23.1,CHI,Wing,2042,62,50.6%,95,48%,27,9%,60,25%,46,34%,44,11%,12,7%,17,17%
Will Bynum,29.8,DET,Point,1134,49,48.8%,96,45%,73,21%,47,22%,59,43%,33,4%,6,9%,6,12%
Jose Calderon,31.1,DET,Point,877,100,64.3%,16,19%,2,3%,92,38%,53,41%,76,7%,78,33%,76,40%
Jose Calderon,31.1,TOR,Point,1262,96,57.1%,0,8%,4,3%,100,43%,69,46%,63,6%,84,40%,82,46%
Marcus Camby,38.6,NYK,Big,242,2,33.3%,58,55%,72,26%,46,19%,56,45%,0,0%,0,0%,0,0%
DeMarre Carroll,26.3,UTA,Wing,1055,57,50.2%,73,35%,65,15%,84,31%,83,46%,31,7%,20,11%,19,19%
Vince Carter,35.8,DAL,Wing,2085,80,53.4%,38,23%,74,17%,29,17%,45,34%,23,6%,87,37%,63,43%
Omri Casspi,24.4,CLE,Wing,446,55,50.0%,52,28%,60,13%,17,14%,23,27%,28,7%,89,38%,70,45%
Mario Chalmers,26.5,MIA,Point,2057,92,54.5%,31,23%,33,15%,0,8%,8,23%,100,16%,82,38%,94,54%
Tyson Chandler,30.1,NYK,Big,2158,97,63.7%,99,92%,1,6%,13,3%,1,8%,0,0%,0,0%,0,0%
Wilson Chandler,25.5,DEN,Forward,1056,77,51.7%,63,40%,77,20%,31,15%,48,35%,50,10%,42,16%,54,26%
Earl Clark,24.8,LAL,Big,1331,46,48.9%,23,37%,3,8%,75,29%,39,38%,94,6%,92,19%,92,25%
Victor Claver,24.2,POR,Forward,769,44,47.4%,58,39%,19,8%,17,10%,8,18%,81,18%,71,25%,75,43%
Norris Cole,24.1,MIA,Point,1476,22,45.9%,86,40%,18,11%,67,26%,37,38%,90,12%,12,10%,31,22%
Jason Collins,33.9,BOS,Big,325,4,34.8%,86,72%,30,17%,26,10%,17,28%,0,0%,0,0%,0,0%
Darren Collison,25.2,DAL,Point,2351,78,51.4%,84,39%,59,18%,71,27%,67,45%,65,6%,10,10%,10,16%
Nick Collison,32.0,OKC,Big,1547,90,59.2%,70,61%,20,14%,57,23%,38,37%,71,0%,74,1%,71,1%
