Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Steven Adams,25.3,OKC,Big,159,95,68.3%,73,60%,100,37%,23,2%,88,40%,0,0%,0,0%,0,0%
LaMarcus Aldridge,33.3,SAS,Big,243,25,46.7%,33,33%,95,31%,100,28%,100,59%,50,5%,30,4%,30,8%
Jarrett Allen,20.5,BKN,Big,110,68,59.4%,100,92%,13,8%,0,0%,3,8%,0,0%,0,0%,0,0%
Al-Farouq Aminu,28.1,POR,Big,399,10,41.7%,38,36%,60,18%,25,3%,35,21%,90,24%,57,19%,70,43%
Giannis Antetokounmpo,23.9,MIL,Forward,513,73,52.7%,91,61%,27,16%,18,6%,18,22%,0,1%,18,17%,0,17%
D.J. Augustin,31.0,ORL,Point,140,100,61.0%,71,34%,29,13%,0,6%,0,19%,50,6%,79,40%,79,47%
Will Barton,27.8,DEN,Wing,320,9,41.5%,73,33%,91,25%,42,6%,76,31%,12,4%,48,31%,15,35%
Aron Baynes,31.9,BOS,Big,115,85,64.3%,60,47%,3,7%,50,7%,15,13%,0,0%,85,40%,65,40%
Malik Beasley,21.9,DEN,Wing,265,24,45.3%,55,28%,73,20%,61,10%,73,30%,39,10%,52,32%,21,42%
Marco Belinelli,32.6,SAS,Wing,130,27,45.8%,33,19%,0,0%,94,27%,64,27%,18,5%,76,49%,61,54%
Patrick Beverley,30.3,LAC,Combo,194,78,56.4%,6,15%,39,21%,0,0%,17,21%,61,9%,100,55%,100,64%
Eric Bledsoe,28.9,MIL,Point,422,21,45.9%,86,36%,50,18%,21,10%,21,28%,71,7%,57,28%,57,35%
Bojan Bogdanovic,29.5,IND,Forward,147,27,46.0%,64,34%,36,17%,73,15%,45,32%,18,3%,82,31%,73,34%
Andrew Bogut,33.9,GSW,Big,178,88,64.9%,88,74%,78,26%,0,0%,48,26%,0,0%,0,0%,0,0%
Malcolm Brogdon,25.9,MIL,Combo,194,72,55.4%,78,40%,11,9%,39,6%,6,15%,78,10%,56,35%,61,45%
Jaylen Brown,22.0,BOS,Wing,269,94,59.3%,64,31%,88,23%,24,3%,58,26%,48,13%,45,30%,27,43%
Sterling Brown,23.7,MIL,Wing,138,21,44.8%,100,50%,21,6%,0,0%,6,6%,67,19%,18,25%,33,44%
Jimmy Butler,29.1,PHI,Forward,421,36,48.8%,45,30%,91,32%,55,14%,82,46%,55,8%,9,16%,18,24%
Clint Capela,24.5,HOU,Big,330,63,56.1%,93,82%,57,18%,0,0%,30,18%,0,0%,0,0%,0,0%
DeMarre Carroll,32.3,BKN,Forward,119,0,32.9%,0,14%,64,21%,27,7%,36,29%,91,14%,91,43%,91,57%
Zach Collins,21.0,POR,Big,268,60,55.6%,70,59%,20,9%,65,9%,28,18%,60,6%,50,17%,53,23%
Darren Collison,31.2,IND,Point,116,36,46.7%,50,29%,0,8%,100,40%,93,48%,29,4%,29,19%,14,23%
Pat Connaughton,25.8,MIL,Wing,294,97,59.7%,61,31%,52,12%,21,3%,36,15%,70,19%,64,35%,67,54%
Quinn Cook,25.6,GSW,Point,178,43,48.3%,0,13%,0,8%,93,30%,43,38%,86,10%,71,38%,93,48%
DeMarcus Cousins,28.2,GSW,Big,133,13,42.5%,68,56%,38,15%,57,8%,38,23%,0,0%,65,21%,43,21%
Torrey Craig,27.9,DEN,Wing,326,97,59.7%,91,42%,39,11%,0,0%,21,11%,79,19%,27,28%,55,47%
Jae Crowder,28.3,UTA,Big,130,28,46.7%,23,26%,23,9%,30,4%,13,13%,85,19%,88,42%,93,60%
Seth Curry,28.2,POR,Wing,319,45,51.3%,9,12%,55,12%,73,14%,55,26%,64,17%,73,44%,76,62%
Stephen Curry,30.6,GSW,Point,845,86,56.1%,7,18%,36,15%,50,14%,29,29%,57,7%,100,46%,100,53%
DeMar DeRozan,29.2,SAS,Wing,248,39,48.7%,52,26%,100,42%,100,32%,100,74%,0,1%,0,0%,0,1%
Spencer Dinwiddie,25.6,BKN,Combo,131,56,51.6%,83,41%,50,23%,11,2%,33,24%,67,9%,22,26%,44,35%
Andre Drummond,25.2,DET,Big,127,18,44.4%,83,72%,70,25%,18,2%,50,27%,0,0%,25,2%,23,2%
Kevin Durant,30.1,GSW,Forward,441,100,58.9%,9,17%,55,21%,100,30%,91,51%,9,3%,73,29%,64,32%
Wayne Ellington,30.9,DET,Wing,128,6,41.4%,6,9%,70,17%,67,11%,67,29%,27,9%,82,54%,79,63%
Joel Embiid,24.6,PHI,Big,334,23,46.5%,57,45%,68,24%,70,9%,70,33%,38,1%,63,21%,50,22%
James Ennis,28.3,PHI,Wing,224,76,56.6%,82,37%,58,13%,36,4%,45,18%,88,24%,6,22%,45,46%
Derrick Favors,27.3,UTA,Big,103,80,63.9%,98,86%,5,7%,0,0%,0,7%,65,7%,0,0%,28,7%
Terrance Ferguson,20.5,OKC,Wing,124,55,52.1%,27,17%,27,8%,30,4%,24,13%,97,42%,36,29%,85,71%
Bryn Forbes,25.3,SAS,Combo,207,89,61.6%,0,14%,33,19%,61,14%,56,32%,39,3%,94,51%,83,54%
Evan Fournier,26.0,ORL,Wing,172,3,41.2%,24,15%,76,20%,82,18%,85,38%,52,13%,58,34%,52,46%
Danilo Gallinari,30.2,LAC,Big,201,8,41.4%,25,28%,55,18%,88,18%,83,37%,48,4%,73,32%,60,36%
Marc Gasol,33.8,TOR,Big,733,43,51.7%,3,17%,85,28%,63,9%,85,37%,45,4%,90,42%,78,46%
Rudy Gay,32.2,SAS,Forward,176,18,45.7%,36,20%,100,42%,45,13%,100,55%,36,7%,36,18%,27,25%
Paul George,28.5,OKC,Wing,203,42,51.0%,58,29%,42,11%,79,17%,70,29%,58,13%,42,30%,24,43%
Shai Gilgeous-Alexander,20.3,LAC,Point,170,79,55.1%,64,33%,57,20%,71,21%,64,41%,7,3%,36,23%,21,26%
Rudy Gobert,26.3,UTA,Big,152,68,59.4%,95,83%,50,17%,0,0%,23,17%,0,0%,0,0%,0,0%
Aaron Gordon,23.1,ORL,Forward,160,82,53.3%,82,42%,45,17%,36,9%,27,27%,73,11%,45,20%,55,31%
Eric Gordon,29.9,HOU,Wing,408,85,58.1%,48,26%,48,12%,18,3%,33,14%,15,4%,88,56%,70,60%
Jerami Grant,24.6,OKC,Big,176,75,61.3%,55,44%,18,9%,20,2%,5,11%,98,29%,43,16%,73,44%
Danny Green,31.4,TOR,Wing,683,30,47.1%,18,15%,21,6%,33,4%,15,11%,94,35%,67,39%,91,74%
Draymond Green,28.7,GSW,Big,850,50,54.1%,65,50%,63,23%,45,6%,55,29%,55,5%,45,16%,45,21%
JaMychal Green,28.4,LAC,Big,138,93,67.4%,43,37%,0,7%,48,7%,8,13%,75,13%,83,37%,83,50%
James Harden,29.2,HOU,Combo,423,50,51.2%,33,22%,61,26%,22,3%,50,30%,22,2%,89,47%,67,49%
Maurice Harkless,25.5,POR,Forward,387,64,51.4%,100,62%,9,16%,0,0%,9,16%,82,11%,0,11%,9,22%
Montrezl Harrell,24.8,LAC,Big,157,100,74.2%,80,70%,65,24%,40,6%,57,30%,0,0%,0,0%,0,0%
Gary Harris,24.1,DEN,Wing,517,61,52.9%,94,43%,67,17%,52,7%,52,24%,33,9%,15,24%,12,33%
Joe Harris,27.2,BKN,Wing,147,15,41.9%,97,45%,12,4%,42,6%,18,11%,3,2%,70,43%,42,45%
Tobias Harris,26.3,PHI,Forward,443,55,49.4%,27,19%,82,28%,64,15%,73,44%,64,10%,64,27%,82,37%
Gordon Hayward,28.6,BOS,Wing,264,33,48.6%,67,32%,85,22%,76,14%,82,37%,24,8%,12,24%,9,32%
George Hill,32.5,MIL,Combo,386,100,62.4%,94,47%,17,9%,33,6%,0,15%,83,12%,28,26%,56,38%
Rodney Hood,26.0,POR,Wing,370,73,56.0%,30,17%,97,30%,70,12%,88,42%,45,11%,39,29%,18,41%
Al Horford,32.4,BOS,Big,309,35,50.0%,5,20%,45,16%,95,25%,93,41%,63,6%,75,32%,63,39%
Danuel House,25.4,HOU,Forward,134,9,41.2%,18,18%,0,5%,0,0%,0,5%,100,29%,100,47%,100,76%
Serge Ibaka,29.1,TOR,Big,490,33,49.7%,40,37%,80,26%,90,18%,98,45%,40,3%,40,15%,35,18%
Andre Iguodala,34.8,GSW,Wing,629,79,57.3%,79,37%,36,11%,55,8%,48,19%,73,19%,21,25%,39,45%
Ersan Ilyasova,31.5,MIL,Big,249,57,55.6%,35,35%,10,8%,75,13%,33,20%,70,11%,80,34%,75,45%
Joe Ingles,31.1,UTA,Wing,150,0,40.3%,39,19%,6,3%,0,0%,0,3%,79,19%,94,58%,94,78%
Kyrie Irving,26.6,BOS,Point,329,14,43.8%,21,24%,64,24%,79,22%,86,46%,36,5%,50,25%,43,30%
Jonathan Isaac,21.1,ORL,Big,136,0,32.5%,8,21%,35,14%,80,14%,53,29%,95,29%,68,21%,83,50%
Reggie Jackson,28.5,DET,Point,107,50,50.0%,29,26%,79,29%,36,13%,71,43%,100,13%,21,18%,50,31%
Jonas Jerebko,31.7,GSW,Big,105,3,37.2%,15,24%,48,17%,93,19%,78,36%,88,21%,53,19%,68,40%
Nikola Jokic,23.7,DEN,Big,556,55,54.8%,48,40%,93,31%,68,9%,90,40%,35,0%,55,19%,38,20%
Enes Kanter,26.5,POR,Big,460,45,51.7%,85,72%,53,17%,60,8%,45,25%,0,0%,28,3%,25,3%
Luke Kennard,22.4,DET,Wing,121,64,53.6%,42,21%,79,21%,97,28%,97,49%,6,2%,30,28%,3,30%
Caris LeVert,24.2,BKN,Wing,144,82,57.5%,76,35%,94,29%,39,5%,79,34%,9,2%,33,28%,6,31%
Kawhi Leonard,27.3,TOR,Forward,939,91,54.6%,55,31%,73,26%,82,17%,64,43%,27,4%,55,23%,45,26%
Meyers Leonard,26.7,POR,Big,166,78,62.7%,20,25%,33,14%,73,11%,40,25%,43,3%,98,47%,83,50%
Damian Lillard,28.3,POR,Point,650,57,51.2%,57,31%,14,9%,57,16%,14,26%,0,3%,93,41%,71,44%
Shaun Livingston,33.1,GSW,Combo,321,33,46.6%,72,39%,94,44%,78,18%,100,61%,0,0%,0,0%,0,0%
Kevon Looney,22.7,GSW,Big,429,98,68.8%,90,75%,28,13%,75,13%,40,25%,0,0%,0,0%,0,0%
Brook Lopez,30.6,MIL,Big,437,48,53.7%,28,30%,40,15%,28,3%,25,17%,68,9%,93,43%,90,52%
Kyle Lowry,32.6,TOR,Point,898,71,53.8%,43,28%,43,16%,14,9%,7,25%,64,7%,86,40%,86,47%
Wesley Matthews,32.0,IND,Wing,118,12,41.7%,36,19%,9,3%,48,6%,9,10%,55,13%,91,58%,88,71%
CJ McCollum,27.1,POR,Combo,635,44,50.9%,22,20%,72,27%,89,21%,83,48%,44,4%,44,28%,33,32%
Alfonzo McKinnie,26.1,GSW,Wing,219,58,52.6%,70,32%,61,14%,0,0%,27,14%,100,42%,3,12%,64,54%
Khris Middleton,27.2,MIL,Wing,515,48,51.7%,12,13%,82,22%,85,21%,91,44%,42,11%,55,33%,36,44%
Patty Mills,30.2,SAS,Combo,149,6,36.9%,61,30%,0,7%,50,13%,11,20%,94,13%,72,37%,78,50%
Paul Millsap,33.7,DEN,Big,468,38,50.3%,50,42%,90,30%,43,6%,80,36%,57,5%,48,17%,48,22%
Nikola Mirotic,27.7,MIL,Big,280,30,49.5%,10,22%,15,9%,55,7%,18,16%,73,12%,100,51%,98,63%
Donovan Mitchell,22.1,UTA,Combo,193,11,37.7%,56,30%,83,30%,44,7%,61,37%,50,4%,50,30%,39,34%
Marcus Morris,29.2,BOS,Big,254,83,64.1%,13,22%,43,15%,85,17%,60,32%,78,14%,78,33%,80,47%
Monte Morris,23.3,DEN,Point,212,0,36.6%,36,27%,100,33%,86,26%,100,58%,79,8%,0,7%,0,15%
Jamal Murray,21.7,DEN,Combo,504,39,48.2%,44,23%,67,27%,83,19%,78,46%,56,4%,33,26%,22,31%
Royce O'Neale,25.4,UTA,Wing,134,67,54.7%,88,39%,45,11%,15,2%,30,14%,91,25%,9,23%,58,48%
Chris Paul,33.5,HOU,Point,396,64,53.2%,14,18%,86,29%,43,14%,79,43%,43,5%,64,34%,64,39%
Mason Plumlee,28.7,DEN,Big,208,53,54.5%,75,66%,88,30%,33,4%,73,34%,0,0%,0,0%,0,0%
Jakob Poeltl,23.0,SAS,Big,176,90,65.7%,78,68%,98,32%,0,0%,68,32%,0,0%,0,0%,0,0%
Norman Powell,25.4,TOR,Wing,341,52,51.8%,85,37%,18,6%,64,10%,39,17%,85,20%,24,26%,48,46%
JJ Redick,34.4,PHI,Wing,375,91,58.5%,0,3%,15,6%,88,21%,61,27%,61,17%,79,53%,82,70%
Austin Rivers,26.3,HOU,Combo,208,83,57.0%,17,19%,56,23%,17,2%,39,25%,89,12%,78,44%,94,56%
Terrence Ross,27.7,ORL,Wing,143,18,44.2%,45,21%,30,9%,58,9%,42,18%,21,7%,85,54%,73,61%
Terry Rozier,24.6,BOS,Combo,149,17,40.6%,39,23%,28,15%,56,13%,44,28%,100,13%,61,36%,72,49%
Ricky Rubio,28.0,UTA,Point,167,29,46.2%,79,35%,93,31%,7,8%,57,39%,93,13%,7,14%,29,26%
D'Angelo Russell,22.7,BKN,Combo,147,22,42.2%,11,18%,89,31%,72,15%,72,46%,0,0%,61,36%,50,36%
Dennis Schroder,25.1,OKC,Combo,150,61,51.9%,67,31%,22,13%,94,26%,67,39%,33,3%,39,27%,28,31%
Mike Scott,30.3,PHI,Big,192,65,58.7%,0,13%,30,13%,35,4%,20,17%,93,26%,95,45%,100,70%
