Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Steven Adams,26.3,OKC,Big,210,59,14.9%,41,118.3,41,7.0%,38,0.47,3,21.8%
Bam Adebayo,22.3,MIA,Big,686,82,21.0%,59,123.4,92,20.3%,95,0.97,33,14.8%
Jarrett Allen,21.5,BKN,Big,132,33,12.9%,67,125.8,74,10.6%,79,0.82,0,27.5%
Giannis Antetokounmpo,24.9,MIL,Big,277,100,35.3%,46,120.8,100,33.6%,92,0.95,51,12.9%
Carmelo Anthony,35.4,POR,Big,213,85,21.1%,15,104.3,64,8.4%,33,0.40,38,14.2%
OG Anunoby,22.3,TOR,Forward,392,12,12.4%,59,113.9,0,4.7%,12,0.38,6,14.7%
D.J. Augustin,32.0,ORL,Point,127,83,27.1%,25,113.8,92,38.0%,92,1.40,33,13.7%
Darius Bazley,19.4,OKC,Big,116,38,13.0%,77,131.3,62,8.1%,67,0.62,36,14.7%
Patrick Beverley,31.3,LAC,Point,165,0,13.4%,75,125.0,8,17.9%,83,1.34,25,14.4%
Eric Bledsoe,29.9,MIL,Point,267,42,24.2%,0,96.3,75,28.6%,75,1.18,8,15.1%
Malcolm Brogdon,26.9,IND,Combo,159,85,30.3%,40,110.3,95,42.1%,95,1.39,95,9.5%
Jaylen Brown,23.0,BOS,Wing,670,75,21.8%,68,117.6,61,10.0%,43,0.46,29,12.7%
Trey Burke,27.0,DAL,Point,155,17,19.7%,50,117.5,0,10.9%,0,0.55,83,8.6%
Jimmy Butler,30.1,MIA,Wing,806,93,26.7%,86,122.3,96,26.2%,93,0.98,39,12.4%
Kentavious Caldwell-Pope,26.7,LAL,Wing,608,29,14.0%,57,111.9,32,6.2%,36,0.44,89,7.7%
Alex Caruso,25.7,LAL,Combo,499,5,14.0%,60,111.7,30,15.8%,75,1.13,0,19.3%
Gary Clark,25.0,ORL,Forward,143,6,10.6%,29,105.7,29,7.8%,53,0.74,94,5.7%
Jordan Clarkson,27.4,UTA,Wing,197,86,24.6%,75,118.2,79,12.8%,54,0.52,96,6.6%
Mike Conley,32.1,UTA,Point,162,58,24.8%,100,133.3,67,26.6%,50,1.07,100,6.1%
Pat Connaughton,26.8,MIL,Wing,170,11,10.6%,50,111.1,43,8.0%,82,0.76,36,12.5%
Robert Covington,28.9,HOU,Big,371,15,11.3%,87,135.5,38,7.0%,62,0.62,49,13.0%
Torrey Craig,28.9,DEN,Wing,372,7,10.4%,18,102.4,14,4.9%,46,0.47,75,10.8%
Jae Crowder,29.3,MIA,Big,659,62,15.1%,28,114.0,69,9.3%,64,0.62,92,6.9%
Seth Curry,29.2,DAL,Combo,172,0,13.9%,100,142.6,0,6.1%,0,0.44,35,14.2%
Anthony Davis,26.6,LAL,Big,768,90,25.9%,82,133.6,82,15.6%,56,0.60,72,11.1%
Donte DiVincenzo,22.7,MIL,Combo,161,25,17.9%,65,113.8,10,11.2%,10,0.63,25,15.5%
Luka Doncic,20.7,DAL,Wing,214,100,42.0%,82,121.7,100,43.7%,100,1.04,18,15.0%
Luguentz Dort,20.5,OKC,Wing,174,79,22.2%,4,90.4,21,5.9%,4,0.26,14,16.8%
Goran Dragic,33.5,MIA,Point,552,92,27.7%,8,110.6,33,23.4%,8,0.85,67,11.5%
Joel Embiid,25.6,PHI,Big,144,97,33.0%,38,117.6,56,7.8%,13,0.24,44,13.8%
James Ennis,29.3,ORL,Forward,119,35,15.1%,6,92.1,18,7.1%,18,0.47,18,14.3%
Dorian Finney-Smith,26.5,DAL,Forward,190,29,14.3%,53,113.0,53,13.8%,82,0.96,18,14.3%
Evan Fournier,27.0,ORL,Wing,170,54,17.9%,14,101.6,71,11.0%,64,0.61,32,12.6%
Markelle Fultz,21.4,ORL,Combo,143,65,25.4%,0,91.9,90,30.1%,90,1.19,30,14.3%
Danilo Gallinari,31.2,OKC,Big,211,77,19.6%,33,115.4,26,5.2%,18,0.26,28,15.3%
Marc Gasol,34.8,TOR,Big,226,69,17.3%,5,95.7,87,18.8%,97,1.09,10,18.3%
Paul George,29.5,LAC,Wing,475,89,26.5%,43,108.3,89,15.8%,61,0.60,21,13.7%
Shai Gilgeous-Alexander,21.3,OKC,Wing,279,61,18.8%,61,114.0,93,16.5%,89,0.87,46,12.2%
Rudy Gobert,27.3,UTA,Big,270,54,14.8%,69,128.3,21,4.3%,21,0.29,79,10.7%
Eric Gordon,30.9,HOU,Wing,409,82,23.3%,36,107.3,86,15.1%,71,0.65,64,11.3%
Jerami Grant,25.6,DEN,Big,652,56,14.9%,23,109.4,31,5.6%,31,0.37,59,11.9%
Danny Green,32.4,LAL,Wing,521,43,14.8%,11,94.9,36,6.4%,29,0.43,93,6.8%
JaMychal Green,29.4,LAC,Big,208,18,11.5%,92,138.6,15,4.2%,28,0.37,90,7.5%
Jeff Green,33.2,HOU,Forward,336,41,15.3%,94,125.5,35,8.8%,29,0.58,47,13.3%
Tim Hardaway Jr.,27.6,DAL,Wing,203,68,20.6%,39,108.1,46,8.1%,25,0.39,100,3.1%
James Harden,30.2,HOU,Point,445,100,35.6%,83,128.3,100,38.5%,58,1.08,42,12.7%
Montrezl Harrell,25.8,LAC,Big,231,74,19.1%,49,121.0,8,2.9%,3,0.15,82,10.2%
Gary Harris,25.1,DEN,Wing,379,39,14.6%,21,103.0,57,9.4%,68,0.64,11,17.5%
Tobias Harris,27.3,PHI,Forward,148,71,23.2%,0,90.0,71,19.0%,71,0.82,100,5.0%
Gordon Hayward,29.6,BOS,Forward,157,47,16.4%,18,100.0,47,12.0%,47,0.73,53,11.5%
Tyler Herro,19.8,MIA,Combo,705,50,22.5%,50,111.3,50,17.9%,40,0.80,50,12.1%
George Hill,33.5,MIL,Combo,268,20,16.6%,70,119.2,45,17.4%,70,1.05,10,15.8%
Justin Holiday,30.6,IND,Wing,131,0,7.8%,100,131.8,4,3.3%,32,0.43,25,13.6%
Al Horford,33.4,PHI,Big,128,23,11.7%,13,100.0,77,11.0%,87,0.94,62,11.8%
Danuel House,26.4,HOU,Forward,276,24,14.1%,71,115.7,24,7.1%,24,0.51,82,8.0%
Dwight Howard,33.9,LAL,Big,253,26,12.5%,85,134.8,18,4.3%,23,0.34,8,19.4%
Serge Ibaka,30.1,TOR,Big,251,72,18.7%,95,140.5,67,9.0%,41,0.48,69,11.2%
Andre Iguodala,35.8,MIA,Forward,409,0,9.0%,88,121.5,41,11.0%,88,1.22,0,17.1%
Joe Ingles,32.1,UTA,Forward,234,18,13.9%,41,110.7,76,19.4%,100,1.40,88,5.8%
Reggie Jackson,29.5,LAC,Combo,162,10,14.0%,85,125.5,5,9.1%,20,0.65,90,10.0%
LeBron James,34.8,LAL,Forward,759,100,33.8%,100,131.5,100,42.3%,94,1.25,12,14.5%
Nikola Jokic,24.7,DEN,Big,694,95,29.3%,54,122.0,97,27.8%,90,0.95,41,14.1%
Maxi Kleber,27.8,DAL,Big,203,5,10.1%,3,88.9,36,5.8%,54,0.58,85,8.4%
Kyle Korver,38.6,MIL,Wing,115,36,14.5%,96,131.1,0,1.2%,0,0.08,46,12.2%
Kyle Kuzma,24.3,LAL,Forward,470,53,16.8%,35,108.2,12,5.0%,6,0.30,59,11.1%
Caris LeVert,25.2,BKN,Combo,139,95,33.0%,15,97.6,100,47.5%,100,1.44,55,11.7%
Kawhi Leonard,28.3,LAC,Forward,510,94,30.8%,76,119.2,88,24.4%,65,0.79,76,9.3%
Damian Lillard,29.3,POR,Point,187,75,27.0%,92,130.6,50,24.8%,25,0.92,58,12.6%
Brook Lopez,31.6,MIL,Big,327,49,14.2%,79,131.7,3,2.3%,5,0.16,74,11.0%
Kyle Lowry,33.6,TOR,Point,413,33,24.2%,33,114.7,42,24.2%,42,1.00,50,12.7%
Timothe Luwawu-Cabarrot,24.5,BKN,Wing,131,64,19.3%,29,104.9,25,6.0%,14,0.31,61,11.4%
Wesley Matthews,33.0,MIL,Wing,246,14,11.5%,71,118.0,18,5.1%,39,0.45,68,11.1%
CJ McCollum,28.1,POR,Combo,240,70,25.7%,55,111.5,15,13.1%,5,0.51,60,11.6%
JaVale McGee,31.8,LAL,Big,128,10,10.9%,90,136.7,51,7.2%,74,0.66,5,21.2%
Ben McLemore,26.7,HOU,Wing,117,25,13.2%,64,117.1,11,4.7%,18,0.35,79,9.1%
Khris Middleton,28.2,MIL,Forward,355,88,29.8%,24,103.0,94,25.4%,76,0.85,35,13.8%
Paul Millsap,34.7,DEN,Big,459,67,16.5%,18,106.3,49,7.2%,36,0.44,31,15.3%
Shake Milton,23.1,PHI,Combo,125,30,18.6%,80,123.4,25,15.1%,45,0.81,75,11.4%
Donovan Mitchell,23.1,UTA,Combo,263,100,39.4%,95,138.8,70,25.2%,15,0.64,40,13.2%
Marcus Morris,30.2,LAC,Big,386,44,13.5%,74,130.8,54,7.6%,44,0.56,87,7.6%
Markieff Morris,30.2,LAL,Big,379,28,12.7%,62,124.0,46,7.2%,49,0.57,26,16.1%
Monte Morris,24.3,DEN,Point,396,8,18.5%,58,117.7,17,20.3%,67,1.10,92,6.2%
Jamal Murray,22.7,DEN,Combo,752,80,29.2%,90,127.5,80,29.6%,65,1.01,80,11.1%
Georges Niang,26.4,UTA,Big,109,51,14.4%,72,130.0,23,5.1%,26,0.35,100,3.0%
Kendrick Nunn,24.2,MIA,Combo,237,40,19.7%,10,96.8,20,14.1%,30,0.71,65,11.6%
Jusuf Nurkic,25.2,POR,Big,201,87,22.2%,26,109.4,90,19.7%,85,0.88,18,16.9%
