Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Ray Allen,32.3,BOS,Wing,984,92,91.3%,29,5.9%,48,1.7%,39,10.5%
Rafer Alston,31.3,HOU,Point,125,0,80.0%,31,6.0%,0,0.0%,88,33.3%
Carmelo Anthony,23.4,DEN,Forward,146,50,82.8%,80,12.2%,53,1.7%,47,8.3%
Leandro Barbosa,24.9,PHX,Combo,137,0,100.0%,67,9.1%,0,0.7%,92,40.0%
Andrea Bargnani,22.0,TOR,Big,103,0,100.0%,2,2.5%,7,0.9%,0,0.0%
Brent Barry,35.8,SAS,Wing,190,0,83.3%,13,5.0%,32,1.2%,90,50.0%
Brandon Bass,22.5,DAL,Big,131,0,96.0%,98,26.1%,45,1.8%,30,8.3%
Shane Battier,29.1,HOU,Forward,245,0,77.8%,13,2.3%,33,1.4%,0,0.0%
Raja Bell,31.1,PHX,Wing,212,0,81.3%,84,14.0%,55,1.7%,0,0.0%
Mike Bibby,29.5,ATL,Point,250,0,65.6%,44,9.7%,88,3.4%,0,0.0%
Chauncey Billups,31.1,DET,Point,479,75,83.2%,100,17.3%,94,3.9%,38,14.3%
Keith Bogans,27.5,ORL,Wing,291,0,72.7%,42,8.5%,6,0.7%,90,50.0%
Carlos Boozer,25.9,UTA,Big,440,50,71.4%,43,13.5%,23,1.3%,45,14.3%
Chris Bosh,23.6,TOR,Big,198,90,83.3%,84,22.3%,32,1.6%,91,34.8%
Bruce Bowen,36.4,SAS,Wing,505,0,72.7%,0,2.1%,16,0.9%,90,50.0%
Ronnie Brewer,22.6,UTA,Wing,304,0,76.0%,55,10.4%,42,1.5%,65,27.3%
P.J. Brown,38.0,BOS,Big,329,0,84.0%,66,18.5%,9,0.9%,30,8.3%
Kobe Bryant,29.2,LAL,Wing,859,42,80.7%,77,12.8%,100,4.3%,61,24.6%
Caron Butler,27.6,WAS,Wing,245,58,87.1%,68,11.6%,84,3.1%,65,27.3%
Jose Calderon,26.1,TOR,Point,118,0,100.0%,19,4.0%,56,2.0%,0,0.0%
Marcus Camby,33.6,DEN,Big,123,0,33.3%,32,12.5%,5,0.3%,0,0.0%
Sam Cassell,38.0,BOS,Combo,259,0,82.4%,42,6.0%,67,2.3%,42,14.3%
Tyson Chandler,25.1,NOP,Big,409,0,62.5%,7,5.6%,66,2.3%,0,0.0%
Josh Childress,24.4,ATL,Wing,193,0,50.0%,87,14.3%,3,0.5%,71,33.3%
Samuel Dalembert,27.5,PHI,Big,192,0,84.2%,55,17.0%,11,1.0%,39,11.1%
Antonio Daniels,32.6,WAS,Point,151,0,100.0%,81,14.3%,38,1.6%,56,20.0%
Glen Davis,21.8,BOS,Big,112,0,50.0%,70,19.2%,77,2.6%,0,0.0%
Carlos Delfino,25.2,TOR,Wing,120,0,90.0%,52,9.8%,29,1.2%,0,0.0%
Boris Diaw,25.5,PHX,Big,174,0,50.0%,5,4.5%,80,2.6%,0,0.0%
Keyon Dooling,27.5,ORL,Combo,141,0,85.7%,50,7.5%,92,2.9%,0,0.0%
Tim Duncan,31.5,SAS,Big,662,15,62.6%,52,16.9%,39,1.7%,82,22.4%
Maurice Evans,29.0,ORL,Wing,277,0,62.5%,26,5.6%,10,0.7%,0,0.0%
Reggie Evans,27.5,PHI,Big,139,0,68.2%,82,21.9%,34,1.7%,0,0.0%
Jordan Farmar,20.9,LAL,Point,341,0,85.7%,13,3.7%,6,1.1%,94,50.0%
Michael Finley,34.7,SAS,Forward,373,0,100.0%,0,2.0%,20,0.6%,0,0.0%
Derek Fisher,33.2,LAL,Point,663,88,83.6%,94,14.6%,44,1.7%,63,20.8%
T.J. Ford,24.6,TOR,Point,124,0,93.8%,50,11.1%,63,2.2%,75,28.6%
Kevin Garnett,31.5,BOS,Big,984,65,80.7%,20,8.9%,84,2.8%,45,14.3%
Pau Gasol,27.3,LAL,Big,834,45,69.2%,36,12.8%,91,3.2%,57,15.8%
