Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Kyle Anderson,27.1,MEM,Forward,213,94,-14.0,90,-5.0,49,+0.0%,92,-38.8,63,-0.5,3,+34.5%,99,-122.2,83,-3.2,86,-6.4%,78,-30.8
Giannis Antetokounmpo,25.9,MIL,Big,792,88,-11.0,66,-1.6,43,+0.3%,52,+0.2,59,-0.4,30,+6.4%,39,+18.0,57,-0.8,58,-0.7%,46,-2.8
Carmelo Anthony,36.4,POR,Forward,143,5,+19.0,1,+7.7,15,+2.9%,1,+67.6,16,+1.8,2,+36.5%,17,+46.7,5,+5.3,90,-7.4%,1,+100.0
Nicolas Batum,31.9,LAC,Wing,554,62,-3.0,67,-1.7,62,-0.7%,70,-16.4,47,+0.3,25,+8.4%,42,+14.7,72,-1.8,64,-2.1%,81,-33.2
Bradley Beal,27.3,WAS,Wing,258,2,+23.0,8,+4.9,14,+3.0%,4,+46.9,11,+2.3,47,+1.0%,0,+161.5,17,+2.5,27,+4.2%,26,+16.6
Davis Bertans,28.0,WAS,Forward,150,13,+11.2,50,-0.0,57,-0.3%,68,-13.6,94,-2.6,94,-20.0%,84,-50.0,19,+2.3,46,+0.6%,32,+10.5
Patrick Beverley,32.3,LAC,Combo,314,52,-1.3,34,+1.2,42,+0.4%,32,+11.2,39,+0.7,74,-8.2%,19,+44.7,32,+0.8,39,+1.7%,24,+17.5
Bojan Bogdanovic,31.5,UTA,Forward,389,21,+6.2,86,-4.0,69,-1.1%,74,-19.7,32,+0.9,66,-4.3%,49,+6.4,96,-5.0,43,+0.9%,84,-37.4
Devin Booker,24.0,PHX,Wing,887,82,-9.0,93,-5.3,82,-2.7%,86,-28.6,86,-1.9,26,+7.6%,86,-51.1,90,-3.7,87,-6.8%,77,-25.7
Reggie Bullock,29.6,NYK,Wing,162,62,-2.9,98,-7.9,84,-3.0%,98,-65.4,64,-0.5,63,-2.9%,13,+50.0,98,-5.4,84,-6.0%,98,-73.1
Alec Burks,29.3,NYK,Wing,127,50,-0.9,4,+6.6,89,-3.6%,0,+75.4,81,-1.6,36,+2.9%,84,-50.0,0,+7.4,68,-2.9%,0,+107.0
Jimmy Butler,31.1,MIA,Wing,150,0,+34.7,17,+3.1,9,+4.0%,66,-12.2,69,-0.9,70,-5.6%,64,-12.5,21,+2.0,3,+13.5%,90,-45.7
Kentavious Caldwell-Pope,27.7,LAL,Wing,178,24,+4.8,46,+0.1,97,-6.2%,28,+12.8,72,-1.1,34,+4.2%,56,+1.7,41,+0.4,97,-11.2%,35,+7.9
Clint Capela,26.5,ATL,Big,568,80,-8.3,62,-1.3,17,+2.9%,55,-4.6,36,+0.9,62,-2.7%,35,+23.9,78,-2.5,9,+8.8%,70,-19.1
Jordan Clarkson,28.4,UTA,Combo,296,23,+4.8,6,+5.2,58,-0.3%,13,+25.6,25,+1.2,21,+9.5%,50,+3.6,7,+4.1,90,-7.6%,10,+38.5
Mike Conley,33.1,UTA,Point,175,63,-3.0,30,+1.4,37,+0.6%,30,+12.5,42,+0.6,24,+8.6%,38,+18.2,36,+0.6,18,+6.2%,38,+4.7
Pat Connaughton,27.8,MIL,Wing,526,17,+9.8,42,+0.6,64,-0.8%,57,-5.8,33,+0.9,28,+6.9%,34,+25.5,49,-0.1,78,-4.6%,69,-17.8
Robert Covington,29.9,POR,Big,228,98,-19.9,98,-7.7,30,+1.2%,99,-85.6,93,-2.4,7,+22.5%,97,-100.0,89,-3.7,22,+5.1%,93,-57.7
Jae Crowder,30.3,PHX,Forward,728,70,-4.6,31,+1.4,59,-0.3%,29,+12.8,35,+0.9,50,+0.3%,43,+12.8,42,+0.3,57,-0.5%,33,+10.2
Seth Curry,30.2,PHI,Wing,381,20,+6.4,6,+5.5,91,-4.3%,6,+38.6,7,+2.7,62,-2.7%,7,+72.4,13,+2.9,70,-3.1%,17,+26.2
Anthony Davis,27.6,LAL,Big,186,55,-1.9,90,-4.9,22,+2.4%,88,-31.5,56,-0.2,4,+26.2%,62,-7.9,93,-4.3,46,+0.4%,86,-40.0
Goran Dragic,34.5,MIA,Point,111,98,-19.3,10,+4.0,82,-2.7%,7,+38.2,14,+1.8,88,-17.1%,9,+66.7,23,+1.9,82,-5.2%,15,+31.8
Andre Drummond,27.2,LAL,Big,121,70,-5.1,86,-3.9,66,-1.0%,75,-19.9,79,-1.6,18,+9.8%,73,-26.4,80,-2.8,63,-2.0%,76,-25.7
