Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Bam Adebayo,23.3,MIA,Big,132,6,45.5%,20,32%,100,51%,80,17%,100,68%,0,0%,0,0%,0,0%
Grayson Allen,25.1,MEM,Wing,145,39,51.2%,39,21%,36,9%,39,7%,39,16%,43,14%,86,49%,71,63%
Kyle Anderson,27.1,MEM,Forward,213,13,43.2%,65,24%,100,45%,39,6%,96,52%,35,6%,17,18%,13,24%
Giannis Antetokounmpo,25.9,MIL,Big,792,54,59.1%,63,56%,69,23%,69,8%,57,31%,0,0%,43,13%,43,13%
Carmelo Anthony,36.4,POR,Forward,143,65,54.2%,0,5%,43,11%,96,25%,65,36%,70,16%,70,43%,61,59%
Deandre Ayton,22.3,PHX,Big,799,89,65.8%,71,66%,86,28%,63,7%,63,34%,0,0%,0,0%,0,0%
Desmond Bane,22.4,MEM,Wing,153,86,60.3%,36,20%,46,14%,54,11%,57,26%,46,14%,57,40%,54,54%
RJ Barrett,20.4,NYK,Wing,158,7,44.6%,93,41%,64,17%,25,4%,43,21%,61,18%,14,20%,29,38%
Nicolas Batum,31.9,LAC,Wing,554,89,62.0%,75,30%,18,5%,21,3%,18,9%,93,32%,36,30%,68,62%
Bradley Beal,27.3,WAS,Wing,258,21,50.0%,54,23%,100,34%,89,18%,96,52%,11,3%,21,21%,7,24%
Davis Bertans,28.0,WAS,Forward,150,35,50.0%,13,12%,9,5%,0,0%,0,5%,57,15%,100,68%,100,83%
Patrick Beverley,32.3,LAC,Combo,314,57,52.3%,62,24%,33,21%,0,0%,19,21%,76,16%,67,39%,71,55%
Bogdan Bogdanovic,28.2,ATL,Wing,598,14,48.6%,7,12%,57,16%,79,16%,68,31%,50,16%,64,41%,61,57%
Bojan Bogdanovic,31.5,UTA,Forward,389,87,59.9%,39,17%,78,27%,17,3%,57,30%,78,17%,57,36%,48,53%
Devin Booker,24.0,PHX,Wing,887,18,49.8%,14,16%,86,29%,100,29%,100,58%,4,2%,29,24%,11,26%
Mikal Bridges,24.2,PHX,Wing,699,64,57.1%,71,29%,61,17%,43,7%,50,24%,86,26%,25,22%,39,47%
Dillon Brooks,24.8,MEM,Wing,259,36,51.1%,82,31%,89,31%,96,20%,93,51%,7,3%,7,15%,0,17%
Bruce Brown,24.2,BKN,Forward,260,52,51.4%,96,43%,96,40%,22,4%,74,44%,26,5%,4,8%,0,13%
Jalen Brunson,24.2,DAL,Combo,109,62,52.4%,76,29%,95,33%,67,14%,86,48%,10,2%,19,21%,10,24%
Reggie Bullock,29.6,NYK,Wing,162,43,51.3%,11,12%,4,2%,61,12%,32,15%,29,12%,100,61%,93,73%
Alec Burks,29.3,NYK,Wing,127,32,50.9%,57,23%,71,20%,75,15%,75,35%,21,10%,43,32%,32,42%
Jimmy Butler,31.1,MIA,Wing,150,0,33.9%,79,30%,93,31%,93,19%,89,50%,18,4%,11,16%,4,20%
Kentavious Caldwell-Pope,27.7,LAL,Wing,178,21,50.0%,43,23%,0,0%,54,11%,25,11%,100,34%,39,31%,79,66%
Facundo Campazzo,29.6,DEN,Point,268,57,53.5%,36,25%,21,12%,0,0%,0,12%,93,17%,79,47%,100,64%
Clint Capela,26.5,ATL,Big,568,71,60.3%,97,89%,17,11%,0,0%,11,11%,0,0%,0,0%,0,0%
Alex Caruso,26.7,LAL,Combo,149,19,48.0%,100,48%,5,10%,14,2%,0,12%,86,24%,10,16%,48,40%
Jordan Clarkson,28.4,UTA,Combo,296,43,51.2%,14,8%,71,29%,24,4%,48,33%,52,9%,95,49%,86,59%
Nicolas Claxton,21.5,BKN,Big,120,9,50.0%,66,61%,94,39%,0,0%,74,39%,0,0%,0,0%,0,0%
John Collins,23.1,ATL,Big,576,74,60.4%,34,36%,80,27%,71,8%,66,35%,86,13%,51,16%,57,29%
Mike Conley,33.1,UTA,Point,175,79,56.9%,7,12%,93,34%,14,1%,57,35%,21,1%,100,51%,86,53%
Pat Connaughton,27.8,MIL,Wing,526,93,62.4%,25,19%,11,3%,0,0%,0,3%,82,23%,96,55%,100,77%
Robert Covington,29.9,POR,Big,228,83,65.3%,40,40%,6,5%,0,0%,3,5%,83,13%,97,43%,97,55%
Torrey Craig,29.9,PHX,Big,243,51,56.8%,43,41%,14,9%,57,6%,17,14%,94,22%,66,23%,86,45%
Jae Crowder,30.3,PHX,Forward,728,70,56.6%,9,11%,0,4%,57,9%,26,14%,74,17%,96,59%,91,75%
Seth Curry,30.2,PHI,Wing,381,100,71.8%,4,9%,68,18%,86,18%,79,36%,25,11%,71,43%,57,55%
