Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Precious Achiuwa,25.1,NYK,Big,1141,60,1.8%,88,1.7%,85,2.7%,56,8.6%,56,18.2%,72,3.8%,91,46.3%
Steven Adams,31.3,HOU,Big,784,61,1.8%,36,1.1%,86,2.7%,100,19.2%,68,20.1%,88,6.9%,13,8.6%
Bam Adebayo,27.3,MIA,Big,2666,24,1.0%,83,1.6%,94,2.3%,42,7.3%,75,21.0%,0,0.0%,67,33.3%
Ochai Agbaji,24.5,TOR,Wing,1711,63,0.8%,49,1.4%,60,2.9%,61,3.5%,43,9.5%,62,1.0%,68,16.3%
Santi Aldama,23.8,MEM,Big,1634,15,0.8%,59,1.3%,98,1.7%,21,5.2%,44,16.7%,68,3.2%,90,46.0%
Nickeil Alexander-Walker,26.2,MIN,Wing,2053,66,0.8%,15,1.0%,64,2.8%,41,2.7%,45,9.8%,0,0.0%,44,9.0%
Grayson Allen,29.1,PHX,Wing,1532,52,0.6%,57,1.5%,77,2.5%,33,2.5%,56,10.7%,0,0.0%,37,6.9%
Jarrett Allen,26.5,CLE,Big,2292,46,1.6%,69,1.4%,97,2.1%,67,9.9%,82,22.9%,0,0.0%,87,43.4%
Jose Alvarado,26.6,NOP,Point,1332,52,0.5%,88,2.2%,52,2.9%,35,1.9%,31,8.0%,90,2.6%,42,4.2%
Kyle Anderson,31.1,MIA,Big,444,41,1.4%,70,1.4%,47,3.9%,31,6.1%,35,15.5%,0,0.0%,58,30.0%
Kyle Anderson,31.1,GSW,Big,508,65,2.0%,96,2.2%,72,3.1%,17,4.7%,22,13.7%,72,3.8%,56,28.9%
Giannis Antetokounmpo,29.9,MIL,Big,2287,53,1.7%,41,1.1%,92,2.4%,41,7.2%,93,26.3%,59,2.1%,85,42.0%
Cole Anthony,24.5,ORL,Point,1172,96,1.4%,33,1.5%,2,5.2%,83,3.6%,88,13.3%,73,1.3%,65,6.5%
OG Anunoby,27.3,NYK,Forward,2701,80,1.2%,77,1.8%,70,2.6%,52,3.8%,17,9.4%,35,0.9%,55,18.7%
Deni Avdija,23.8,POR,Forward,2166,54,0.8%,52,1.4%,53,3.1%,75,5.0%,98,18.4%,46,1.6%,92,34.7%
Deandre Ayton,26.3,POR,Big,1205,50,1.6%,41,1.1%,82,2.8%,70,10.3%,86,24.0%,57,1.9%,71,34.6%
Marcus Bagley,23.0,PHI,Forward,246,98,2.3%,61,1.5%,73,2.5%,91,7.2%,97,18.3%,98,18.2%,61,20.0%
Marvin Bagley,25.6,WAS,Big,115,47,1.6%,70,1.4%,70,3.1%,95,14.7%,36,15.9%,0,0.0%,0,0.0%
LaMelo Ball,23.2,CHA,Point,1501,44,0.4%,29,1.5%,27,3.8%,73,2.9%,83,12.6%,85,1.6%,35,3.1%
Lonzo Ball,27.0,CHI,Wing,776,87,1.0%,93,2.5%,63,2.8%,52,3.1%,61,10.9%,0,0.0%,12,2.9%
Mohamed Bamba,26.5,LAC,Big,316,99,4.3%,46,1.1%,6,5.7%,42,7.3%,94,26.7%,0,0.0%,92,47.4%
Paolo Banchero,22.0,ORL,Big,1580,19,0.9%,31,1.0%,91,2.4%,4,3.2%,59,18.6%,59,2.1%,64,31.8%
Desmond Bane,26.4,MEM,Wing,2191,51,0.6%,52,1.5%,70,2.7%,42,2.7%,96,14.8%,77,1.9%,84,21.2%
Dalano Banton,25.0,POR,Wing,1037,97,1.6%,67,1.6%,90,2.1%,38,2.6%,36,9.1%,85,3.3%,43,8.5%
