Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Arron Afflalo,24.0,DEN,Wing,118,0,81.8%,63,11.4%,60,1.9%,60,25.0%
LaMarcus Aldridge,24.3,POR,Big,225,67,75.0%,56,14.8%,98,5.4%,0,0.0%
Ray Allen,34.3,BOS,Wing,922,56,86.3%,31,8.6%,80,2.3%,60,25.0%
Tony Allen,27.8,BOS,Wing,379,17,76.5%,77,13.5%,54,1.8%,71,28.6%
Lou Amundson,26.9,PHX,Big,172,0,42.1%,67,17.5%,60,1.9%,40,14.3%
Chris Andersen,31.3,DEN,Big,115,0,64.3%,91,26.1%,37,1.2%,0,0.0%
Carmelo Anthony,25.4,DEN,Wing,252,72,87.7%,94,15.7%,89,3.2%,37,12.0%
Carlos Arroyo,30.3,MIA,Point,110,0,0.0%,0,0.0%,0,0.0%,93,0.0%
Leandro Barbosa,26.9,PHX,Wing,227,0,70.0%,37,9.2%,40,1.5%,83,33.3%
Matt Barnes,29.6,ORL,Wing,325,0,85.0%,23,7.6%,26,0.9%,0,0.0%
Nicolas Batum,20.9,POR,Wing,138,0,75.0%,26,7.7%,9,0.7%,0,0.0%
Jerryd Bayless,21.2,POR,Combo,156,0,77.3%,75,12.3%,25,1.9%,92,37.5%
Michael Beasley,20.8,MIA,Forward,131,0,77.8%,10,8.0%,40,1.4%,30,25.0%
Mike Bibby,31.5,ATL,Point,291,0,70.0%,27,3.6%,33,1.5%,0,0.0%
Chauncey Billups,33.1,DEN,Combo,206,100,88.1%,58,11.0%,100,4.4%,42,20.0%
Matt Bonner,29.6,SAS,Big,169,0,100.0%,7,2.3%,5,0.5%,0,0.0%
Carlos Boozer,27.9,UTA,Big,400,11,54.3%,26,7.3%,42,1.5%,67,23.1%
Shannon Brown,23.9,LAL,Combo,296,0,72.7%,33,9.6%,8,1.4%,42,20.0%
Kobe Bryant,31.2,LAL,Wing,921,50,84.2%,66,12.1%,97,3.6%,49,17.6%
Caron Butler,29.6,DAL,Wing,195,94,92.6%,57,10.8%,46,1.7%,26,9.1%
Andrew Bynum,22.0,LAL,Big,546,50,69.2%,58,16.3%,44,1.6%,84,29.6%
Marcus Camby,35.6,POR,Big,177,0,50.0%,12,5.1%,16,0.8%,0,0.0%
Vince Carter,32.8,ORL,Wing,477,44,82.6%,71,12.9%,74,2.3%,69,26.9%
Mario Chalmers,23.5,MIA,Combo,130,0,84.6%,50,10.0%,92,4.3%,100,50.0%
Jarron Collins,30.9,PHX,Big,112,0,100.0%,21,6.3%,74,2.1%,0,0.0%
Nick Collison,29.0,OKC,Big,121,0,20.0%,44,13.0%,9,0.8%,88,33.3%
Jamal Crawford,29.6,ATL,Combo,323,60,83.6%,67,12.3%,42,2.7%,17,5.0%
