Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Jeff Adrien,24.7,GSW,Big,159,65,-1.3,83,-3.4,23,+2.2%,50,+0.0%,5,+6.8,0,+7.1,65,-4.3
Arron Afflalo,25.0,DEN,Wing,2270,60,-0.8,37,+1.4,72,-1.5%,53,+0.2%,78,-2.8,93,-3.3,25,+8.4
Alexis Ajinca,22.5,TOR,Big,240,95,-7.3,97,-7.5,87,-3.1%,14,-1.6%,98,-6.9,75,-1.4,98,-29.0
Cole Aldrich,22.0,OKC,Big,101,63,-1.2,53,-0.2,62,-0.8%,0,-6.4%,61,-0.9,89,-2.6,17,+11.4
LaMarcus Aldridge,25.3,POR,Big,3202,97,-8.3,82,-3.4,70,-1.4%,94,+2.3%,84,-3.5,71,-1.1,81,-9.5
Malik Allen,32.3,ORL,Big,159,1,+10.1,6,+6.1,18,+2.8%,5,-2.5%,0,+12.6,2,+5.2,1,+38.5
Ray Allen,35.3,BOS,Wing,2883,32,+1.9,28,+2.3,72,-1.5%,62,+0.4%,48,+0.3,50,-0.0,44,+1.9
Tony Allen,28.8,MEM,Combo,1474,85,-4.7,95,-6.4,48,+0.2%,69,+0.7%,43,+0.7,54,-0.2,35,+4.7
Al-Farouq Aminu,20.1,LAC,Wing,1391,58,-0.7,35,+1.6,48,+0.3%,55,+0.2%,81,-3.1,54,-0.2,92,-17.7
Lou Amundson,27.9,GSW,Big,664,52,-0.1,62,-1.0,21,+2.6%,8,-2.1%,98,-7.9,28,+1.3,99,-39.0
Chris Andersen,32.3,DEN,Big,708,78,-3.2,90,-4.6,13,+3.3%,10,-1.8%,21,+2.8,7,+3.5,75,-7.2
David Andersen,30.4,TOR,Big,140,98,-9.2,67,-1.5,28,+1.8%,98,+3.7%,99,-8.4,91,-3.1,98,-29.1
David Andersen,30.4,NOH,Big,191,2,+9.6,1,+10.7,40,+0.9%,62,+0.4%,74,-2.0,33,+0.9,91,-17.6
James Anderson,21.6,SAS,Wing,268,27,+2.5,8,+5.5,15,+3.1%,76,+1.0%,53,-0.2,37,+0.7,67,-5.2
Ryan Anderson,22.5,ORL,Big,1342,54,-0.2,30,+2.1,81,-2.3%,66,+0.5%,67,-1.4,56,-0.3,76,-7.7
Carmelo Anthony,26.4,DEN,Forward,1762,81,-3.8,94,-5.8,30,+1.6%,35,-0.6%,89,-4.2,59,-0.4,95,-20.9
Carmelo Anthony,26.4,NYK,Wing,975,6,+7.7,5,+6.5,44,+0.6%,7,-2.3%,6,+5.7,44,+0.3,3,+27.9
Joel Anthony,28.2,MIA,Big,1410,48,+0.2,74,-2.6,9,+3.7%,30,-0.8%,35,+1.4,24,+1.7,63,-3.7
Gilbert Arenas,28.8,WAS,Combo,708,27,+2.5,88,-4.3,29,+1.7%,28,-0.9%,6,+6.0,4,+4.6,44,+1.9
