Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Alex Abrines,23.3,OKC,Wing,976,13,+5.2,6,+6.4,52,-0.0%,54,+0.2%,63,-1.2,66,-0.9,54,-1.0
Quincy Acy,26.1,BKN,Big,492,45,+0.6,86,-4.1,2,+5.4%,57,+0.3%,4,+6.3,6,+3.5,11,+16.5
Steven Adams,23.3,OKC,Big,2381,86,-4.4,78,-2.8,89,-3.0%,46,-0.1%,72,-1.9,63,-0.7,70,-6.7
Arron Afflalo,31.0,SAC,Wing,1576,14,+5.2,10,+4.9,31,+1.4%,33,-0.7%,69,-1.7,74,-1.3,52,-0.4
Alexis Ajinca,28.5,NOP,Big,566,35,+1.6,54,-0.4,7,+3.9%,15,-1.6%,7,+4.7,10,+2.7,21,+9.9
Cole Aldrich,28.0,MIN,Big,497,66,-1.6,55,-0.4,55,-0.3%,92,+2.1%,55,-0.5,87,-2.3,11,+16.1
LaMarcus Aldridge,31.3,SAS,Big,2325,20,+3.7,33,+1.9,79,-2.0%,38,-0.4%,12,+3.9,45,+0.2,4,+23.2
Lavoy Allen,27.7,IND,Big,829,10,+5.9,34,+1.7,79,-2.0%,24,-1.1%,84,-3.3,94,-3.2,39,+2.9
Tony Allen,34.8,MEM,Wing,1906,59,-0.9,83,-3.3,30,+1.5%,64,+0.5%,14,+3.5,12,+2.5,30,+5.6
Al-Farouq Aminu,26.1,POR,Big,1756,48,+0.2,47,+0.1,66,-1.0%,89,+1.8%,54,-0.4,54,-0.2,54,-1.1
Alan Anderson,34.0,LAC,Wing,258,2,+10.6,2,+10.1,8,+3.7%,8,-1.9%,3,+6.5,1,+5.4,57,-1.8
Justin Anderson,23.0,DAL,Wing,627,10,+5.8,6,+6.5,9,+3.6%,74,+0.8%,18,+2.8,39,+0.5,13,+14.7
Justin Anderson,23.0,PHI,Wing,462,62,-1.2,74,-2.3,31,+1.3%,31,-0.7%,11,+3.9,29,+0.9,16,+12.4
Kyle Anderson,23.1,SAS,Wing,912,90,-5.2,93,-6.6,76,-1.8%,92,+2.0%,84,-3.3,81,-1.8,79,-10.0
Ryan Anderson,28.5,HOU,Big,2112,72,-2.5,41,+0.8,96,-4.5%,65,+0.6%,67,-1.4,86,-2.2,24,+7.8
Giannis Antetokounmpo,21.9,MIL,Forward,2820,76,-3.2,52,-0.2,41,+0.8%,56,+0.3%,16,+3.2,8,+3.3,59,-2.4
Carmelo Anthony,32.4,NYK,Forward,2532,9,+6.0,27,+2.5,81,-2.1%,10,-1.9%,17,+3.1,40,+0.4,12,+15.0
Trevor Ariza,31.3,HOU,Forward,2759,21,+3.4,15,+4.1,91,-3.3%,29,-0.8%,88,-3.9,89,-2.6,62,-3.6
Darrell Arthur,28.6,DEN,Big,620,42,+0.9,44,+0.5,11,+3.4%,63,+0.5%,55,-0.5,63,-0.7,45,+1.6
Omer Asik,30.3,NOP,Big,481,61,-1.1,14,+4.1,68,-1.2%,18,-1.4%,54,-0.4,65,-0.8,34,+4.6
D.J. Augustin,29.0,ORL,Combo,1456,34,+1.7,60,-0.9,34,+1.1%,40,-0.4%,50,-0.1,71,-1.2,23,+8.4
