Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Alex Abrines,24.3,OKC,Wing,106,88,+11.4,72,+6.1,27,-2.5%,63,-1.1%,95,+11.9,47,+0.1,97,+90.1
Steven Adams,24.3,OKC,Big,199,83,+10.6,60,+3.1,91,+9.5%,40,+0.3%,52,+1.0,49,+0.4,52,+0.9
LaMarcus Aldridge,32.3,SAS,Big,175,60,+4.3,48,+0.1,84,+6.4%,95,-6.3%,90,+9.6,98,+9.7,23,-21.8
Al-Farouq Aminu,27.1,POR,Big,130,15,-8.9,14,-9.4,97,+10.4%,99,-7.2%,59,+2.1,89,+6.2,14,-38.6
Giannis Antetokounmpo,22.9,MIL,Forward,279,74,+8.3,23,-6.2,34,-1.9%,86,-3.3%,69,+3.2,63,+1.7,76,+22.8
Carmelo Anthony,33.4,OKC,Big,193,1,-18.0,24,-5.7,13,-6.0%,22,+2.3%,27,-3.4,22,-3.2,58,+6.6
Trevor Ariza,32.3,HOU,Wing,579,60,+4.2,44,-0.9,69,+3.6%,38,+0.6%,13,-6.6,43,-0.3,10,-41.5
Aron Baynes,30.9,BOS,Big,372,24,-5.2,15,-9.3,90,+9.1%,52,-0.5%,86,+7.4,88,+6.1,46,-2.7
Bradley Beal,24.3,WAS,Wing,215,4,-15.6,1,-15.3,10,-6.9%,67,-1.6%,64,+2.6,44,-0.3,71,+20.2
Marco Belinelli,31.6,PHI,Wing,272,90,+13.4,76,+8.0,85,+6.6%,65,-1.4%,49,+0.5,62,+1.6,40,-6.5
Eric Bledsoe,27.9,MIL,Point,223,82,+10.5,92,+13.6,77,+5.0%,93,-4.8%,98,+13.6,90,+6.3,98,+111.8
Bojan Bogdanovic,28.5,IND,Forward,233,48,+1.2,64,+4.3,33,-2.0%,65,-1.3%,39,-1.5,51,+0.6,27,-15.6
Corey Brewer,31.7,OKC,Wing,151,37,-2.1,59,+3.0,12,-6.3%,4,+4.4%,19,-5.8,6,-6.4,67,+16.4
Malcolm Brogdon,24.9,MIL,Combo,185,31,-3.9,12,-10.0,65,+2.6%,29,+1.5%,25,-4.4,34,-1.9,19,-27.3
Jaylen Brown,21.0,BOS,Wing,581,55,+3.4,43,-0.9,53,+0.3%,73,-1.7%,55,+1.7,65,+1.9,42,-5.7
Alec Burks,26.3,UTA,Wing,112,87,+11.3,90,+13.2,10,-6.9%,18,+2.8%,10,-7.7,13,-4.6,31,-14.1
Jimmy Butler,28.1,MIN,Wing,170,93,+16.8,99,+23.0,57,+1.4%,70,-1.7%,68,+3.1,72,+3.4,60,+9.1
Clint Capela,23.5,HOU,Big,518,30,-4.3,22,-6.4,96,+10.3%,56,-0.7%,76,+4.8,95,+7.9,13,-38.8
Ian Clark,26.7,NOP,Combo,166,32,-3.7,55,+1.8,39,-1.3%,79,-2.5%,6,-9.6,40,-1.1,3,-66.4
Jordan Clarkson,25.4,CLE,Combo,243,20,-6.6,29,-4.1,65,+2.6%,30,+1.4%,24,-4.5,45,-0.1,22,-22.6
Darren Collison,30.2,IND,Point,213,7,-12.0,6,-12.0,40,-1.2%,81,-2.8%,33,-2.0,48,+0.3,27,-15.4
Robert Covington,26.9,PHI,Forward,280,11,-10.3,5,-12.3,52,-0.0%,92,-4.7%,58,+2.0,83,+4.8,32,-13.8
Jamal Crawford,37.6,MIN,Wing,116,77,+8.7,88,+12.9,37,-1.4%,33,+1.1%,23,-4.9,10,-5.4,36,-11.1
Jae Crowder,27.3,UTA,Forward,320,12,-9.4,31,-3.6,3,-9.2%,6,+3.6%,16,-6.0,8,-5.9,60,+7.7
Stephen Curry,29.6,GSW,Point,552,53,+2.9,54,+1.6,29,-2.3%,53,-0.6%,56,+1.8,32,-2.1,80,+26.2
Anthony Davis,24.6,NOP,Big,357,19,-7.5,2,-14.1,78,+5.7%,88,-3.6%,57,+1.9,52,+0.7,65,+12.8
DeMar DeRozan,28.2,TOR,Wing,352,3,-17.0,10,-10.9,74,+4.4%,48,-0.2%,31,-2.3,77,+4.0,11,-41.0
Goran Dragic,31.5,MIA,Point,155,72,+7.8,52,+0.7,9,-6.9%,96,-6.3%,94,+11.3,50,+0.4,95,+67.5
Kevin Durant,29.1,GSW,Forward,805,97,+19.0,86,+12.0,19,-4.1%,72,-1.7%,75,+4.6,58,+1.2,77,+23.5
Wayne Ellington,29.9,MIA,Wing,100,5,-13.9,8,-11.6,63,+2.6%,0,+7.6%,3,-11.9,6,-6.4,8,-46.7
Joel Embiid,23.6,PHI,Big,278,35,-2.6,44,-0.7,23,-3.3%,47,+0.0%,18,-5.9,31,-2.1,26,-16.1
Dante Exum,22.3,UTA,Combo,110,68,+6.2,68,+5.2,35,-1.9%,26,+1.9%,40,-1.3,35,-1.6,54,+2.7
Derrick Favors,26.3,UTA,Big,284,94,+18.8,91,+13.5,58,+2.2%,52,-0.5%,70,+3.4,75,+3.5,39,-7.1
Rudy Gay,31.2,SAS,Big,158,80,+9.3,39,-2.2,60,+2.3%,44,+0.1%,88,+8.4,73,+3.4,86,+37.0
Paul George,27.5,OKC,Wing,250,65,+5.7,81,+9.8,28,-2.5%,62,-1.1%,92,+10.0,79,+4.0,91,+49.5
Taj Gibson,32.4,MIN,Big,122,2,-17.3,0,-16.5,47,-0.3%,6,+3.7%,28,-3.2,46,0.0,24,-20.0
Manu Ginobili,40.3,SAS,Wing,106,99,+21.7,93,+15.1,85,+7.0%,64,-1.1%,41,-1.2,81,+4.1,9,-44.7
Rudy Gobert,25.3,UTA,Big,381,29,-4.8,23,-5.9,81,+5.9%,57,-0.8%,44,-0.8,66,+2.1,23,-21.8
Eric Gordon,28.9,HOU,Wing,546,21,-6.4,48,-0.3,27,-2.8%,89,-3.7%,50,+0.6,40,-1.0,61,+10.6
Marcin Gortat,33.7,WAS,Big,159,90,+13.1,85,+11.2,95,+10.2%,69,-1.6%,60,+2.2,92,+7.1,16,-33.8
Jerami Grant,23.6,OKC,Big,128,85,+10.7,49,+0.2,87,+7.7%,85,-3.2%,66,+3.0,81,+4.1,34,-13.2
Danny Green,30.4,SAS,Wing,102,6,-12.4,2,-13.5,22,-3.6%,23,+2.2%,79,+5.6,15,-4.2,96,+80.3
Draymond Green,27.7,GSW,Big,816,23,-5.4,65,+4.5,1,-11.4%,40,+0.3%,26,-3.7,35,-1.7,35,-13.0
Gerald Green,31.8,HOU,Wing,249,58,+3.9,69,+5.5,24,-3.2%,73,-1.8%,78,+5.5,42,-0.4,90,+42.0
Jeff Green,31.2,CLE,Big,493,22,-5.8,30,-4.0,52,+0.0%,58,-0.8%,43,-1.0,36,-1.6,57,+5.0
James Harden,28.2,HOU,Combo,619,71,+6.9,38,-2.2,83,+6.4%,16,+2.8%,62,+2.5,68,+2.5,48,-1.5
Nene Hilario,35.1,HOU,Big,107,54,+3.0,69,+5.8,16,-5.3%,39,+0.4%,65,+2.7,5,-6.8,99,+118.6
George Hill,31.5,CLE,Combo,555,77,+8.8,77,+8.3,41,-0.9%,34,+0.9%,63,+2.5,23,-3.1,84,+34.7
Jrue Holiday,27.4,NOP,Combo,347,46,+0.7,45,-0.7,51,-0.0%,100,-7.3%,51,+0.6,59,+1.2,40,-6.1
Rodney Hood,25.0,CLE,Wing,228,8,-12.0,7,-11.9,62,+2.6%,66,-1.5%,11,-6.8,56,+1.2,10,-43.7
Al Horford,31.4,BOS,Big,677,81,+9.6,95,+16.7,2,-9.9%,19,+2.5%,8,-7.8,9,-5.5,41,-5.8
Serge Ibaka,28.1,TOR,Big,258,65,+5.9,77,+8.6,71,+4.0%,42,+0.3%,85,+6.4,69,+2.8,68,+17.4
Andre Iguodala,33.8,GSW,Wing,400,44,-0.1,70,+5.9,2,-9.9%,60,-1.0%,37,-1.6,16,-4.2,66,+15.8
Ersan Ilyasova,30.5,PHI,Big,231,52,+2.5,51,+0.3,69,+3.6%,84,-3.1%,35,-1.7,48,+0.1,38,-8.9
Joe Ingles,30.1,UTA,Wing,379,81,+10.4,83,+10.8,79,+5.8%,77,-2.2%,81,+5.9,77,+3.8,62,+11.0
LeBron James,32.8,CLE,Forward,912,94,+16.9,100,+23.5,5,-8.0%,44,+0.1%,44,-0.5,12,-4.7,75,+22.7
James Johnson,30.7,MIA,Big,160,43,-0.3,17,-8.4,48,-0.2%,87,-3.4%,48,+0.4,14,-4.4,70,+20.0
Cory Joseph,26.2,IND,Combo,130,75,+8.3,80,+8.8,36,-1.8%,2,+5.3%,40,-1.3,25,-3.0,73,+22.0
Kyle Korver,36.6,CLE,Wing,496,69,+6.5,60,+3.1,54,+0.4%,27,+1.6%,61,+2.3,67,+2.2,47,-2.1
Shane Larkin,25.1,BOS,Combo,150,23,-5.6,9,-11.6,100,+11.3%,32,+1.1%,73,+4.3,64,+1.8,65,+13.3
Damian Lillard,27.3,POR,Point,162,98,+21.5,85,+11.5,49,-0.1%,94,-5.3%,99,+16.9,85,+5.1,94,+65.6
Shaun Livingston,32.1,GSW,Combo,347,41,-0.7,36,-2.3,90,+8.9%,35,+0.9%,47,+0.2,55,+1.2,44,-4.5
Kevon Looney,21.7,GSW,Big,360,31,-4.0,15,-9.3,42,-0.9%,41,+0.3%,46,-0.0,65,+1.9,33,-13.2
Kevin Love,29.1,CLE,Big,655,52,+1.7,65,+4.4,45,-0.6%,23,+2.2%,38,-1.5,52,+0.7,28,-15.0
Kyle Lowry,31.6,TOR,Point,359,70,+6.7,62,+3.8,25,-3.2%,7,+3.6%,17,-5.9,39,-1.1,21,-24.0
Thon Maker,20.7,MIL,Big,128,89,+12.5,94,+16.0,50,-0.1%,55,-0.6%,69,+3.3,27,-2.8,94,+64.6
Luc Mbah a Moute,31.1,HOU,Forward,130,6,-13.5,11,-10.6,4,-9.0%,11,+3.3%,15,-6.2,3,-7.1,69,+17.8
CJ McCollum,26.1,POR,Wing,155,100,+22.4,89,+12.9,94,+10.2%,98,-6.8%,98,+13.8,94,+7.2,81,+29.0
TJ McConnell,25.6,PHI,Point,152,40,-0.9,57,+2.2,7,-7.3%,54,-0.6%,31,-2.1,24,-3.1,55,+2.9
JaVale McGee,29.8,GSW,Big,145,36,-2.3,73,+6.4,20,-3.8%,90,-4.2%,34,-1.9,29,-2.4,53,+2.6
Khris Middleton,26.2,MIL,Forward,274,95,+18.8,98,+21.1,80,+5.8%,60,-1.0%,94,+10.4,96,+9.1,98,+90.5
CJ Miles,30.6,TOR,Wing,225,27,-4.8,4,-12.4,40,-1.0%,75,-2.0%,56,+1.9,31,-2.1,72,+20.8
Darius Miller,27.6,NOP,Forward,146,66,+6.0,71,+6.0,8,-7.2%,50,-0.4%,10,-7.6,18,-4.0,20,-27.1
