Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,31.3,HOU,Big,784,65,-0.8%,55,-0.3%,68,-1.8%,21,+5.0%,54,-0.2%,33,+1.9%,60,-0.8%,48,-0.0%
Kyle Anderson,31.1,GSW,Big,508,78,-1.9%,16,+3.2%,92,-5.5%,29,+3.2%,87,-3.6%,68,-2.5%,84,-2.9%,87,-2.8%
Kyle Anderson,31.1,MIA,Big,444,75,-1.6%,14,+3.6%,96,-7.3%,97,-13.3%,99,-8.2%,14,+5.3%,84,-2.9%,64,-0.9%
Giannis Antetokounmpo,29.9,MIL,Big,2287,76,-1.7%,39,+1.1%,94,-5.9%,48,+0.5%,89,-4.1%,43,+0.8%,65,-1.1%,58,-0.5%
Harrison Barnes,32.4,SAS,Big,2224,49,+0.0%,47,+0.5%,43,+0.7%,13,+7.0%,22,+2.5%,72,-3.0%,53,-0.3%,67,-1.0%
Nicolas Batum,35.9,LAC,Forward,1344,96,-4.2%,98,-8.5%,83,-3.9%,57,-1.1%,84,-3.2%,27,+2.9%,92,-4.4%,86,-2.7%
Bradley Beal,31.3,PHX,Wing,1699,24,+1.5%,56,-0.3%,49,-0.0%,35,+2.3%,43,+0.5%,24,+3.4%,16,+2.6%,13,+2.6%
Malik Beasley,27.9,DET,Wing,2272,76,-1.6%,76,-2.3%,80,-3.4%,32,+2.7%,75,-2.1%,34,+1.8%,67,-1.2%,57,-0.5%
Bismack Biyombo,32.2,SAS,Big,511,79,-1.9%,99,-9.8%,83,-3.9%,36,+2.2%,76,-2.2%,27,+2.9%,12,+3.2%,8,+3.2%
Devin Booker,28.0,PHX,Combo,2780,23,+1.5%,39,+1.1%,73,-2.3%,42,+1.4%,66,-1.3%,52,-0.4%,22,+2.0%,20,+1.8%
Malcolm Brogdon,31.9,WAS,Combo,563,12,+2.4%,47,+0.5%,3,+7.7%,90,-8.2%,14,+3.4%,72,-3.0%,4,+4.6%,12,+2.6%
Jaylen Brown,28.0,BOS,Wing,2154,23,+1.5%,29,+1.9%,44,+0.6%,27,+3.5%,32,+1.4%,48,+0.3%,29,+1.3%,30,+1.1%
Alec Burks,33.3,MIA,Wing,859,83,-2.2%,76,-2.2%,47,+0.2%,31,+3.0%,37,+1.0%,76,-3.5%,90,-3.7%,91,-3.7%
Jimmy Butler,35.1,MIA,Forward,765,7,+3.1%,91,-5.1%,8,+6.2%,47,+0.6%,10,+4.6%,14,+5.5%,21,+2.1%,9,+3.0%
Jimmy Butler,35.1,GSW,Forward,979,23,+1.5%,34,+1.6%,62,-1.3%,41,+1.5%,60,-0.7%,9,+7.0%,33,+1.0%,11,+2.8%
Kentavious Caldwell-Pope,31.7,ORL,Wing,2277,64,-0.8%,58,-0.5%,44,+0.6%,62,-1.9%,52,-0.1%,88,-5.7%,45,+0.2%,72,-1.4%
Clint Capela,30.5,ATL,Big,1173,73,-1.4%,83,-3.4%,35,+1.8%,85,-6.3%,57,-0.4%,72,-2.9%,61,-0.9%,73,-1.4%
Jordan Clarkson,32.4,UTA,Combo,961,54,-0.2%,13,+3.9%,73,-2.3%,17,+6.1%,57,-0.5%,62,-1.5%,77,-2.1%,79,-1.9%
Mike Conley,37.1,MIN,Point,1755,37,+0.7%,25,+2.2%,48,+0.1%,73,-4.0%,62,-0.9%,8,+7.1%,52,-0.3%,24,+1.5%
Pat Connaughton,31.8,MIL,Wing,570,58,-0.5%,95,-6.4%,34,+1.9%,8,+8.9%,12,+4.1%,35,+1.6%,69,-1.3%,54,-0.4%
Seth Curry,34.2,CHA,Wing,1056,52,-0.1%,57,-0.4%,67,-1.7%,47,+0.5%,63,-1.0%,10,+6.7%,64,-1.0%,41,+0.4%
Stephen Curry,36.6,GSW,Point,2250,8,+3.0%,40,+1.1%,26,+2.6%,89,-7.8%,46,+0.4%,46,+0.5%,4,+4.6%,8,+3.4%
Anthony Davis,31.6,LAL,Big,1439,64,-0.8%,71,-1.7%,30,+2.2%,68,-3.0%,37,+1.0%,77,-3.6%,48,+0.1%,64,-0.9%
Anthony Davis,31.6,DAL,Big,265,96,-4.1%,98,-8.8%,75,-2.5%,88,-7.6%,88,-3.9%,19,+4.4%,79,-2.3%,50,-0.1%
DeMar DeRozan,35.2,SAC,Wing,2761,39,+0.5%,60,-0.7%,28,+2.4%,72,-3.8%,39,+0.9%,14,+5.3%,70,-1.5%,41,+0.4%
Spencer Dinwiddie,31.6,DAL,Combo,2097,24,+1.5%,36,+1.3%,67,-1.6%,45,+1.0%,63,-1.0%,20,+4.1%,32,+1.1%,20,+1.8%
Andre Drummond,31.2,PHI,Big,741,17,+1.9%,43,+0.8%,48,+0.1%,84,-6.0%,70,-1.6%,6,+8.2%,38,+0.7%,13,+2.6%
Kris Dunn,30.6,LAC,Combo,1779,62,-0.7%,25,+2.2%,52,-0.3%,83,-6.0%,73,-1.8%,55,-0.8%,41,+0.5%,46,+0.1%
Kevin Durant,36.1,PHX,Big,2262,65,-0.8%,34,+1.5%,48,+0.2%,60,-1.6%,55,-0.2%,93,-7.3%,49,-0.0%,77,-1.7%
Joel Embiid,30.6,PHI,Big,574,90,-3.1%,26,+2.2%,89,-5.0%,36,+2.2%,84,-3.1%,88,-5.8%,57,-0.6%,79,-1.9%
Dante Exum,29.3,DAL,Combo,370,32,+1.0%,48,+0.4%,11,+5.0%,25,+4.1%,9,+4.8%,67,-2.3%,80,-2.5%,84,-2.5%
Dorian Finney-Smith,31.5,BKN,Big,579,92,-3.2%,35,+1.4%,99,-10.9%,28,+3.4%,98,-7.4%,82,-4.3%,83,-2.8%,89,-3.2%
Dorian Finney-Smith,31.5,LAL,Forward,1236,87,-2.7%,96,-7.1%,32,+2.2%,76,-4.3%,41,+0.6%,86,-5.1%,63,-1.0%,81,-2.1%
Paul George,34.5,PHI,Wing,1321,73,-1.4%,40,+1.1%,28,+2.4%,80,-5.2%,47,+0.3%,62,-1.6%,68,-1.3%,72,-1.3%
Taj Gibson,39.4,CHA,Big,386,97,-4.4%,26,+2.1%,68,-1.7%,86,-6.9%,83,-3.0%,98,-12.7%,87,-3.4%,97,-5.5%
Rudy Gobert,32.4,MIN,Big,2382,83,-2.2%,78,-2.4%,90,-5.1%,7,+9.5%,71,-1.7%,37,+1.4%,56,-0.6%,49,-0.1%
Aaron Gordon,29.1,DEN,Big,1444,56,-0.3%,72,-1.8%,27,+2.5%,37,+2.1%,23,+2.4%,33,+1.8%,76,-2.1%,65,-1.0%
Eric Gordon,35.9,PHI,Wing,756,60,-0.5%,42,+0.8%,13,+4.6%,91,-8.5%,43,+0.5%,56,-0.9%,64,-1.0%,66,-1.0%
