Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,31.3,HOU,Big,154,92,-8.3%,69,-3.6%,39,+0.8%,81,-11.2%,62,-2.3%,93,-15.0%,86,-7.1%,92,-9.0%
Giannis Antetokounmpo,29.9,MIL,Big,187,3,+9.1%,21,+5.4%,3,+14.7%,79,-9.4%,17,+5.3%,0,+36.1%,42,+1.0%,5,+9.8%
Nicolas Batum,35.9,LAC,Forward,170,48,+0.1%,95,-12.9%,4,+12.4%,56,-1.5%,9,+7.4%,40,+2.9%,34,+2.2%,36,+2.3%
Malik Beasley,27.9,DET,Wing,163,46,+0.4%,41,+1.9%,81,-8.3%,16,+9.9%,64,-2.3%,30,+5.9%,47,+0.1%,37,+2.1%
Jaylen Brown,28.0,BOS,Wing,402,54,-0.5%,19,+5.9%,57,-2.0%,91,-17.0%,83,-6.6%,49,+1.1%,36,+2.1%,40,+1.8%
Jimmy Butler,35.1,GSW,Forward,436,20,+4.0%,60,-1.8%,22,+5.5%,58,-2.4%,21,+4.5%,32,+4.6%,30,+3.5%,26,+3.9%
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,33,+2.0%,0,+24.7%,65,-4.4%,75,-6.7%,79,-5.8%,92,-14.0%,65,-3.0%,82,-5.1%
Mike Conley,37.1,MIN,Point,356,70,-3.2%,19,+5.6%,94,-15.1%,92,-18.1%,95,-16.1%,29,+6.0%,46,+0.5%,38,+2.1%
Stephen Curry,36.6,GSW,Point,318,67,-2.5%,29,+3.6%,75,-6.6%,5,+20.8%,58,-1.8%,38,+3.2%,50,-0.1%,51,+0.4%
Kris Dunn,30.6,LAC,Combo,151,51,-0.3%,15,+8.4%,71,-5.6%,33,+4.6%,60,-1.9%,90,-13.1%,56,-1.1%,79,-4.4%
Dorian Finney-Smith,31.5,LAL,Forward,169,86,-6.2%,97,-14.5%,96,-18.7%,78,-8.3%,94,-15.5%,14,+11.4%,49,-0.1%,29,+3.4%
Rudy Gobert,32.4,MIN,Big,411,82,-5.1%,86,-8.2%,8,+9.8%,95,-24.6%,43,-0.5%,17,+10.2%,77,-5.3%,57,-0.7%
Aaron Gordon,29.1,DEN,Big,521,63,-1.4%,48,+0.5%,14,+7.7%,76,-6.9%,23,+4.2%,91,-14.0%,61,-2.4%,84,-5.6%
Draymond Green,34.7,GSW,Big,418,80,-4.6%,58,-1.1%,82,-9.4%,18,+9.0%,81,-6.4%,23,+8.0%,71,-3.9%,58,-1.1%
Tim Hardaway Jr.,32.6,DET,Forward,188,55,-0.6%,74,-4.6%,52,-1.6%,47,+1.0%,52,-1.1%,92,-14.3%,14,+7.9%,45,+0.9%
