Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Alex Abrines,24.3,OKC,Wing,106,37,50.0%,3,20.0%,0,41.7%,0,100.0%,54,67%,100,0%,0,0%,71,80%
Steven Adams,24.3,OKC,Big,199,56,58.7%,51,58.7%,0,0.0%,0,69.2%,22,81%,2,90%,63,57%,0,0%
LaMarcus Aldridge,32.3,SAS,Big,175,12,48.1%,7,45.3%,0,60.0%,100,97.6%,90,59%,80,56%,61,61%,98,67%
Al-Farouq Aminu,27.1,POR,Big,130,83,64.4%,83,63.6%,88,43.3%,0,100.0%,71,67%,95,45%,95,0%,29,100%
Giannis Antetokounmpo,22.9,MIL,Forward,279,80,59.2%,93,60.7%,0,28.6%,20,69.1%,87,46%,80,56%,93,18%,0,100%
Carmelo Anthony,33.4,OKC,Big,193,0,41.7%,15,47.7%,0,21.4%,0,73.3%,100,30%,100,43%,93,7%,98,67%
OG Anunoby,20.3,TOR,Forward,237,93,68.3%,100,69.6%,83,44.8%,0,72.7%,40,83%,47,64%,13,100%,0,100%
Trevor Ariza,32.3,HOU,Wing,579,17,45.7%,63,50.0%,16,28.9%,30,74.2%,14,92%,17,90%,9,100%,40,92%
Aron Baynes,30.9,BOS,Big,372,49,56.9%,24,51.6%,100,47.8%,0,72.2%,59,70%,73,59%,37,83%,88,91%
Bradley Beal,24.3,WAS,Wing,215,69,55.1%,31,44.4%,91,46.7%,0,87.0%,69,57%,54,58%,69,38%,83,71%
Marco Belinelli,31.6,PHI,Wing,272,31,48.1%,34,45.0%,38,34.8%,90,87.1%,11,93%,6,100%,26,93%,51,88%
Jordan Bell,22.8,GSW,Big,133,73,61.5%,68,61.5%,0,0.0%,0,50.0%,66,69%,49,69%,0,0%,0,0%
Eric Bledsoe,27.9,MIL,Point,223,46,48.2%,31,48.4%,33,31.8%,0,70.0%,69,32%,69,18%,31,31%,38,71%
Bojan Bogdanovic,28.5,IND,Forward,233,40,48.1%,40,41.7%,50,36.4%,0,60.0%,53,81%,60,64%,53,50%,0,100%
Corey Brewer,31.7,OKC,Wing,151,97,62.0%,89,57.1%,0,45.5%,0,100.0%,49,69%,63,50%,0,0%,0,100%
Malcolm Brogdon,24.9,MIL,Combo,185,38,48.2%,63,52.8%,10,26.3%,0,80.0%,19,58%,25,50%,13,56%,50,80%
Jaylen Brown,21.0,BOS,Wing,581,71,55.3%,71,51.9%,66,40.0%,0,64.0%,63,61%,74,41%,40,59%,49,89%
Alec Burks,26.3,UTA,Wing,112,60,54.4%,46,47.5%,97,47.1%,0,85.7%,83,48%,89,25%,57,43%,51,88%
Jimmy Butler,28.1,MIN,Wing,170,43,50.8%,20,43.5%,97,47.1%,0,83.3%,80,50%,60,53%,97,0%,80,75%
Clint Capela,23.5,HOU,Big,518,93,66.0%,93,66.0%,0,0.0%,8,47.3%,17,83%,20,83%,5,100%,0,0%
Ian Clark,26.7,NOP,Combo,166,69,50.9%,19,45.2%,90,39.1%,0,100.0%,0,74%,19,67%,19,50%,19,100%
Jordan Clarkson,25.4,CLE,Combo,243,0,33.0%,0,35.8%,0,18.2%,0,100.0%,63,37%,56,31%,38,36%,88,50%
Darren Collison,30.2,IND,Point,213,69,52.2%,69,51.1%,42,36.4%,0,75.0%,31,42%,15,44%,85,0%,23,75%
Quinn Cook,24.6,GSW,Point,130,38,46.3%,92,70.0%,0,15.0%,0,83.3%,0,59%,8,57%,0,57%,46,67%
Robert Covington,26.9,PHI,Forward,280,13,41.6%,27,34.3%,8,31.3%,0,75.0%,47,81%,33,73%,13,100%,80,87%
