Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Quincy Acy,24.1,NYK,Big,1179,22,0.8%,38,0.9%,29,5.2%,28,6.7%,42,16.2%,0,0.0%,45,27.7%
Jordan Adams,20.3,MEM,Wing,185,93,1.2%,97,2.6%,16,4.3%,84,4.0%,24,8.5%,0,0.0%,45,7.7%
Steven Adams,21.3,OKC,Big,1767,74,2.6%,36,0.9%,41,4.7%,81,11.1%,49,17.2%,78,6.0%,65,33.7%
Jeff Adrien,28.7,MIN,Big,189,52,1.6%,32,0.9%,31,5.1%,69,10.2%,68,19.0%,0,0.0%,100,63.6%
Arron Afflalo,29.0,DEN,Wing,1746,11,0.1%,6,0.8%,84,2.4%,21,1.2%,34,8.9%,0,0.0%,60,10.1%
Arron Afflalo,29.0,POR,Wing,747,9,0.1%,2,0.6%,44,3.2%,13,0.9%,21,8.0%,0,0.0%,16,2.8%
Alexis Ajinca,26.5,NOP,Big,873,81,2.9%,41,1.0%,6,6.8%,88,12.0%,79,20.1%,46,2.8%,69,35.9%
Furkan Aldemir,23.2,PHI,Big,488,51,1.6%,61,1.2%,2,7.6%,90,12.6%,44,16.4%,68,4.8%,79,38.6%
Cole Aldrich,26.0,NYK,Big,915,90,3.5%,86,1.7%,24,5.5%,58,9.4%,92,23.3%,98,12.5%,92,43.3%
LaMarcus Aldridge,29.3,POR,Big,2508,40,1.4%,28,0.8%,100,1.9%,32,7.2%,79,20.1%,32,1.9%,79,38.8%
Lavoy Allen,25.7,IND,Big,1025,66,2.2%,12,0.7%,62,3.9%,84,11.3%,65,18.8%,54,3.4%,40,25.9%
Tony Allen,32.8,MEM,Wing,1631,82,1.0%,100,3.6%,12,4.4%,98,7.0%,56,10.4%,0,0.0%,83,16.4%
Al-Farouq Aminu,24.1,DAL,Forward,1277,93,2.5%,94,2.2%,24,4.2%,100,8.2%,87,15.8%,100,9.0%,81,25.0%
Lou Amundson,31.9,NYK,Big,856,85,3.3%,55,1.1%,26,5.4%,75,10.6%,58,18.0%,41,2.6%,66,34.0%
Chris Andersen,36.3,MIA,Big,1127,82,3.0%,51,1.1%,76,3.6%,41,7.9%,67,19.0%,31,1.7%,91,42.2%
Alan Anderson,32.0,BKN,Wing,1713,12,0.2%,52,1.5%,26,3.8%,37,1.8%,44,9.7%,70,1.8%,63,11.1%
Kyle Anderson,21.1,SAS,Wing,316,83,1.0%,75,1.9%,31,3.7%,29,1.5%,100,18.6%,0,0.0%,96,30.8%
Ryan Anderson,26.5,NOP,Big,1653,10,0.6%,31,0.9%,94,2.8%,27,6.6%,5,10.9%,35,2.2%,21,20.6%
Giannis Antetokounmpo,19.9,MIL,Forward,2507,89,1.8%,59,1.3%,48,3.7%,59,4.3%,94,17.3%,52,2.5%,93,27.7%
Carmelo Anthony,30.4,NYK,Forward,1424,46,0.7%,61,1.3%,81,2.2%,83,5.2%,74,14.1%,87,4.8%,22,12.5%
Joel Anthony,32.2,DET,Big,367,100,7.1%,66,1.3%,17,5.8%,44,8.2%,14,12.7%,71,5.0%,82,40.0%
Pero Antic,32.3,ATL,Big,1015,16,0.8%,25,0.8%,30,5.1%,19,5.9%,18,13.4%,27,1.5%,2,7.0%
Trevor Ariza,29.3,HOU,Forward,2924,9,0.3%,96,2.3%,76,2.5%,24,2.5%,56,12.3%,63,3.2%,69,21.6%
Darrell Arthur,26.6,DEN,Forward,959,85,1.4%,89,2.0%,0,6.0%,74,4.9%,50,11.4%,69,3.6%,17,10.9%
Omer Asik,28.3,NOP,Big,1975,42,1.4%,14,0.7%,91,2.9%,92,13.0%,96,25.5%,39,2.5%,80,39.0%
D.J. Augustin,27.0,DET,Point,1261,27,0.1%,19,1.1%,90,2.0%,16,1.1%,21,7.0%,0,0.0%,58,3.2%
D.J. Augustin,27.0,OKC,Point,624,26,0.1%,10,1.0%,95,1.8%,11,1.1%,32,7.8%,0,0.0%,84,7.8%
Jeff Ayres,27.5,SAS,Big,274,21,0.8%,14,0.7%,11,6.1%,70,10.3%,66,18.8%,0,0.0%,34,25.0%
Luke Babbitt,25.4,NOP,Forward,748,41,0.6%,9,0.9%,50,3.5%,11,1.6%,46,11.2%,61,3.1%,61,20.5%
Leandro Barbosa,31.9,GSW,Combo,863,68,0.4%,74,1.8%,31,3.8%,66,2.4%,29,7.2%,0,0.0%,32,2.0%
J.J. Barea,30.3,DAL,Combo,1236,0,0.0%,15,1.1%,46,3.4%,45,1.8%,49,9.0%,83,1.4%,38,2.4%
Andrea Bargnani,29.0,NYK,Big,768,56,1.9%,0,0.1%,95,2.7%,7,3.8%,15,13.0%,68,4.8%,5,12.5%
Harrison Barnes,22.4,GSW,Forward,2240,15,0.4%,43,1.2%,72,2.6%,80,5.2%,61,12.6%,56,2.9%,85,25.3%
Matt Barnes,34.6,LAC,Wing,2248,91,1.2%,40,1.3%,8,4.5%,52,2.2%,53,10.2%,93,4.4%,89,21.1%
Earl Barron,33.2,PHX,Big,117,29,1.0%,54,1.1%,1,8.3%,78,10.9%,1,8.8%,0,0.0%,97,50.0%
Will Barton,23.8,DEN,Wing,630,88,1.1%,85,2.1%,45,3.2%,83,3.5%,96,15.3%,0,0.0%,90,21.4%
Will Barton,23.8,POR,Wing,246,75,0.9%,71,1.8%,71,2.8%,10,0.8%,48,9.9%,0,0.0%,69,12.5%
Brandon Bass,29.5,BOS,Big,1917,24,0.9%,39,1.0%,89,2.9%,31,7.2%,12,12.6%,71,5.0%,23,21.8%
Nicolas Batum,25.9,POR,Wing,2376,77,0.9%,51,1.5%,98,1.9%,65,2.6%,89,13.5%,84,3.1%,94,26.2%
Jerryd Bayless,26.2,MIL,Combo,1692,52,0.4%,57,1.6%,22,4.1%,22,1.4%,85,11.2%,78,1.0%,89,10.1%
Aron Baynes,27.9,SAS,Big,1077,31,1.1%,15,0.7%,18,5.7%,64,9.8%,48,17.2%,92,10.0%,58,32.5%
Kent Bazemore,25.3,ATL,Wing,1235,98,1.3%,73,1.8%,17,4.1%,37,1.7%,91,14.1%,0,0.0%,92,25.6%
Bradley Beal,21.3,WAS,Wing,2097,42,0.5%,60,1.6%,73,2.7%,74,3.0%,29,8.7%,69,1.7%,41,7.1%
Michael Beasley,25.8,MIA,Big,495,43,1.4%,76,1.4%,22,5.6%,2,2.1%,28,14.5%,92,10.0%,12,16.7%
Marco Belinelli,28.6,SAS,Combo,1336,15,0.0%,12,1.0%,85,2.7%,49,1.9%,65,9.8%,88,1.7%,78,7.8%
Anthony Bennett,21.6,MIN,Big,839,29,1.0%,75,1.4%,63,3.9%,16,5.5%,74,19.3%,56,3.5%,93,43.5%
Patrick Beverley,26.3,HOU,Point,1717,90,0.7%,48,1.5%,5,4.4%,97,4.1%,66,10.4%,0,0.0%,50,2.5%
Bismack Biyombo,22.2,CHA,Big,1173,95,4.4%,15,0.7%,44,4.6%,91,12.7%,72,19.2%,24,1.3%,22,21.6%
Tarik Black,22.9,HOU,Big,362,2,0.3%,19,0.7%,22,5.6%,98,14.7%,56,17.8%,68,4.8%,68,35.7%
Tarik Black,22.9,LAL,Big,785,49,1.5%,22,0.8%,23,5.5%,76,10.8%,76,19.6%,60,3.7%,85,40.8%
DeJuan Blair,25.5,WAS,Big,100,6,0.5%,98,2.2%,0,11.5%,93,13.0%,45,16.5%,0,0.0%,97,50.0%
Steve Blake,34.7,POR,Point,1488,32,0.2%,26,1.2%,42,3.4%,19,1.1%,34,7.8%,0,0.0%,26,1.3%
Eric Bledsoe,24.9,PHX,Point,2795,94,0.8%,71,2.0%,73,2.6%,77,2.8%,92,12.6%,0,0.0%,74,5.1%
Bojan Bogdanovic,25.5,BKN,Forward,1795,4,0.3%,11,0.9%,74,2.6%,30,3.0%,9,8.6%,0,0.0%,13,10.1%
Andrew Bogut,29.9,GSW,Big,1577,92,3.7%,48,1.1%,49,4.5%,60,9.6%,93,23.4%,0,0.0%,48,29.2%
Matt Bonner,34.6,SAS,Big,846,14,0.7%,8,0.5%,81,3.3%,5,3.0%,1,8.3%,41,2.6%,11,16.4%
Trevor Booker,26.9,UTA,Big,1546,47,1.5%,65,1.3%,65,3.9%,68,9.9%,39,15.9%,19,0.9%,46,28.4%
Carlos Boozer,32.9,LAL,Big,1673,4,0.4%,47,1.1%,52,4.3%,25,6.5%,85,21.7%,32,1.9%,65,34.0%
Chris Bosh,30.6,MIA,Big,1542,25,0.9%,68,1.3%,99,1.9%,6,3.4%,51,17.5%,34,2.0%,26,22.8%
Avery Bradley,23.9,BOS,Combo,2419,48,0.3%,49,1.5%,63,3.1%,46,1.9%,45,8.4%,0,0.0%,23,0.9%
Elton Brand,35.6,ATL,Big,415,77,2.7%,82,1.6%,35,4.9%,29,6.9%,28,14.5%,58,3.6%,18,20.0%
Corey Brewer,28.7,HOU,Wing,1358,48,0.5%,67,1.8%,48,3.2%,81,3.4%,60,10.6%,83,3.0%,8,2.0%
Corey Brewer,28.7,MIN,Combo,672,46,0.3%,98,3.3%,45,3.5%,97,4.4%,80,10.8%,95,4.4%,54,3.4%
Aaron Brooks,29.8,CHI,Point,1845,74,0.4%,31,1.3%,8,4.3%,52,1.7%,19,7.0%,92,1.9%,52,2.8%
Jabari Brown,21.9,LAL,Wing,549,16,0.2%,17,1.0%,86,2.3%,3,0.6%,6,6.7%,0,0.0%,10,2.2%
Lorenzo Brown,24.2,MIN,Point,530,87,0.6%,81,2.3%,16,3.9%,79,2.8%,79,11.6%,0,0.0%,60,3.4%
Markel Brown,22.8,BKN,Wing,670,65,0.7%,71,1.8%,40,3.5%,58,2.3%,87,13.1%,0,0.0%,18,3.7%
Kobe Bryant,36.2,LAL,Wing,1203,26,0.3%,64,1.7%,96,2.0%,48,2.0%,94,15.2%,67,1.6%,56,9.4%
