Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,31.3,HOU,Big,154,42,-0.6%,67,+1.8%,82,+3.7%,57,+0.3%,84,+4.0%,19,-1.6%,17,-4.2%,13,-5.8%
Giannis Antetokounmpo,29.9,MIL,Big,187,81,+3.6%,100,+16.2%,69,+2.2%,0,-9.2%,6,-7.0%,3,-4.6%,14,-4.6%,4,-9.2%
Nicolas Batum,35.9,LAC,Forward,170,33,-1.6%,5,-8.6%,42,-0.8%,21,-1.6%,30,-2.4%,64,+1.2%,98,+9.8%,97,+11.0%
Malik Beasley,27.9,DET,Wing,163,48,-0.0%,25,-4.2%,21,-2.7%,12,-2.5%,12,-5.2%,96,+5.4%,88,+4.0%,97,+9.4%
Jaylen Brown,28.0,BOS,Wing,402,14,-4.9%,94,+8.7%,60,+0.9%,46,-0.2%,52,+0.7%,66,+1.4%,3,-10.9%,3,-9.4%
Jimmy Butler,35.1,GSW,Forward,436,26,-2.8%,25,-4.0%,26,-2.1%,94,+3.7%,64,+1.6%,33,-0.4%,73,+2.8%,66,+2.4%
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,28,-2.4%,19,-5.1%,58,+0.9%,40,-0.6%,46,+0.3%,85,+2.7%,66,+2.0%,81,+4.8%
Mike Conley,37.1,MIN,Point,356,68,+1.6%,3,-9.8%,93,+6.6%,60,+0.7%,93,+7.3%,61,+1.0%,61,+1.5%,67,+2.5%
Stephen Curry,36.6,GSW,Point,318,93,+6.2%,6,-8.2%,9,-5.4%,67,+1.0%,16,-4.5%,76,+2.1%,99,+10.6%,99,+12.7%
Kris Dunn,30.6,LAC,Combo,151,47,-0.1%,86,+4.8%,65,+1.4%,14,-2.4%,42,-0.9%,25,-1.3%,27,-2.6%,23,-3.9%
Dorian Finney-Smith,31.5,LAL,Forward,169,86,+5.1%,22,-4.8%,3,-6.8%,52,+0.1%,7,-6.7%,97,+6.3%,94,+5.2%,98,+11.5%
Rudy Gobert,32.4,MIN,Big,411,16,-4.6%,8,-7.8%,69,+2.2%,55,+0.3%,70,+2.5%,53,+0.6%,92,+4.7%,83,+5.3%
Aaron Gordon,29.1,DEN,Big,521,98,+11.4%,53,-0.6%,75,+2.7%,24,-1.3%,60,+1.4%,3,-4.4%,83,+3.7%,37,-0.7%
Draymond Green,34.7,GSW,Big,418,53,+0.5%,31,-2.7%,16,-4.0%,78,+2.0%,33,-2.0%,74,+1.9%,71,+2.8%,80,+4.7%
Tim Hardaway Jr.,32.6,DET,Forward,188,85,+5.0%,78,+3.1%,25,-2.3%,89,+2.9%,49,+0.7%,84,+2.6%,6,-6.4%,24,-3.8%
James Harden,35.2,LAC,Point,275,24,-3.1%,38,-2.1%,99,+9.2%,23,-1.4%,96,+7.8%,69,+1.7%,5,-7.3%,15,-5.6%
Tobias Harris,32.3,DET,Forward,232,1,-10.4%,1,-10.6%,67,+1.8%,92,+3.2%,88,+5.0%,83,+2.6%,77,+3.0%,86,+5.6%
Buddy Hield,31.9,GSW,Wing,338,74,+2.4%,35,-2.2%,36,-1.3%,48,-0.2%,36,-1.4%,32,-0.5%,89,+4.1%,73,+3.7%
Jrue Holiday,34.4,BOS,Combo,263,5,-7.1%,41,-1.7%,23,-2.6%,13,-2.4%,13,-5.0%,86,+2.8%,86,+3.9%,92,+6.7%
Al Horford,38.4,BOS,Big,347,10,-5.5%,58,+0.2%,41,-0.9%,38,-0.8%,35,-1.7%,40,-0.0%,60,+1.5%,58,+1.5%
LeBron James,39.8,LAL,Big,203,11,-5.4%,96,+10.1%,85,+4.2%,99,+5.3%,98,+9.5%,8,-3.0%,0,-16.6%,0,-19.6%
