Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Jeff Adrien,24.7,GSW,Big,159,82,+4.1,97,+2.7,15,-2.0%,95,+19.4,99,+2.2,54,+0.7%,90,+21.8,68,+0.4,4,-8.0%,68,+5.3
Arron Afflalo,25.0,DEN,Wing,2270,67,+1.6,88,+1.7,66,+0.6%,89,+13.2,56,+0.1,69,+3.3%,56,+2.7,94,+1.7,58,+0.8%,92,+19.9
Alexis Ajinca,22.5,TOR,Big,240,55,-0.0,22,-1.2,92,+2.3%,14,-13.3,4,-1.5,23,-4.7%,5,-31.7,59,+0.2,96,+6.5%,35,-6.1
Cole Aldrich,22.0,OKC,Big,101,70,+2.2,99,+4.4,3,-3.7%,100,+41.7,34,-0.3,2,-15.3%,99,+51.5,100,+4.7,22,-3.3%,100,+44.1
LaMarcus Aldridge,25.3,POR,Big,3202,96,+9.4,90,+1.8,69,+0.8%,93,+15.7,95,+1.2,67,+2.9%,89,+20.5,72,+0.6,44,-0.6%,81,+10.5
Malik Allen,32.3,ORL,Big,159,1,-15.1,15,-1.8,0,-5.6%,2,-31.9,92,+1.0,8,-10.5%,76,+11.2,3,-2.7,1,-11.0%,0,-72.5
Ray Allen,35.3,BOS,Wing,2883,97,+10.6,94,+2.4,69,+0.8%,93,+16.2,52,+0.0,15,-6.5%,40,-4.7,98,+2.3,74,+2.4%,98,+29.5
Tony Allen,28.8,MEM,Combo,1474,43,-1.6,94,+2.4,97,+3.1%,81,+8.6,97,+1.4,66,+2.8%,69,+8.1,79,+0.9,70,+2.0%,66,+4.4
Al-Farouq Aminu,20.1,LAC,Wing,1391,12,-6.8,22,-1.2,89,+1.9%,17,-11.5,25,-0.5,97,+11.8%,9,-21.4,35,-0.5,71,+2.1%,34,-6.4
Lou Amundson,27.9,GSW,Big,664,16,-5.8,14,-1.8,16,-1.9%,18,-10.6,11,-0.8,11,-8.1%,39,-5.3,22,-1.0,17,-4.0%,21,-12.5
