Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Alex Abrines,24.3,OKC,Wing,1066,81,54.5%,36,58%,9,17%,18,27%,8,22%,50,38%,79,39%,72,39%
Quincy Acy,27.1,BKN,Big,1287,20,50.3%,2,46%,3,13%,25,29%,6,24%,61,40%,36,33%,44,36%
Steven Adams,24.3,OKC,Big,2465,92,63.1%,60,68%,87,50%,65,43%,90,50%,0,0%,0,0%,0,0%
Bam Adebayo,20.3,MIA,Big,1319,31,52.0%,32,63%,13,29%,18,21%,8,27%,0,0%,0,0%,0,0%
Arron Afflalo,32.0,ORL,Wing,618,33,48.5%,16,53%,99,55%,24,31%,60,39%,7,26%,99,48%,60,38%
LaMarcus Aldridge,32.3,SAS,Big,2474,33,52.2%,81,70%,71,45%,60,42%,69,44%,76,47%,8,26%,16,30%
Jarrett Allen,19.5,BKN,Big,1421,84,59.9%,49,67%,61,43%,40,36%,60,42%,0,38%,0,0%,0,36%
Tony Allen,35.8,NOP,Wing,258,53,51.2%,33,58%,6,13%,10,20%,5,15%,0,60%,0,20%,0,40%
Al-Farouq Aminu,27.1,POR,Big,2055,20,50.4%,18,60%,10,26%,9,13%,5,21%,77,47%,33,33%,64,37%
Justin Anderson,24.0,PHI,Wing,420,92,58.5%,87,70%,9,17%,99,75%,63,40%,13,29%,83,40%,49,37%
Kyle Anderson,24.1,SAS,Forward,1946,76,55.3%,78,68%,80,43%,82,44%,84,43%,65,42%,2,18%,37,34%
Ryan Anderson,29.5,HOU,Big,1672,66,56.9%,34,63%,11,27%,94,59%,78,46%,65,41%,69,38%,74,38%
Giannis Antetokounmpo,22.9,MIL,Forward,2740,71,54.7%,92,72%,49,36%,49,34%,41,35%,33,38%,33,31%,15,31%
Carmelo Anthony,33.4,OKC,Big,2473,11,47.9%,9,56%,47,39%,55,41%,48,40%,31,33%,58,36%,52,36%
OG Anunoby,20.3,TOR,Forward,1441,80,57.4%,73,67%,8,20%,4,0%,4,12%,70,44%,24,28%,54,37%
Ryan Arcidiacono,23.6,CHI,Combo,262,98,58.6%,100,100%,32,33%,100,100%,100,60%,0,64%,0,13%,42,35%
Trevor Ariza,32.3,HOU,Wing,2221,82,54.9%,56,61%,7,13%,7,14%,2,14%,69,43%,34,33%,54,37%
Darrell Arthur,29.6,DEN,Big,118,65,56.6%,100,86%,0,0%,99,100%,98,62%,0,25%,0,29%,12,28%
Jamel Artis,24.8,ORL,Forward,243,6,41.2%,22,57%,92,47%,31,31%,61,39%,0,20%,11,25%,2,23%
Omer Asik,31.3,NOP,Big,103,1,36.4%,1,30%,99,100%,0,0%,99,100%,0,0%,0,0%,0,0%
D.J. Augustin,30.0,ORL,Point,1739,89,56.2%,49,57%,21,29%,85,48%,36,36%,57,37%,92,44%,89,43%
Luke Babbitt,28.4,MIA,Forward,106,12,44.6%,0,0%,0,0%,0,0%,0,0%,0,36%,27,28%,13,31%
Luke Babbitt,28.4,ATL,Big,517,86,60.6%,19,60%,25,33%,96,65%,94,51%,44,37%,97,46%,97,43%
Dwayne Bacon,22.2,CHA,Wing,627,8,40.7%,61,62%,38,32%,30,33%,29,33%,30,33%,8,26%,13,30%
Ron Baker,24.6,NYK,Combo,334,25,46.2%,2,41%,0,0%,13,25%,2,20%,0,36%,51,35%,53,35%
Lonzo Ball,20.0,LAL,Combo,1769,13,44.6%,5,48%,32,33%,29,31%,30,32%,10,28%,18,32%,23,31%
J.J. Barea,33.3,DAL,Combo,1595,79,52.7%,73,64%,86,44%,48,37%,82,42%,8,24%,90,38%,77,37%
Harrison Barnes,25.4,DAL,Forward,2590,33,49.5%,45,60%,76,42%,71,40%,71,41%,63,41%,53,34%,43,36%
Will Barton,26.8,DEN,Combo,2634,82,53.2%,75,64%,38,34%,21,27%,27,32%,79,46%,67,36%,74,37%
Nicolas Batum,28.9,CHA,Wing,1960,33,48.8%,87,69%,93,49%,49,38%,72,42%,21,31%,38,34%,36,34%
Jerryd Bayless,29.2,PHI,Wing,898,61,51.9%,89,71%,29,29%,18,27%,15,28%,61,40%,50,35%,54,37%
Aron Baynes,30.9,BOS,Big,1448,10,47.8%,8,56%,41,37%,89,51%,70,44%,0,7%,0,33%,2,15%
Kent Bazemore,28.3,ATL,Wing,1771,41,50.2%,27,56%,24,28%,50,38%,35,34%,83,47%,57,37%,80,40%
Bradley Beal,24.3,WAS,Wing,2957,69,53.0%,73,66%,63,40%,73,43%,72,42%,43,37%,70,38%,60,38%
Malik Beasley,20.9,DEN,Wing,493,18,46.1%,53,61%,35,32%,27,31%,23,31%,9,27%,25,32%,14,30%
Michael Beasley,28.8,NYK,Big,1611,40,52.9%,42,65%,78,47%,37,35%,65,43%,15,28%,99,47%,86,41%
Marco Belinelli,31.6,PHI,Wing,714,96,60.7%,97,77%,53,36%,96,56%,99,53%,25,32%,91,42%,85,40%
Marco Belinelli,31.6,ATL,Wing,1192,58,51.7%,34,58%,72,42%,59,41%,69,41%,62,41%,69,38%,67,38%
Jordan Bell,22.8,GSW,Big,719,91,62.8%,72,69%,80,47%,73,45%,80,47%,0,0%,0,0%,0,0%
DeAndre' Bembry,23.3,ATL,Wing,435,21,46.8%,9,50%,23,28%,87,50%,17,29%,0,45%,48,35%,75,39%
Dragan Bender,20.0,PHX,Big,2003,22,50.7%,14,59%,4,16%,12,19%,3,17%,52,38%,53,36%,62,37%
Davis Bertans,25.0,SAS,Big,977,63,56.4%,96,77%,92,54%,29,31%,58,42%,81,48%,49,35%,63,37%
Patrick Beverley,29.3,LAC,Point,333,59,50.4%,43,55%,41,35%,3,0%,5,25%,0,27%,88,43%,80,40%
Khem Birch,25.1,ORL,Big,510,46,54.2%,49,67%,22,31%,83,50%,22,34%,0,0%,0,0%,0,0%
Bismack Biyombo,25.2,ORL,Big,1441,38,52.6%,54,67%,14,29%,43,37%,14,31%,0,0%,0,0%,0,0%
Nemanja Bjelica,29.5,MIN,Forward,1325,84,57.6%,69,66%,53,37%,12,9%,31,32%,35,38%,96,44%,89,42%
Tarik Black,25.9,HOU,Big,430,88,61.7%,69,69%,8,22%,1,0%,3,17%,0,50%,0,0%,0,25%
Antonio Blakeney,21.1,CHI,Wing,278,7,40.2%,13,52%,16,25%,59,41%,39,35%,63,41%,1,18%,9,27%
Eric Bledsoe,27.9,MIL,Point,2222,79,54.3%,95,67%,69,40%,62,43%,66,42%,71,42%,45,34%,48,36%
Bogdan Bogdanovic,25.2,SAC,Wing,2131,73,53.6%,35,58%,73,42%,81,46%,88,44%,94,50%,77,39%,86,40%
Bojan Bogdanovic,28.5,IND,Forward,2413,78,56.5%,53,61%,82,44%,86,45%,88,44%,85,47%,71,37%,78,40%
Andrew Bogut,32.9,LAL,Big,216,99,68.0%,97,78%,25,33%,99,100%,65,43%,0,0%,0,0%,0,0%
Devin Booker,21.0,PHX,Wing,1847,43,50.5%,39,59%,59,39%,67,41%,67,40%,58,40%,75,39%,73,39%
Trevor Booker,29.9,PHI,Big,461,73,58.1%,84,72%,57,41%,10,17%,34,37%,0,0%,0,50%,0,25%
Trevor Booker,29.9,IND,Big,262,16,49.4%,6,55%,82,48%,92,57%,91,50%,0,0%,0,27%,0,23%
Trevor Booker,29.9,BKN,Big,393,39,52.7%,25,62%,79,47%,65,43%,79,46%,0,40%,0,14%,0,25%
Avery Bradley,26.9,DET,Wing,1253,22,47.3%,24,55%,49,36%,37,34%,37,34%,77,45%,40,34%,62,38%
Avery Bradley,26.9,LAC,Wing,164,27,48.2%,99,83%,12,20%,76,44%,43,36%,0,14%,0,0%,0,11%
Corey Brewer,31.7,OKC,Wing,513,73,53.5%,29,57%,1,0%,96,60%,20,30%,54,39%,0,20%,45,36%
Corey Brewer,31.7,LAL,Wing,654,36,49.4%,46,60%,24,28%,87,50%,25,32%,0,17%,0,31%,2,22%
Malcolm Brogdon,24.9,MIL,Combo,1405,88,54.4%,61,62%,30,33%,91,47%,57,39%,95,49%,45,35%,85,39%
Aaron Brooks,32.8,MIN,Point,134,39,46.9%,5,36%,66,40%,38,38%,49,39%,0,50%,67,38%,80,40%
Dillon Brooks,21.8,MEM,Wing,2311,48,50.9%,64,63%,76,43%,23,30%,46,37%,46,37%,60,37%,51,37%
MarShon Brooks,28.8,MEM,Wing,186,96,60.5%,13,52%,96,52%,21,29%,81,43%,0,50%,100,62%,100,61%
Jaylen Brown,21.0,BOS,Wing,2129,79,54.4%,33,58%,59,39%,40,35%,49,37%,73,44%,65,37%,83,40%
