Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,29.3,MEM,Big,1132,88,+5.5,45,-1.1,100,+12.9%,63,-0.7%,89,+5.4,97,+6.9,19,-11.8
Kyle Anderson,29.1,MIN,Forward,1954,78,+3.2,80,+3.3,28,-2.0%,71,-0.9%,29,-2.4,34,-1.3,36,-4.4
Giannis Antetokounmpo,27.9,MIL,Big,2021,89,+5.6,67,+1.7,55,+0.4%,94,-3.1%,88,+5.1,69,+1.3,91,+18.8
Thanasis Antetokounmpo,30.3,MIL,Big,113,0,-17.7,18,-5.8,13,-3.9%,1,+5.1%,2,-8.5,5,-4.7,8,-20.1
Harrison Barnes,30.4,SAC,Forward,2658,90,+6.0,73,+2.5,19,-2.9%,50,-0.0%,84,+4.3,58,+0.4,93,+21.3
Will Barton,31.8,WAS,Wing,767,8,-8.7,5,-11.9,71,+2.0%,83,-1.7%,42,-0.9,50,-0.1,38,-4.3
Will Barton,31.8,TOR,Combo,201,1,-15.4,3,-13.1,28,-2.0%,29,+0.9%,25,-3.0,6,-4.0,77,+10.5
Nicolas Batum,33.9,LAC,Forward,1699,81,+3.8,79,+3.1,74,+2.2%,76,-1.2%,82,+3.6,60,+0.6,89,+16.6
Bradley Beal,29.3,WAS,Combo,1672,87,+5.4,91,+6.1,75,+2.4%,30,+0.8%,68,+1.7,74,+1.9,41,-3.4
Malik Beasley,25.9,UTA,Wing,1465,28,-3.5,50,-0.5,24,-2.4%,46,+0.1%,20,-3.4,26,-2.0,33,-5.6
Malik Beasley,25.9,LAL,Wing,611,3,-11.3,18,-6.0,2,-7.1%,2,+4.1%,1,-10.1,1,-7.1,30,-7.1
Davis Bertans,30.0,DAL,Big,457,34,-3.0,54,-0.1,31,-1.7%,64,-0.7%,70,+1.9,51,-0.0,85,+14.4
Patrick Beverley,34.3,LAL,Combo,1210,36,-2.6,73,+2.5,25,-2.3%,41,+0.3%,11,-4.5,29,-1.7,14,-14.1
Patrick Beverley,34.3,CHI,Point,605,9,-8.4,22,-5.0,1,-9.7%,0,+8.9%,1,-9.6,0,-11.4,76,+9.7
Bismack Biyombo,30.2,PHX,Big,822,68,+1.5,51,-0.3,72,+2.0%,79,-1.4%,25,-2.9,42,-0.7,20,-11.1
Bojan Bogdanovic,33.5,DET,Forward,1892,82,+3.8,90,+5.9,24,-2.3%,48,+0.1%,7,-5.8,15,-2.9,17,-12.8
Devin Booker,26.0,PHX,Wing,1828,99,+11.8,98,+11.1,51,+0.1%,43,+0.3%,72,+2.2,43,-0.7,86,+14.9
Malcolm Brogdon,29.9,BOS,Combo,1731,32,-3.1,18,-5.9,84,+3.6%,31,+0.8%,66,+1.5,73,+1.8,33,-5.5
Jaylen Brown,26.0,BOS,Wing,2400,29,-3.4,43,-1.3,10,-4.2%,73,-1.1%,28,-2.6,18,-2.6,65,+5.2
Reggie Bullock,31.6,DAL,Forward,2351,41,-1.8,58,+0.5,9,-4.4%,11,+2.2%,44,-0.7,38,-1.0,60,+3.5
Alec Burks,31.3,DET,Wing,1122,97,+8.8,97,+9.9,23,-2.5%,55,-0.3%,66,+1.5,19,-2.6,96,+25.7
