Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,31.3,HOU,Big,154,83,+9.6,75,+6.1,98,+15.6%,81,-2.6%,98,+20.6,100,+12.2,77,+24.6
Giannis Antetokounmpo,29.9,MIL,Big,187,86,+11.8,92,+11.2,79,+3.9%,24,+2.1%,86,+10.5,46,-0.8,93,+58.7
Nicolas Batum,35.9,LAC,Forward,170,61,+3.0,83,+8.1,72,+2.9%,8,+4.8%,8,-11.9,39,-1.7,6,-54.8
Malik Beasley,27.9,DET,Wing,163,36,-2.6,38,-1.2,13,-7.3%,66,-1.0%,5,-13.1,9,-7.3,25,-17.6
Jaylen Brown,28.0,BOS,Wing,402,19,-8.3,22,-5.8,64,+1.7%,58,-0.5%,53,+0.2,74,+2.9,19,-22.4
Jimmy Butler,35.1,GSW,Forward,436,25,-6.0,56,+2.5,14,-6.6%,1,+6.0%,14,-8.8,10,-7.2,41,-2.4
Kentavious Caldwell-Pope,31.7,ORL,Wing,189,8,-12.4,7,-12.4,3,-12.5%,27,+2.0%,18,-7.3,3,-11.4,76,+24.4
Mike Conley,37.1,MIN,Point,356,58,+2.8,70,+5.0,14,-6.9%,70,-1.4%,38,-2.6,25,-3.8,56,+4.8
Stephen Curry,36.6,GSW,Point,318,92,+14.1,96,+16.6,63,+1.4%,4,+5.3%,35,-3.0,25,-3.9,58,+7.8
Kris Dunn,30.6,LAC,Combo,151,41,-1.5,25,-4.7,75,+3.1%,87,-3.7%,42,-1.8,68,+1.6,27,-16.2
Dorian Finney-Smith,31.5,LAL,Forward,169,82,+9.5,45,+1.2,89,+5.3%,69,-1.2%,97,+18.1,79,+3.9,100,+100.0
Rudy Gobert,32.4,MIN,Big,411,30,-4.5,12,-10.1,52,+0.0%,95,-4.9%,67,+3.2,93,+7.5,13,-29.8
Aaron Gordon,29.1,DEN,Big,521,98,+27.7,99,+29.1,87,+5.1%,64,-0.8%,69,+3.4,66,+1.4,63,+11.0
Draymond Green,34.7,GSW,Big,418,23,-7.0,58,+3.4,22,-4.4%,34,+1.7%,17,-7.7,8,-7.6,57,+6.6
Tim Hardaway Jr.,32.6,DET,Forward,188,96,+15.8,59,+3.4,94,+7.6%,54,-0.2%,97,+20.6,97,+9.6,90,+47.5
James Harden,35.2,LAC,Point,275,32,-3.3,92,+11.3,2,-13.0%,11,+4.4%,88,+11.3,49,-0.6,95,+62.7
Tobias Harris,32.3,DET,Forward,232,15,-9.6,8,-12.0,46,-0.7%,2,+5.8%,3,-15.8,31,-3.1,7,-51.1
Buddy Hield,31.9,GSW,Wing,338,78,+8.6,86,+9.7,62,+1.2%,37,+1.4%,36,-2.8,31,-2.9,54,+3.6
Jrue Holiday,34.4,BOS,Combo,263,12,-11.6,3,-18.7,40,-1.4%,79,-1.9%,71,+3.8,53,-0.3,75,+21.1
Al Horford,38.4,BOS,Big,347,11,-11.7,1,-21.4,57,+0.6%,85,-3.5%,47,-0.6,64,+1.2,33,-10.9
LeBron James,39.8,LAL,Big,203,56,+1.1,40,-1.0,100,+19.9%,10,+4.4%,42,-1.5,94,+7.8,0,-168.0
Nikola Jokic,29.7,DEN,Big,562,93,+15.0,91,+11.0,18,-5.3%,91,-4.1%,87,+10.7,83,+4.7,83,+33.1
Derrick Jones Jr.,27.7,LAC,Big,128,24,-6.1,36,-1.5,69,+2.3%,19,+2.7%,16,-8.0,54,-0.1,8,-42.9
Cory Joseph,33.2,ORL,Point,142,8,-12.9,11,-10.4,0,-18.1%,46,+0.5%,7,-12.0,1,-12.5,60,+8.7
Kawhi Leonard,33.3,LAC,Forward,264,64,+4.0,93,+11.3,32,-2.9%,19,+2.7%,94,+15.0,60,+0.6,97,+76.1
Kevon Looney,28.7,GSW,Big,128,43,-0.8,20,-6.8,82,+4.8%,64,-0.9%,92,+13.6,88,+6.5,79,+27.9
TJ McConnell,32.6,IND,Point,385,18,-9.0,26,-4.6,47,-0.6%,61,-0.5%,53,+0.7,41,-1.6,71,+18.4
Jamal Murray,27.7,DEN,Combo,578,100,+36.6,100,+33.5,84,+4.9%,56,-0.2%,91,+12.4,86,+6.2,84,+35.3
Bobby Portis,29.7,MIL,Big,158,91,+13.6,44,+1.0,95,+8.9%,96,-5.6%,99,+22.5,97,+10.1,94,+61.4
Kristaps Porzingis,29.3,BOS,Big,230,36,-2.3,34,-2.2,93,+7.0%,42,+0.8%,81,+8.3,87,+6.4,46,+0.4
Norman Powell,31.4,LAC,Wing,237,14,-10.8,30,-3.3,20,-4.6%,74,-1.5%,95,+15.3,92,+7.1,92,+53.0
Julius Randle,29.9,MIN,Big,527,60,+3.0,71,+5.3,53,+0.2%,35,+1.7%,56,+1.0,28,-3.4,75,+20.4
Dennis Schroder,31.1,DET,Point,164,46,-0.6,65,+4.4,8,-10.3%,39,+1.2%,9,-10.9,15,-5.8,25,-16.7
Pascal Siakam,30.6,IND,Big,768,38,-2.0,31,-3.0,42,-1.0%,82,-3.1%,15,-8.3,35,-1.9,8,-43.8
Karl-Anthony Towns,29.0,NYK,Big,639,58,+1.7,25,-4.9,42,-1.3%,47,+0.4%,76,+5.7,40,-1.6,85,+35.9
Myles Turner,28.6,IND,Big,671,72,+6.7,89,+10.4,25,-4.3%,14,+3.5%,36,-2.8,36,-1.7,37,-5.0
Fred VanVleet,30.7,HOU,Point,276,99,+29.4,80,+7.1,81,+4.2%,100,-7.5%,100,+24.1,98,+12.0,97,+72.3
Russell Westbrook,36.0,DEN,Point,312,17,-9.2,9,-10.5,86,+5.1%,86,-3.5%,54,+0.8,75,+3.0,30,-13.4
Andrew Wiggins,29.7,MIA,Wing,200,22,-7.2,8,-11.7,19,-5.2%,53,-0.1%,32,-3.5,47,-0.6,29,-14.1
Ivica Zubac,27.6,LAC,Big,255,79,+8.7,87,+9.8,77,+3.6%,40,+1.0%,93,+14.7,73,+2.8,96,+67.0
Gary Payton II,31.9,GSW,Wing,199,50,+0.1,41,-0.6,67,+2.1%,36,+1.6%,75,+5.6,70,+2.3,68,+15.3
Alex Caruso,30.7,OKC,Forward,561,47,-0.4,28,-3.7,68,+2.1%,67,-1.1%,37,-2.7,33,-2.4,50,+1.4
Thomas Bryant,27.3,IND,Big,146,13,-11.2,13,-10.0,21,-4.6%,26,+2.0%,19,-7.0,12,-6.4,47,+0.5
Josh Hart,29.7,NYK,Wing,641,48,-0.3,73,+5.3,39,-1.5%,14,+3.4%,4,-14.1,13,-6.3,16,-27.0
OG Anunoby,27.3,NYK,Forward,703,28,-5.6,24,-5.0,30,-3.2%,52,+0.0%,12,-10.0,32,-2.6,15,-27.9
Bam Adebayo,27.3,MIA,Big,233,75,+7.5,64,+4.3,27,-3.8%,93,-4.5%,11,-10.2,22,-4.3,23,-18.5
Dillon Brooks,28.8,HOU,Forward,205,77,+8.5,54,+2.2,19,-4.7%,48,+0.4%,33,-3.3,16,-5.8,64,+12.1
Jayson Tatum,26.7,BOS,Forward,321,42,-1.5,16,-8.6,56,+0.5%,86,-3.5%,46,-0.8,52,-0.5,44,-1.0
Bogdan Bogdanovic,32.2,LAC,Wing,114,29,-5.2,6,-12.6,83,+4.8%,77,-1.8%,21,-6.1,45,-0.9,14,-28.3
Derrick White,30.3,BOS,Combo,415,2,-15.5,31,-3.1,4,-11.2%,23,+2.4%,0,-34.8,0,-13.5,3,-63.1
Luke Kornet,29.3,BOS,Big,180,63,+4.0,82,+7.4,58,+0.7%,31,+1.9%,57,+1.0,53,-0.5,58,+7.4
Jarrett Allen,26.5,CLE,Big,261,62,+3.3,63,+4.2,37,-1.6%,21,+2.5%,68,+3.3,58,+0.4,67,+15.0
Donovan Mitchell,28.2,CLE,Combo,288,3,-15.0,2,-20.2,81,+4.0%,90,-4.1%,83,+8.7,56,-0.0,89,+42.0
Wendell Carter,25.5,ORL,Big,188,49,-0.1,33,-2.8,7,-10.3%,50,+0.1%,92,+12.7,30,-3.1,98,+78.1
Luka Doncic,25.7,LAL,Point,207,97,+23.6,97,+25.1,80,+4.0%,33,+1.8%,51,+0.2,91,+6.6,1,-114.0
Michael Porter,26.3,DEN,Forward,435,71,+6.6,79,+6.5,31,-3.2%,13,+3.5%,40,-2.1,20,-4.4,65,+14.9
Shai Gilgeous-Alexander,26.3,OKC,Point,849,54,+0.9,47,+1.3,38,-1.5%,3,+5.3%,20,-6.5,14,-6.0,52,+1.6
Jaren Jackson,25.1,MEM,Big,211,20,-8.0,43,+0.3,41,-1.3%,65,-0.9%,10,-10.3,58,+0.2,4,-59.2
Donte DiVincenzo,27.8,MIN,Combo,369,19,-8.3,18,-7.7,55,+0.4%,57,-0.4%,48,-0.5,61,+0.7,38,-4.9
Mikal Bridges,28.2,NYK,Forward,705,10,-12.2,4,-14.8,3,-11.7%,20,+2.6%,59,+1.7,11,-6.4,88,+41.1
Jalen Brunson,28.2,NYK,Point,680,95,+15.6,64,+4.4,58,+0.7%,51,+0.1%,64,+2.8,63,+1.0,62,+9.7
Isaiah Hartenstein,26.5,OKC,Big,515,25,-5.9,21,-6.7,64,+1.7%,78,-1.9%,82,+8.4,81,+4.4,69,+18.1
Mitchell Robinson,26.6,NYK,Big,369,35,-2.6,53,+2.0,96,+9.6%,81,-2.9%,80,+6.8,96,+8.5,26,-16.4
Gary Trent Jr.,25.8,MIL,Wing,170,42,-1.2,27,-4.3,66,+2.0%,92,-4.3%,90,+11.6,82,+4.6,81,+32.3
Haywood Highsmith,27.9,MIA,Forward,139,57,+1.6,76,+6.2,92,+6.0%,76,-1.7%,34,-3.1,37,-1.7,45,-0.4
Ja Morant,25.2,MEM,Point,149,81,+9.4,81,+7.2,35,-1.9%,98,-6.7%,84,+9.9,89,+6.5,61,+9.0
DeAndre Hunter,26.9,CLE,Forward,185,69,+5.1,69,+4.9,60,+1.0%,97,-5.6%,27,-4.9,59,+0.6,17,-25.5
Darius Garland,24.8,CLE,Point,147,33,-2.9,46,+1.3,12,-7.4%,3,+5.7%,26,-5.2,21,-4.3,53,+1.7
Rui Hachimura,26.7,LAL,Forward,182,7,-13.5,17,-8.4,11,-7.8%,60,-0.5%,39,-2.3,77,+3.6,2,-68.2
Tyler Herro,24.8,MIA,Combo,225,84,+10.8,94,+14.2,29,-3.7%,99,-7.1%,86,+10.6,95,+8.3,10,-39.3
Nickeil Alexander-Walker,26.2,MIN,Wing,300,44,-0.7,57,+2.7,51,-0.1%,16,+2.9%,49,-0.5,26,-3.6,72,+18.8
