Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Steven Adams,20.3,OKC,Big,300,0,34.8%,80,19.6%,37,1.8%,83,30.0%
LaMarcus Aldridge,28.3,POR,Big,440,85,80.0%,57,13.0%,85,3.5%,72,25.0%
Ray Allen,38.3,MIA,Wing,526,93,91.4%,32,6.7%,68,1.6%,24,10.0%
Tony Allen,31.8,MEM,Wing,230,0,76.2%,79,12.7%,16,0.6%,63,30.0%
Chris Andersen,35.3,MIA,Big,316,30,68.4%,83,20.8%,41,1.9%,0,0.0%
Alan Anderson,31.0,BKN,Wing,257,0,66.7%,76,12.1%,61,1.5%,82,37.5%
Pero Antic,31.3,ATL,Big,169,0,62.5%,2,2.3%,57,2.4%,0,0.0%
Trevor Ariza,28.3,WAS,Wing,407,21,77.8%,55,8.5%,32,0.9%,24,10.0%
Omer Asik,27.3,HOU,Big,162,0,100.0%,7,5.9%,13,1.1%,98,50.0%
D.J. Augustin,26.0,CHI,Point,140,0,89.5%,32,9.1%,84,3.0%,68,28.6%
Harrison Barnes,21.4,GSW,Forward,141,0,57.1%,45,8.3%,64,1.5%,0,0.0%
Matt Barnes,33.6,LAC,Forward,400,0,68.4%,27,7.1%,36,0.7%,27,12.5%
Shane Battier,35.1,MIA,Wing,191,0,80.0%,16,3.8%,39,1.1%,0,0.0%
Nicolas Batum,24.9,POR,Wing,458,0,80.0%,18,4.2%,37,1.1%,89,50.0%
Bradley Beal,20.3,WAS,Wing,454,43,79.2%,58,9.0%,82,2.1%,53,23.5%
Marco Belinelli,27.6,SAS,Wing,308,0,94.4%,37,7.3%,71,1.6%,42,16.7%
Patrick Beverley,25.3,HOU,Combo,202,0,70.0%,27,5.7%,0,0.9%,0,0.0%
Andray Blatche,27.2,BKN,Big,171,100,83.3%,70,16.2%,87,3.6%,0,0.0%
Trevor Booker,25.9,WAS,Big,141,0,66.7%,35,10.0%,22,1.4%,0,0.0%
Carlos Boozer,31.9,CHI,Big,120,0,88.9%,15,8.0%,59,2.4%,72,25.0%
Chris Bosh,29.6,MIA,Big,684,55,74.5%,37,10.2%,20,1.3%,85,32.0%
Caron Butler,33.6,OKC,Wing,413,29,78.6%,63,9.4%,50,1.2%,21,9.1%
Jimmy Butler,24.1,CHI,Wing,217,0,78.3%,89,15.2%,63,1.5%,24,10.0%
Jose Calderon,32.1,DAL,Point,191,0,100.0%,0,1.5%,0,1.2%,100,100.0%
DeMarre Carroll,27.3,ATL,Wing,245,0,63.6%,50,8.2%,45,1.2%,97,75.0%
Vince Carter,36.8,DAL,Wing,190,0,78.6%,47,8.1%,92,2.8%,0,0.0%
Mario Chalmers,27.5,MIA,Point,528,0,75.0%,58,10.2%,11,1.4%,53,25.0%
Norris Cole,25.1,MIA,Combo,393,0,92.3%,18,3.9%,18,1.3%,82,33.3%
Darren Collison,26.2,LAC,Combo,222,25,84.6%,73,11.2%,73,2.0%,45,10.0%
Nick Collison,33.0,OKC,Big,172,0,75.0%,52,12.5%,28,1.6%,0,0.0%
Mike Conley,26.1,MEM,Point,266,33,76.9%,37,9.2%,42,2.4%,84,30.0%
Jamal Crawford,33.6,LAC,Combo,301,100,87.8%,82,12.4%,9,0.9%,91,36.4%
Stephen Curry,25.6,GSW,Point,296,67,88.1%,68,11.2%,53,2.5%,32,21.4%
Samuel Dalembert,33.5,DAL,Big,134,0,66.7%,87,23.3%,43,2.1%,39,14.3%
Glen Davis,27.8,LAC,Big,143,0,0.0%,0,0.0%,9,0.9%,100,0.0%
DeMar DeRozan,24.2,TOR,Wing,281,79,89.9%,100,22.8%,87,2.7%,39,15.2%
Boris Diaw,31.5,SAS,Big,595,35,69.6%,26,8.8%,48,2.2%,35,13.3%
Tim Duncan,37.5,SAS,Big,750,65,76.0%,63,14.6%,61,2.5%,57,21.3%
Mike Dunleavy,33.1,CHI,Wing,162,0,66.7%,34,7.3%,18,0.6%,89,50.0%
Kevin Durant,25.1,OKC,Forward,813,100,81.0%,82,12.0%,91,3.2%,45,16.1%
Monta Ellis,28.0,DAL,Wing,249,71,86.7%,71,11.8%,42,1.1%,68,31.3%
Derek Fisher,39.2,OKC,Combo,262,0,100.0%,55,7.9%,45,1.6%,64,20.0%
Kevin Garnett,37.5,BKN,Big,249,0,73.9%,46,11.6%,67,2.5%,30,12.5%
Marc Gasol,28.8,MEM,Big,299,80,79.4%,43,11.1%,83,3.3%,59,21.4%
Paul George,23.5,IND,Wing,779,36,78.9%,82,13.7%,97,3.0%,42,16.7%
Taj Gibson,28.4,CHI,Big,153,60,75.0%,89,24.3%,91,3.7%,65,23.5%
Manu Ginobili,36.3,SAS,Wing,585,64,86.2%,74,11.8%,100,3.2%,34,12.9%
Drew Gooden,32.1,WAS,Big,145,0,75.0%,13,7.3%,30,1.6%,0,0.0%
Marcin Gortat,29.7,WAS,Big,381,20,65.9%,39,10.7%,63,2.5%,24,7.1%
Danny Granger,30.5,LAC,Forward,116,0,77.8%,55,8.6%,45,0.8%,0,0.0%
Danny Green,26.4,SAS,Wing,521,0,77.8%,8,3.1%,29,0.8%,84,40.0%
Draymond Green,23.7,GSW,Forward,225,0,79.2%,64,9.7%,73,2.5%,82,33.3%
Blake Griffin,24.6,LAC,Big,476,50,74.0%,61,14.4%,98,3.9%,67,23.7%
James Harden,24.2,HOU,Wing,263,86,90.0%,68,11.6%,89,2.8%,32,11.8%
Devin Harris,30.7,DAL,Combo,173,0,87.5%,45,6.1%,36,1.6%,73,25.0%
Udonis Haslem,33.4,MIA,Big,152,0,60.0%,26,8.8%,54,2.3%,0,0.0%
Gerald Henderson,25.9,CHA,Wing,119,0,64.7%,97,20.9%,79,2.0%,71,33.3%
Roy Hibbert,26.9,IND,Big,541,75,77.2%,50,11.8%,80,3.3%,80,26.3%
Nene Hilario,31.1,WAS,Big,321,0,34.6%,9,6.3%,78,3.1%,61,22.2%
George Hill,27.5,IND,Point,682,11,72.9%,89,13.2%,21,1.6%,26,19.2%
Kirk Hinrich,32.8,CHI,Combo,167,0,50.0%,9,3.4%,27,1.4%,0,0.0%
Dwight Howard,27.9,HOU,Big,231,15,62.5%,76,17.1%,100,5.9%,52,19.0%
Serge Ibaka,24.1,OKC,Big,580,70,76.5%,24,8.8%,17,1.3%,39,14.3%
Andre Iguodala,29.8,GSW,Wing,246,0,59.4%,92,15.5%,84,2.2%,47,18.2%
Reggie Jackson,23.5,OKC,Combo,509,50,87.5%,64,8.0%,55,1.9%,0,0.0%
LeBron James,28.8,MIA,Forward,761,67,80.3%,100,17.3%,100,4.0%,73,20.6%
Al Jefferson,28.8,CHA,Big,105,0,80.0%,4,5.5%,4,0.9%,87,33.3%
Amir Johnson,26.5,TOR,Big,191,0,75.0%,41,10.7%,11,1.0%,87,33.3%
Joe Johnson,32.3,BKN,Wing,469,57,83.7%,21,5.2%,95,3.0%,63,30.0%
James Jones,33.1,MIA,Wing,111,0,66.7%,11,3.3%,11,0.5%,0,0.0%
Terrence Jones,21.8,HOU,Big,138,0,50.0%,30,9.3%,7,0.9%,0,0.0%
DeAndre Jordan,25.3,LAC,Big,440,5,43.4%,98,30.5%,70,2.6%,70,24.0%
Andrei Kirilenko,32.7,BKN,Big,141,0,66.7%,91,26.3%,74,3.1%,54,20.0%
Kyle Korver,32.6,ATL,Wing,250,0,91.7%,24,6.0%,5,0.4%,89,50.0%
Courtney Lee,28.1,MEM,Wing,223,0,77.8%,45,8.1%,55,1.3%,84,40.0%
David Lee,30.5,GSW,Big,217,0,78.9%,54,12.6%,15,1.2%,28,9.1%
Kawhi Leonard,22.3,SAS,Forward,734,0,73.6%,91,13.8%,55,1.1%,55,18.9%
Rashard Lewis,34.2,MIA,Forward,317,0,75.0%,0,2.3%,0,0.3%,0,0.0%
Damian Lillard,23.3,POR,Point,465,89,90.6%,74,11.3%,58,2.6%,89,30.4%
Jeremy Lin,25.2,HOU,Point,176,0,81.3%,63,10.8%,26,1.6%,68,28.6%
Shaun Livingston,28.1,BKN,Combo,325,0,73.0%,100,16.0%,82,2.3%,36,6.3%
Robin Lopez,25.6,POR,Big,366,25,66.7%,78,17.2%,65,2.5%,91,35.3%
Kyle Lowry,27.6,TOR,Combo,271,75,87.8%,91,13.4%,100,3.6%,55,18.8%
Shelvin Mack,23.5,ATL,Combo,110,0,80.0%,36,6.0%,91,2.6%,0,0.0%
Ian Mahinmi,27.0,IND,Big,235,0,58.8%,93,26.5%,24,1.5%,61,22.2%
Shawn Marion,35.5,DAL,Forward,192,0,63.6%,36,7.9%,27,0.7%,64,20.0%
Wesley Matthews,27.0,POR,Wing,426,50,81.3%,61,9.4%,53,1.2%,0,0.0%
Josh McRoberts,26.7,CHA,Big,153,0,80.0%,59,13.2%,0,0.6%,0,0.0%
Andre Miller,37.6,WAS,Point,104,0,55.6%,47,9.3%,100,3.3%,53,25.0%
Mike Miller,33.7,MEM,Wing,173,0,77.8%,3,2.3%,58,1.3%,0,0.0%
Patty Mills,25.2,SAS,Point,336,0,76.9%,5,2.9%,16,1.5%,0,0.0%
Paul Millsap,28.7,ATL,Big,267,90,80.4%,85,21.0%,93,3.7%,48,15.4%
Gary Neal,29.1,CHA,Wing,101,0,71.4%,42,7.5%,13,0.5%,55,25.0%
Joakim Noah,28.7,CHI,Big,209,0,58.8%,65,14.9%,50,2.3%,39,14.3%
Dirk Nowitzki,35.4,DAL,Big,262,95,80.6%,22,8.8%,96,3.8%,26,8.3%
Tony Parker,31.5,SAS,Point,717,0,71.2%,26,6.3%,32,2.1%,37,21.7%
