Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Shareef Abdur-Rahim,27.9,POR,Forward,1856,80,51.6%,74,62%,76,40%,93,45%,83,42%,0,55%,32,31%,59,38%
Cory Alexander,31.4,CHA,Point,169,28,43.8%,9,44%,0,0%,6,25%,2,20%,0,100%,0,40%,95,44%
Malik Allen,26.3,CHA,Big,238,63,50.0%,99,82%,90,50%,82,44%,87,46%,0,0%,0,0%,0,0%
Malik Allen,26.3,MIA,Big,243,45,46.7%,95,71%,57,40%,59,40%,58,40%,0,0%,0,0%,0,0%
Ray Allen,29.3,OKC,Wing,3057,70,50.2%,48,57%,52,38%,80,42%,72,41%,41,37%,71,39%,64,38%
Tony Allen,22.8,BOS,Wing,1207,49,48.4%,37,55%,6,17%,63,40%,9,31%,81,45%,0,43%,93,44%
Rafer Alston,28.3,TOR,Point,2714,63,48.7%,41,51%,50,38%,48,39%,50,39%,22,31%,63,37%,59,36%
Chris Andersen,26.3,NOP,Big,1388,89,54.0%,90,68%,28,32%,43,35%,29,34%,0,0%,0,0%,0,0%
Derek Anderson,30.3,POR,Wing,1234,32,46.4%,77,62%,38,35%,3,30%,8,31%,34,37%,74,39%,65,39%
Kenny Anderson,34.1,ATL,Point,715,33,44.2%,31,49%,37,34%,69,42%,59,40%,0,38%,0,60%,0,46%
Shandon Anderson,30.8,MIA,Forward,1116,46,47.4%,57,60%,50,36%,91,44%,74,40%,5,20%,0,17%,0,19%
Carmelo Anthony,20.4,DEN,Forward,2597,30,45.0%,37,56%,22,25%,52,37%,35,35%,0,15%,21,30%,25,28%
Rafael Araujo,24.2,TOR,Big,706,28,44.7%,42,57%,16,28%,48,38%,24,33%,0,0%,0,50%,0,33%
Gilbert Arenas,22.8,WAS,Wing,3266,69,50.2%,70,60%,24,31%,76,42%,46,38%,5,26%,72,39%,50,37%
Trevor Ariza,19.3,NYK,Wing,1333,21,45.0%,49,57%,11,21%,29,36%,10,32%,0,33%,0,0%,0,30%
Darrell Armstrong,36.4,DAL,Point,508,2,34.3%,20,46%,4,17%,9,29%,6,26%,0,27%,3,23%,5,24%
Darrell Armstrong,36.4,NOP,Point,415,15,39.9%,28,48%,11,20%,52,40%,41,38%,0,25%,10,26%,9,26%
Carlos Arroyo,25.3,DET,Point,653,6,37.9%,15,45%,26,33%,30,37%,31,36%,0,33%,0,0%,0,10%
Carlos Arroyo,25.3,UTA,Point,738,19,41.9%,72,57%,17,25%,26,37%,19,35%,0,50%,0,43%,95,44%
Chucky Atkins,30.2,LAL,Point,2904,91,53.2%,76,58%,24,32%,67,42%,57,40%,31,34%,85,42%,80,40%
Stacey Augmon,36.3,ORL,Wing,604,4,39.5%,24,52%,46,37%,2,27%,11,32%,0,0%,0,0%,0,0%
Vin Baker,32.9,NYK,Big,156,5,36.4%,1,29%,78,44%,63,40%,72,42%,0,0%,0,0%,0,0%
Marcus Banks,23.0,BOS,Point,1062,26,43.5%,48,53%,2,14%,15,32%,7,28%,0,45%,20,31%,32,34%
Leandro Barbosa,21.9,PHX,Combo,981,100,55.7%,96,65%,49,34%,74,43%,60,39%,29,36%,80,39%,72,38%
Matt Barnes,24.6,SAC,Wing,638,24,45.2%,19,50%,60,39%,83,43%,76,41%,0,17%,0,43%,0,31%
Andre Barrett,22.7,HOU,Point,287,11,39.2%,9,44%,17,25%,54,40%,15,33%,9,25%,0,31%,11,27%
Andre Barrett,22.7,ORL,Point,153,81,51.0%,65,56%,89,50%,93,48%,93,48%,0,57%,0,14%,0,36%
Brent Barry,32.8,SAS,Wing,1652,89,53.6%,96,70%,40,35%,23,35%,28,35%,8,27%,78,40%,46,36%
Jon Barry,35.3,ATL,Combo,274,79,48.6%,98,67%,5,17%,26,35%,14,31%,0,44%,58,35%,74,38%
Jon Barry,35.3,HOU,Wing,1190,95,56.2%,41,56%,33,35%,90,45%,86,43%,92,49%,93,44%,94,45%
Tony Battie,28.7,ORL,Big,1900,40,46.2%,51,59%,66,42%,68,41%,69,41%,0,0%,0,0%,0,0%
Shane Battier,26.1,MEM,Forward,2493,70,50.3%,39,56%,78,41%,9,25%,30,35%,73,42%,75,38%,84,40%
Raja Bell,28.1,UTA,Wing,1783,63,49.9%,47,57%,54,38%,91,46%,92,45%,78,45%,76,40%,85,42%
Travis Best,32.3,BKN,Combo,1389,54,46.4%,67,55%,51,35%,72,43%,75,42%,65,41%,47,31%,38,33%
Mike Bibby,26.5,SAC,Point,3083,69,49.5%,96,67%,69,42%,59,40%,67,41%,50,37%,53,36%,57,36%
Andris Biedrins,18.6,GSW,Big,357,97,58.9%,90,68%,13,27%,1,0%,7,25%,0,0%,0,0%,0,0%
Chauncey Billups,28.1,DET,Combo,2860,96,53.5%,49,50%,86,44%,65,42%,82,43%,87,46%,96,43%,96,43%
Steve Blake,24.7,WAS,Point,607,30,43.8%,6,41%,13,21%,4,22%,4,22%,19,29%,100,49%,82,41%
Mark Blount,28.9,BOS,Big,2129,81,52.8%,74,64%,56,40%,95,50%,92,46%,0,0%,0,0%,0,0%
Keith Bogans,24.5,CHA,Wing,1762,8,42.4%,12,46%,25,31%,54,39%,32,36%,47,38%,22,31%,28,34%
Matt Bonner,24.6,TOR,Big,1506,96,58.0%,52,59%,95,54%,97,55%,98,55%,94,46%,100,43%,100,44%
Calvin Booth,28.5,DAL,Big,224,17,42.2%,80,65%,29,33%,33,32%,24,33%,0,0%,0,0%,0,0%
