Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Steven Adams,20.3,OKC,Big,300,98,70.5%,91,84%,26,12%,11,4%,9,16%,0,0%,0,0%,0,0%
LaMarcus Aldridge,28.3,POR,Big,440,33,45.8%,20,34%,76,28%,85,38%,89,65%,63,1%,0,0%,59,1%
Ray Allen,38.3,MIA,Wing,526,66,53.9%,26,18%,66,16%,3,10%,21,26%,84,22%,71,34%,84,56%
Tony Allen,31.8,MEM,Wing,230,42,48.6%,100,65%,26,9%,37,18%,24,27%,21,6%,0,3%,3,9%
Chris Andersen,35.3,MIA,Big,316,80,57.9%,93,88%,4,3%,28,8%,4,11%,0,0%,74,1%,63,1%
Alan Anderson,31.0,BKN,Wing,257,39,48.4%,47,24%,61,15%,11,12%,26,27%,95,26%,34,23%,79,48%
Pero Antic,31.3,ATL,Big,169,0,20.2%,9,26%,17,7%,30,9%,13,16%,85,5%,100,53%,100,58%
Trevor Ariza,28.3,WAS,Wing,407,92,59.7%,92,37%,11,5%,5,10%,5,15%,71,13%,79,35%,74,48%
Omer Asik,27.3,HOU,Big,162,46,48.5%,98,94%,0,0%,17,6%,2,6%,0,0%,0,0%,0,0%
D.J. Augustin,26.0,CHI,Point,140,0,34.0%,68,36%,37,14%,32,14%,11,29%,74,9%,42,26%,58,35%
Harrison Barnes,21.4,GSW,Forward,141,18,47.7%,18,21%,82,25%,55,13%,82,38%,73,17%,45,25%,55,42%
Matt Barnes,33.6,LAC,Forward,400,27,50.0%,64,29%,27,10%,36,9%,27,19%,91,24%,55,28%,73,52%
Shane Battier,35.1,MIA,Wing,191,100,66.0%,11,12%,39,12%,0,0%,0,12%,97,31%,95,46%,97,77%
Nicolas Batum,24.9,POR,Wing,458,68,55.0%,63,26%,47,13%,50,19%,45,32%,39,9%,63,33%,53,42%
Bradley Beal,20.3,WAS,Wing,454,45,48.9%,42,24%,42,12%,89,37%,84,48%,18,5%,37,23%,29,28%
Marco Belinelli,27.6,SAS,Wing,308,79,57.8%,71,28%,37,11%,63,23%,53,34%,34,9%,55,29%,47,38%
Patrick Beverley,25.3,HOU,Combo,202,27,45.0%,64,36%,91,23%,0,0%,9,23%,100,26%,18,15%,64,42%
Andray Blatche,27.2,BKN,Big,171,28,45.6%,76,72%,37,16%,35,10%,28,26%,70,1%,0,0%,67,1%
Trevor Booker,25.9,WAS,Big,141,41,48.1%,57,53%,65,23%,67,23%,61,47%,0,0%,0,0%,0,0%
Carlos Boozer,31.9,CHI,Big,120,13,42.6%,17,34%,35,16%,93,50%,93,66%,0,0%,0,0%,0,0%
Chris Bosh,29.6,MIA,Big,684,78,57.2%,13,32%,20,9%,74,29%,50,38%,93,11%,93,19%,91,30%
Caron Butler,33.6,OKC,Wing,413,13,42.9%,21,15%,18,7%,74,27%,50,34%,92,23%,53,28%,82,51%
Jimmy Butler,24.1,CHI,Wing,217,24,43.9%,82,33%,21,8%,82,29%,55,36%,11,5%,45,26%,34,30%
Jose Calderon,32.1,DAL,Point,191,79,54.6%,5,12%,0,5%,100,48%,89,52%,63,8%,63,28%,63,35%
DeMarre Carroll,27.3,ATL,Wing,245,76,57.3%,84,35%,16,6%,32,16%,13,22%,45,10%,66,33%,61,43%
Vince Carter,36.8,DAL,Wing,190,74,56.6%,37,22%,74,18%,47,19%,58,36%,63,12%,58,30%,55,42%
Mario Chalmers,27.5,MIA,Point,528,42,50.0%,74,37%,63,21%,0,7%,5,28%,89,13%,37,22%,53,35%
Norris Cole,25.1,MIA,Combo,393,82,51.4%,55,28%,0,7%,27,16%,0,22%,91,25%,55,25%,82,50%
Darren Collison,26.2,LAC,Combo,222,9,40.6%,100,44%,82,18%,82,26%,82,44%,55,8%,9,4%,9,12%
Nick Collison,33.0,OKC,Big,172,15,42.9%,59,56%,28,13%,54,16%,33,28%,98,16%,0,0%,85,16%
Mike Conley,26.1,MEM,Point,266,16,44.6%,84,39%,68,23%,21,13%,47,36%,42,6%,21,19%,32,25%
Jamal Crawford,33.6,LAC,Combo,301,36,46.0%,18,19%,55,17%,45,21%,45,38%,36,6%,91,37%,73,43%
Stephen Curry,25.6,GSW,Point,296,74,54.4%,26,25%,16,12%,42,18%,16,30%,68,8%,95,38%,95,46%
Samuel Dalembert,33.5,DAL,Big,134,35,45.8%,87,83%,15,7%,33,10%,15,17%,0,0%,0,0%,0,0%
Glen Davis,27.8,LAC,Big,143,83,58.3%,48,47%,59,22%,78,31%,70,53%,0,0%,0,0%,0,0%
DeMar DeRozan,24.2,TOR,Wing,281,8,41.0%,68,27%,84,20%,97,41%,92,61%,26,8%,5,5%,8,12%
Boris Diaw,31.5,SAS,Big,595,74,56.1%,26,38%,72,26%,41,11%,43,36%,89,8%,89,18%,89,26%
Tim Duncan,37.5,SAS,Big,750,63,52.3%,43,47%,89,35%,59,18%,72,53%,59,0%,67,0%,54,1%
Mike Dunleavy,33.1,CHI,Wing,162,84,58.5%,53,25%,29,9%,42,18%,26,27%,68,13%,76,35%,68,47%
Kevin Durant,25.1,OKC,Forward,813,45,51.4%,27,23%,91,27%,91,23%,100,50%,9,2%,36,25%,9,27%
Monta Ellis,28.0,DAL,Wing,249,29,46.8%,87,35%,50,13%,84,30%,74,42%,8,4%,26,19%,18,23%
Derek Fisher,39.2,OKC,Combo,262,0,39.0%,0,8%,45,16%,64,22%,64,38%,82,19%,82,35%,91,54%
Kevin Garnett,37.5,BKN,Big,249,65,53.2%,33,41%,70,25%,83,33%,83,58%,67,1%,0,0%,65,1%
Marc Gasol,28.8,MEM,Big,299,7,40.9%,11,29%,100,51%,61,20%,96,71%,0,0%,0,0%,0,0%
Paul George,23.5,IND,Wing,779,53,51.5%,50,25%,53,14%,71,25%,63,39%,47,10%,47,26%,45,36%
Taj Gibson,28.4,CHI,Big,153,76,56.1%,67,63%,61,23%,50,14%,46,37%,0,0%,0,0%,0,0%
Manu Ginobili,36.3,SAS,Wing,585,63,53.0%,76,31%,76,18%,8,12%,37,30%,24,7%,68,33%,50,40%
