Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Steven Adams,20.3,OKC,Big,300,0,8.0%,93,129.6,2,1.7%,13,0.21,24,15.4%
LaMarcus Aldridge,28.3,POR,Big,440,100,28.6%,33,101.8,43,6.7%,22,0.24,87,6.7%
Ray Allen,38.3,MIA,Wing,526,50,17.4%,68,118.1,55,10.0%,50,0.58,37,13.5%
Tony Allen,31.8,MEM,Wing,230,53,17.5%,42,106.2,32,7.6%,24,0.44,32,13.6%
Chris Andersen,35.3,MIA,Big,316,26,12.4%,83,121.1,9,2.7%,15,0.21,59,11.8%
Alan Anderson,31.0,BKN,Wing,257,32,14.6%,34,104.4,53,9.4%,61,0.65,39,12.7%
Pero Antic,31.3,ATL,Big,169,43,14.4%,0,47.8,35,4.9%,43,0.34,26,15.0%
Trevor Ariza,28.3,WAS,Wing,407,29,14.3%,87,124.0,37,8.0%,39,0.56,55,11.2%
Omer Asik,27.3,HOU,Big,162,15,11.4%,41,102.9,17,3.3%,28,0.29,7,25.9%
D.J. Augustin,26.0,CHI,Point,140,95,32.5%,0,82.5,74,32.9%,37,1.01,89,9.1%
Harrison Barnes,21.4,GSW,Forward,141,27,15.3%,18,98.0,27,7.0%,36,0.46,55,9.5%
Matt Barnes,33.6,LAC,Forward,400,9,13.2%,27,103.5,45,8.0%,73,0.60,27,13.0%
Shane Battier,35.1,MIA,Wing,191,0,7.7%,97,137.0,5,3.8%,32,0.50,21,14.0%
Nicolas Batum,24.9,POR,Wing,458,55,17.9%,61,113.6,82,18.0%,95,1.00,16,15.1%
Bradley Beal,20.3,WAS,Wing,454,79,23.5%,50,108.2,87,19.6%,87,0.83,63,10.3%
Marco Belinelli,27.6,SAS,Wing,308,18,12.9%,89,124.7,34,7.8%,53,0.61,50,11.4%
Patrick Beverley,25.3,HOU,Combo,202,9,12.6%,9,94.5,9,7.9%,18,0.62,100,6.8%
Andray Blatche,27.2,BKN,Big,171,74,21.2%,57,106.9,28,4.3%,11,0.20,43,12.9%
Trevor Booker,25.9,WAS,Big,141,22,11.7%,28,100.0,70,9.5%,85,0.82,78,9.0%
Carlos Boozer,31.9,CHI,Big,120,78,21.8%,20,94.1,59,7.9%,48,0.36,37,13.1%
Chris Bosh,29.6,MIA,Big,684,61,17.5%,80,119.3,39,5.4%,37,0.31,91,6.0%
Caron Butler,33.6,OKC,Wing,413,24,13.6%,16,95.0,18,5.4%,16,0.40,82,8.9%
Jimmy Butler,24.1,CHI,Wing,217,37,15.2%,21,100.0,45,8.5%,45,0.56,92,4.3%
Jose Calderon,32.1,DAL,Point,191,16,19.1%,63,110.8,37,23.3%,84,1.22,100,8.5%
DeMarre Carroll,27.3,ATL,Wing,245,5,11.1%,71,119.2,47,8.8%,82,0.80,24,13.9%
Vince Carter,36.8,DAL,Wing,190,63,18.9%,66,117.3,63,13.4%,71,0.71,89,7.5%
Mario Chalmers,27.5,MIA,Point,528,5,16.9%,47,105.8,21,19.3%,74,1.15,5,17.3%
Norris Cole,25.1,MIA,Combo,393,18,13.6%,64,108.6,27,13.7%,64,1.01,18,16.2%
Darren Collison,26.2,LAC,Combo,222,64,22.5%,36,100.0,55,16.4%,36,0.73,64,10.5%
Nick Collison,33.0,OKC,Big,172,9,10.0%,17,93.8,78,12.2%,100,1.22,39,13.0%
Mike Conley,26.1,MEM,Point,266,63,26.2%,11,98.2,89,36.7%,89,1.40,84,10.0%
Jamal Crawford,33.6,LAC,Combo,301,91,27.4%,45,105.1,36,13.8%,0,0.50,91,7.9%
Stephen Curry,25.6,GSW,Point,296,58,26.0%,95,122.9,63,30.7%,79,1.18,26,14.5%
Samuel Dalembert,33.5,DAL,Big,134,13,10.9%,43,103.2,0,0.0%,0,0.00,52,12.7%
Glen Davis,27.8,LAC,Big,143,17,11.4%,76,116.7,65,8.9%,80,0.78,20,16.4%
DeMar DeRozan,24.2,TOR,Wing,281,97,29.5%,53,109.9,76,16.7%,47,0.57,61,10.3%
Boris Diaw,31.5,SAS,Big,595,59,17.2%,74,116.2,96,18.4%,96,1.07,54,12.3%
Tim Duncan,37.5,SAS,Big,750,70,20.1%,65,113.3,67,9.3%,54,0.46,85,8.0%
Mike Dunleavy,33.1,CHI,Wing,162,47,16.8%,76,120.0,66,13.6%,84,0.81,79,8.9%
Kevin Durant,25.1,OKC,Forward,813,91,30.2%,55,114.9,91,17.9%,64,0.59,9,13.3%
Monta Ellis,28.0,DAL,Wing,249,92,28.1%,29,102.9,68,14.1%,37,0.50,71,9.7%
Derek Fisher,39.2,OKC,Combo,262,0,12.6%,0,92.4,0,7.4%,9,0.58,82,8.3%
Kevin Garnett,37.5,BKN,Big,249,50,15.8%,67,113.7,74,10.3%,70,0.65,22,16.1%
Marc Gasol,28.8,MEM,Big,299,85,22.2%,15,93.1,93,18.1%,83,0.81,80,8.5%
