Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Kevin Love,27.1,CLE,Big,2417,84,+3.9,77,+0.8,75,+1.0%,74,+6.0,80,+0.6,77,+4.6%,87,+18.1,65,+0.4,81,+3.1%,59,+3.1
Kyle Lowry,29.6,TOR,Point,2845,88,+4.9,60,+0.2,93,+2.5%,39,-2.2,57,+0.1,23,-4.5%,45,-1.8,44,-0.1,95,+6.0%,30,-6.2
Trey Lyles,20.0,UTA,Big,1309,28,-3.0,17,-1.1,15,-1.9%,15,-9.4,7,-1.1,7,-9.2%,17,-16.5,42,-0.2,32,-1.7%,43,-2.3
Shelvin Mack,25.5,UTA,Point,870,96,+8.2,47,-0.2,52,+0.0%,46,-1.1,9,-1.0,4,-13.3%,9,-22.7,75,+0.6,56,+0.2%,84,+11.9
Ian Mahinmi,29.0,IND,Big,1809,51,-0.5,35,-0.6,92,+2.3%,20,-7.6,40,-0.2,46,-0.8%,25,-11.0,39,-0.3,70,+1.9%,33,-5.5
Devyn Marble,23.1,ORL,Wing,189,13,-5.8,53,+0.0,98,+3.7%,42,-1.9,70,+0.4,90,+9.5%,29,-8.8,37,-0.3,96,+6.5%,55,+1.4
Boban Marjanovic,27.2,SAS,Big,349,80,+3.3,49,-0.1,49,-0.1%,70,+4.5,10,-1.0,29,-3.6%,18,-15.7,85,+1.0,80,+3.0%,93,+18.1
Kendall Marshall,24.2,PHI,Combo,338,63,+1.1,49,-0.1,13,-2.0%,56,+0.9,25,-0.5,18,-5.8%,19,-15.4,60,+0.2,8,-5.2%,80,+9.6
Jarell Martin,21.4,MEM,Big,345,54,-0.0,29,-0.8,35,-0.7%,40,-2.2,6,-1.2,5,-11.4%,21,-12.9,57,+0.1,70,+1.9%,59,+2.9
Kevin Martin,32.7,MIN,Wing,831,23,-3.9,51,-0.0,24,-1.2%,61,+2.4,57,+0.1,97,+15.0%,45,-2.1,51,-0.0,9,-5.1%,65,+4.9
Kevin Martin,32.7,SAS,Wing,244,13,-5.6,40,-0.5,83,+1.5%,57,+1.5,21,-0.6,86,+7.6%,28,-10.0,53,+0.0,93,+5.3%,73,+7.2
Wesley Matthews,29.0,DAL,Wing,2634,98,+9.5,93,+2.0,41,-0.4%,98,+20.2,69,+0.3,32,-3.3%,73,+8.5,91,+1.4,37,-1.3%,97,+25.8
O.J. Mayo,28.0,MIL,Combo,1068,42,-1.2,9,-1.7,87,+1.9%,6,-15.0,12,-0.9,59,+1.1%,13,-18.9,12,-1.1,86,+3.9%,9,-15.3
Luc Mbah a Moute,29.1,LAC,Forward,1257,84,+3.8,92,+1.9,69,+0.7%,88,+11.3,74,+0.4,48,-0.4%,77,+10.4,88,+1.2,37,-1.3%,81,+10.1
James Michael McAdoo,22.8,GSW,Big,194,1,-14.3,24,-0.9,2,-3.9%,51,+0.0,73,+0.4,61,+1.6%,92,+23.8,5,-1.7,29,-2.1%,8,-16.4
