Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,SHOT FREQUENCY: Rim Rank,SHOT FREQUENCY: Rim,SHOT FREQUENCY: Short Mid Rank,SHOT FREQUENCY: Short Mid,SHOT FREQUENCY: Long Mid Rank,SHOT FREQUENCY: Long Mid,SHOT FREQUENCY: All Mid Rank,SHOT FREQUENCY: All Mid,SHOT FREQUENCY: Corner Three Rank,SHOT FREQUENCY: Corner Three,SHOT FREQUENCY: Non Corner Rank,SHOT FREQUENCY: Non Corner,SHOT FREQUENCY: All Three Rank,SHOT FREQUENCY: All Three
Steven Adams,22.3,OKC,Big,546,29,-2.2%,31,-1.8%,68,+2.0%,58,+0.5%,69,+2.5%,43,-0.1%,48,-0.6%,40,-0.7%
LaMarcus Aldridge,30.3,SAS,Big,336,35,-1.7%,40,-1.2%,91,+5.4%,87,+4.5%,93,+9.9%,10,-2.5%,5,-6.2%,3,-8.7%
Al-Farouq Aminu,25.1,POR,Forward,370,50,-0.2%,69,+2.3%,3,-9.0%,38,-0.9%,9,-9.9%,82,+2.3%,90,+5.4%,92,+7.7%
Kyle Anderson,22.1,SAS,Forward,100,14,-4.1%,33,-1.7%,70,+2.1%,37,-0.9%,59,+1.2%,81,+2.2%,43,-1.6%,51,+0.5%
Trevor Ariza,30.3,HOU,Forward,180,3,-7.4%,8,-5.9%,86,+3.9%,5,-8.3%,21,-4.5%,92,+3.3%,95,+7.1%,97,+10.4%
Leandro Barbosa,32.9,GSW,Wing,212,80,+3.6%,8,-6.3%,90,+5.2%,92,+5.8%,97,+11.1%,39,-0.4%,15,-4.4%,20,-4.8%
J.J. Barea,31.3,DAL,Point,100,95,+10.9%,46,-0.6%,95,+6.2%,19,-3.3%,71,+2.9%,51,+0.3%,27,-2.7%,33,-2.3%
Harrison Barnes,23.4,GSW,Forward,720,23,-2.8%,12,-4.4%,87,+4.3%,84,+3.6%,90,+7.8%,29,-1.3%,38,-2.1%,25,-3.4%
Matt Barnes,35.6,MEM,Forward,138,15,-3.8%,96,+7.3%,19,-3.0%,0,-12.2%,2,-15.1%,54,+0.4%,97,+7.4%,93,+7.8%
Nicolas Batum,26.9,CHA,Wing,143,13,-4.3%,5,-7.3%,59,+0.8%,86,+4.4%,81,+5.3%,69,+1.4%,56,+0.6%,63,+2.0%
Kent Bazemore,26.3,ATL,Wing,324,72,+2.8%,75,+2.8%,46,-0.3%,77,+2.4%,66,+2.1%,77,+1.9%,3,-6.8%,19,-4.9%
Patrick Beverley,27.3,HOU,Point,128,4,-7.1%,93,+6.7%,60,+0.9%,50,-0.3%,56,+0.5%,27,-1.3%,7,-5.9%,7,-7.2%
Bismack Biyombo,23.2,TOR,Big,504,52,+0.1%,42,-1.2%,26,-2.4%,83,+3.5%,58,+1.1%,47,+0.2%,52,-0.1%,46,+0.1%
Andrew Bogut,30.9,GSW,Big,364,14,-3.9%,38,-1.3%,64,+1.6%,26,-2.2%,43,-0.6%,92,+3.2%,45,-1.2%,62,+2.0%
Kentavious Caldwell-Pope,22.7,DET,Wing,160,27,-2.4%,90,+5.6%,2,-9.0%,24,-2.7%,6,-11.8%,85,+2.6%,81,+3.6%,89,+6.1%
