Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Ray Allen,37.3,MIA,Wing,565,31,+3.7,51,+0.0,40,+0.5%,57,-2.2,57,-0.5,39,+1.4%,60,-10.6,44,+0.5,39,+2.3%,50,+2.5
Tony Allen,30.8,MEM,Wing,420,84,-10.9,87,-2.7,34,+0.8%,77,-14.0,78,-1.0,74,-10.4%,55,-5.9,87,-2.4,11,+8.2%,81,-19.6
Chris Andersen,34.3,MIA,Big,298,58,-1.6,40,+1.1,87,-3.9%,27,+15.8,82,-1.3,76,-11.3%,43,+3.9,19,+2.3,76,-5.5%,24,+25.5
Carmelo Anthony,28.4,NYK,Forward,480,18,+8.6,14,+2.8,3,+4.4%,11,+31.3,45,+0.1,9,+18.8%,67,-25.0,15,+2.5,20,+5.1%,5,+48.5
Darrell Arthur,24.6,MEM,Big,173,11,+11.2,66,-1.2,84,-3.6%,76,-13.9,85,-1.4,95,-24.7%,71,-28.3,39,+0.7,84,-7.1%,55,-0.5
Omer Asik,26.3,HOU,Big,207,100,-32.3,98,-6.6,86,-3.6%,85,-20.8,40,+0.2,63,-7.8%,29,+25.6,99,-7.1,69,-4.0%,95,-45.5
D.J. Augustin,25.0,IND,Point,308,2,+17.8,22,+2.4,77,-2.4%,15,+28.4,19,+1.2,62,-7.4%,18,+37.6,29,+1.4,82,-6.7%,22,+25.8
Harrison Barnes,20.4,GSW,Wing,459,77,-8.1,95,-4.1,89,-4.0%,89,-26.9,96,-3.5,87,-17.3%,92,-56.1,66,-0.7,80,-5.9%,66,-7.6
Matt Barnes,32.6,LAC,Wing,160,88,-13.5,97,-5.5,97,-5.3%,92,-36.5,68,-0.8,75,-10.9%,82,-41.7,97,-4.7,97,-12.9%,92,-37.2
Brandon Bass,27.5,BOS,Big,201,76,-7.2,5,+4.9,8,+3.6%,1,+47.0,10,+1.8,3,+25.7%,14,+42.9,16,+2.5,9,+8.7%,7,+44.6
Shane Battier,34.1,MIA,Forward,375,47,+1.1,65,-1.2,32,+1.0%,84,-19.2,80,-1.1,52,-2.1%,87,-51.3,53,-0.1,45,+0.7%,61,-4.5
Jerryd Bayless,24.2,MEM,Combo,313,6,+13.9,24,+2.3,13,+2.7%,43,+8.0,11,+1.8,5,+21.0%,34,+18.7,36,+1.0,57,-1.1%,46,+6.1
Marco Belinelli,26.6,CHI,Wing,314,14,+10.4,26,+2.1,52,-0.2%,31,+14.2,59,-0.6,76,-11.3%,51,-3.2,13,+2.6,29,+3.9%,25,+22.9
