Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Kyle Anderson,30.1,MIN,Forward,1769,30,-2.8,43,-0.3,85,+1.7%,29,-6.1,31,-0.4,15,-6.6%,32,-8.0,52,+0.1,90,+4.4%,38,-4.5
Giannis Antetokounmpo,28.9,MIL,Forward,2565,98,+9.2,91,+1.9,96,+3.0%,78,+7.6,84,+0.9,83,+5.7%,79,+12.4,86,+1.1,96,+6.0%,69,+6.0
Harrison Barnes,31.4,SAC,Forward,2380,26,-3.4,77,+1.0,39,-0.6%,70,+5.2,70,+0.4,48,-0.2%,69,+7.8,81,+0.9,26,-2.5%,76,+8.4
Nicolas Batum,34.9,PHI,Wing,1470,83,+4.2,78,+1.0,30,-1.0%,90,+12.6,38,-0.2,37,-1.9%,56,+1.7,82,+0.9,35,-1.6%,91,+16.5
Bradley Beal,30.3,PHX,Combo,1759,51,-0.2,91,+1.9,62,+0.4%,93,+14.0,96,+1.5,43,-1.0%,95,+30.4,66,+0.4,72,+1.7%,65,+4.6
Malik Beasley,26.9,MIL,Combo,2330,69,+2.1,82,+1.2,79,+1.3%,80,+8.8,67,+0.4,42,-1.4%,71,+8.6,77,+0.8,84,+3.3%,78,+9.4
Davis Bertans,31.0,CHA,Wing,575,49,-0.5,92,+2.0,43,-0.4%,95,+16.2,46,-0.1,88,+7.5%,30,-9.1,98,+2.1,19,-3.3%,98,+28.0
Patrick Beverley,35.3,PHI,Combo,904,5,-10.4,14,-1.8,16,-1.8%,11,-13.8,66,+0.3,21,-5.0%,58,+2.8,7,-2.0,9,-5.6%,6,-23.2
Patrick Beverley,35.3,MIL,Wing,527,23,-3.9,6,-2.7,4,-3.1%,5,-20.0,18,-0.8,20,-5.2%,20,-13.8,7,-1.9,3,-8.3%,3,-29.5
Bismack Biyombo,31.2,MEM,Big,718,76,+3.0,28,-0.9,40,-0.5%,23,-8.5,79,+0.6,59,+1.5%,90,+21.0,19,-1.0,65,+1.1%,11,-17.9
Bojan Bogdanovic,34.5,DET,Forward,920,71,+2.2,67,+0.6,75,+1.1%,71,+5.6,19,-0.7,55,+0.9%,28,-9.8,88,+1.2,97,+6.4%,84,+11.8
Bojan Bogdanovic,34.5,NYK,Forward,549,4,-12.0,4,-3.1,8,-2.4%,5,-21.2,13,-1.0,18,-5.5%,22,-12.9,10,-1.7,43,-0.8%,8,-20.7
Devin Booker,27.0,PHX,Point,2445,98,+8.4,73,+0.8,53,-0.0%,73,+6.1,65,+0.3,63,+1.9%,68,+7.5,66,+0.4,45,-0.7%,65,+4.7
Malcolm Brogdon,30.9,POR,Combo,1120,89,+5.6,75,+0.9,25,-1.2%,81,+8.9,85,+0.9,61,+1.8%,83,+15.4,57,+0.2,14,-4.2%,67,+5.2
