Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Steven Adams,26.3,OKC,Big,1680,48,-0.0%,48,+0.1%,9,+5.5%,17,+4.4%,6,+5.1%,88,-6.6%,38,+0.7%,64,-1.0%
LaMarcus Aldridge,34.3,SAS,Big,1753,35,+0.8%,3,+6.9%,30,+2.3%,26,+2.8%,18,+2.8%,39,+1.4%,78,-2.4%,73,-1.6%
Al-Farouq Aminu,29.1,ORL,Forward,380,93,-3.9%,91,-5.4%,2,+8.3%,88,-5.8%,21,+2.5%,94,-8.7%,92,-4.8%,96,-5.8%
Kyle Anderson,26.1,MEM,Forward,1296,85,-2.4%,82,-3.3%,71,-2.3%,71,-2.7%,78,-2.4%,83,-5.2%,42,+0.4%,63,-0.9%
Giannis Antetokounmpo,24.9,MIL,Big,1915,94,-4.3%,92,-5.9%,78,-3.1%,89,-6.1%,90,-4.4%,46,+0.4%,75,-2.1%,71,-1.6%
Carmelo Anthony,35.4,POR,Big,1897,55,-0.4%,19,+2.9%,52,-0.4%,57,-0.9%,54,-0.5%,58,-1.0%,72,-1.8%,73,-1.7%
Trevor Ariza,34.3,SAC,Forward,783,85,-2.5%,83,-3.4%,91,-5.5%,56,-0.8%,87,-3.9%,12,+6.5%,78,-2.3%,54,-0.4%
Trevor Ariza,34.3,POR,Wing,701,95,-4.4%,75,-2.5%,98,-11.0%,97,-12.9%,99,-11.7%,14,+6.0%,81,-2.6%,54,-0.5%
D.J. Augustin,32.0,ORL,Point,1419,95,-4.4%,64,-1.3%,27,+2.9%,39,+1.2%,25,+2.1%,34,+2.1%,100,-10.7%,99,-8.1%
J.J. Barea,35.3,DAL,Point,388,4,+4.4%,16,+3.3%,12,+5.1%,71,-2.8%,20,+2.6%,46,+0.5%,8,+4.3%,9,+3.6%
Harrison Barnes,27.4,SAC,Forward,2474,50,-0.1%,85,-3.8%,88,-4.8%,75,-3.5%,89,-4.3%,19,+5.1%,16,+2.7%,11,+3.3%
Will Barton,28.8,DEN,Wing,1903,91,-3.3%,50,+0.0%,19,+3.7%,91,-7.1%,50,-0.0%,88,-6.3%,91,-4.6%,95,-5.1%
Nicolas Batum,30.9,CHA,Wing,488,36,+0.6%,71,-2.1%,99,-12.6%,18,+4.2%,95,-6.4%,12,+6.6%,10,+3.8%,6,+4.7%
Aron Baynes,32.9,PHX,Big,934,25,+1.4%,56,-0.5%,32,+2.0%,25,+3.0%,23,+2.4%,29,+2.9%,11,+3.6%,10,+3.4%
Kent Bazemore,30.3,POR,Wing,1077,84,-2.4%,86,-4.0%,35,+1.4%,59,-1.1%,40,+0.8%,70,-2.9%,88,-3.8%,89,-3.6%
Kent Bazemore,30.3,SAC,Forward,556,99,-7.4%,94,-6.5%,71,-2.4%,54,-0.6%,69,-1.8%,80,-4.7%,98,-7.9%,99,-7.0%
Bradley Beal,26.3,WAS,Wing,2051,5,+4.3%,33,+1.5%,63,-1.4%,45,+0.4%,56,-0.7%,28,+3.0%,2,+6.7%,3,+6.1%
Malik Beasley,22.9,DEN,Wing,697,24,+1.5%,67,-1.6%,93,-6.4%,24,+3.2%,83,-3.1%,7,+8.8%,26,+1.8%,9,+3.6%
Malik Beasley,22.9,MIN,Wing,462,15,+2.3%,24,+2.5%,32,+1.9%,53,-0.4%,42,+0.6%,7,+9.3%,52,-0.3%,20,+2.1%
Marco Belinelli,33.6,SAS,Wing,833,47,+0.0%,29,+1.8%,38,+1.2%,82,-4.4%,58,-0.9%,96,-10.5%,35,+0.9%,69,-1.4%
DeAndre' Bembry,25.3,ATL,Combo,881,51,-0.2%,84,-3.7%,64,-1.5%,32,+2.1%,50,-0.1%,3,+12.9%,38,+0.7%,11,+3.2%
Dragan Bender,22.0,GSW,Big,184,36,+0.7%,92,-5.7%,16,+4.2%,7,+6.9%,7,+5.0%,25,+3.8%,9,+3.9%,9,+3.6%
Davis Bertans,27.0,WAS,Forward,1570,59,-0.6%,90,-5.4%,10,+5.5%,45,+0.5%,12,+3.6%,69,-2.8%,33,+1.2%,44,+0.4%
Patrick Beverley,31.3,LAC,Point,1341,56,-0.4%,56,-0.6%,60,-1.1%,30,+2.4%,47,+0.2%,60,-1.2%,21,+2.3%,27,+1.5%
Bismack Biyombo,27.2,CHA,Big,1029,81,-2.1%,86,-4.0%,75,-2.8%,63,-1.7%,78,-2.4%,60,-1.5%,48,+0.1%,52,-0.2%
Nemanja Bjelica,31.5,SAC,Big,2009,51,-0.2%,49,+0.1%,29,+2.5%,66,-2.0%,36,+1.0%,74,-3.6%,51,-0.1%,64,-1.0%
Eric Bledsoe,29.9,MIL,Point,1644,62,-0.7%,80,-2.9%,18,+3.9%,25,+3.1%,13,+3.5%,35,+2.0%,81,-2.6%,72,-1.6%
Bojan Bogdanovic,30.5,UTA,Forward,2082,56,-0.4%,44,+0.5%,85,-4.3%,65,-1.9%,84,-3.3%,79,-4.5%,25,+1.8%,39,+0.7%
Devin Booker,23.0,PHX,Wing,2508,33,+0.9%,67,-1.5%,11,+5.4%,7,+7.2%,5,+6.1%,8,+8.3%,74,-2.1%,48,+0.2%
Avery Bradley,28.9,LAL,Combo,1184,50,-0.1%,34,+1.5%,37,+1.3%,41,+1.0%,35,+1.1%,61,-1.7%,78,-2.4%,78,-2.2%
Malcolm Brogdon,26.9,IND,Combo,1665,53,-0.3%,63,-1.2%,39,+1.2%,93,-7.6%,73,-2.0%,13,+6.4%,58,-0.7%,34,+1.0%
Jaylen Brown,23.0,BOS,Wing,1929,15,+2.3%,8,+4.8%,43,+0.6%,29,+2.4%,33,+1.3%,19,+5.1%,60,-0.8%,44,+0.4%
Reggie Bullock,28.6,NYK,Wing,682,45,+0.1%,39,+0.9%,5,+6.9%,71,-2.7%,17,+3.0%,88,-6.3%,58,-0.7%,76,-2.0%
Trey Burke,27.0,PHI,Point,282,37,+0.5%,36,+1.4%,97,-10.0%,51,-0.3%,95,-6.3%,18,+5.3%,7,+4.5%,6,+4.6%
Trey Burke,27.0,DAL,Point,190,6,+3.9%,89,-4.8%,90,-5.5%,0,+36.9%,2,+8.3%,0,+25.6%,88,-3.6%,10,+3.5%
Alec Burks,28.3,GSW,Wing,1384,79,-2.0%,58,-0.8%,49,-0.1%,75,-3.5%,63,-1.3%,85,-5.3%,55,-0.5%,75,-1.8%
Alec Burks,28.3,PHI,Combo,361,96,-4.6%,14,+3.7%,74,-2.7%,96,-11.7%,94,-5.7%,47,+0.3%,98,-7.2%,96,-5.7%
Jimmy Butler,30.1,MIA,Wing,1957,47,+0.0%,39,+1.0%,70,-2.2%,44,+0.6%,63,-1.2%,16,+5.6%,66,-1.2%,43,+0.5%
Bruno Caboclo,24.1,MEM,Big,150,85,-2.4%,98,-9.1%,87,-4.7%,33,+2.0%,82,-2.8%,1,+15.9%,92,-4.8%,52,-0.3%
Kentavious Caldwell-Pope,26.7,LAL,Wing,1749,49,-0.1%,58,-0.8%,47,+0.1%,33,+1.9%,39,+0.8%,29,+3.0%,57,-0.7%,49,+0.1%
Clint Capela,25.5,HOU,Big,1275,59,-0.6%,64,-1.4%,40,+1.0%,11,+5.7%,20,+2.6%,34,+2.1%,54,-0.5%,47,+0.2%
DeMarre Carroll,33.3,SAS,Forward,110,68,-1.0%,79,-2.8%,63,-1.4%,36,+1.4%,40,+0.7%,68,-2.7%,64,-1.0%,71,-1.5%
DeMarre Carroll,33.3,HOU,Big,114,40,+0.4%,95,-7.4%,66,-1.7%,50,-0.3%,57,-0.8%,71,-3.1%,1,+7.5%,6,+4.3%
Vince Carter,42.8,ATL,Big,857,77,-1.8%,69,-1.8%,31,+2.1%,79,-4.0%,49,+0.0%,65,-2.3%,83,-2.9%,83,-2.8%
Michael Carter-Williams,28.1,ORL,Combo,808,43,+0.2%,79,-2.9%,51,-0.4%,9,+6.1%,26,+2.0%,13,+6.3%,67,-1.4%,47,+0.3%
Willie Cauley-Stein,26.2,GSW,Big,938,73,-1.6%,93,-5.9%,90,-5.3%,15,+4.8%,72,-1.9%,63,-2.1%,27,+1.6%,37,+0.7%
Willie Cauley-Stein,26.2,DAL,Big,147,97,-4.8%,98,-10.3%,65,-1.6%,50,-0.1%,68,-1.6%,86,-5.9%,69,-1.6%,79,-2.3%
Tyson Chandler,37.1,HOU,Big,219,53,-0.3%,19,+2.9%,28,+2.7%,84,-4.7%,45,+0.3%,92,-7.7%,62,-0.9%,81,-2.5%
Wilson Chandler,32.5,BKN,Big,730,17,+2.2%,9,+4.4%,78,-3.1%,87,-5.4%,88,-4.0%,14,+6.2%,8,+4.3%,5,+4.8%
