Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Alex Abrines,24.3,OKC,Wing,106,0,7.3%,29,105.6,3,1.3%,6,0.17,97,5.7%
Steven Adams,24.3,OKC,Big,199,7,10.9%,49,118.9,44,6.9%,73,0.64,95,7.9%
LaMarcus Aldridge,32.3,SAS,Big,175,98,26.3%,56,121.6,83,13.3%,54,0.51,85,8.9%
Al-Farouq Aminu,27.1,POR,Big,130,63,17.0%,88,130.2,29,6.2%,22,0.36,56,11.4%
Giannis Antetokounmpo,22.9,MIL,Forward,279,87,29.2%,73,124.1,93,28.2%,93,0.97,73,10.1%
Carmelo Anthony,33.4,OKC,Big,193,76,18.6%,2,89.9,0,1.7%,0,0.09,100,7.3%
OG Anunoby,20.3,TOR,Forward,237,13,10.4%,93,138.6,13,4.0%,20,0.39,53,11.0%
Trevor Ariza,32.3,HOU,Wing,579,11,11.8%,17,97.4,23,5.5%,43,0.47,89,6.6%
Aron Baynes,30.9,BOS,Big,372,12,12.2%,39,116.7,56,7.9%,76,0.65,90,8.2%
Bradley Beal,24.3,WAS,Wing,215,86,26.1%,74,117.8,69,13.7%,51,0.53,31,11.8%
Marco Belinelli,31.6,PHI,Wing,272,46,17.1%,37,109.3,54,11.0%,66,0.64,100,3.6%
Jordan Bell,22.8,GSW,Big,133,10,12.0%,51,120.0,78,10.3%,90,0.86,17,16.9%
Eric Bledsoe,27.9,MIL,Point,223,46,25.7%,31,102.2,15,17.3%,15,0.68,62,13.0%
Bojan Bogdanovic,28.5,IND,Forward,233,53,18.3%,40,101.2,40,8.4%,27,0.46,7,14.4%
Corey Brewer,31.7,OKC,Wing,151,3,8.1%,100,132.1,17,4.7%,57,0.58,83,7.1%
Malcolm Brogdon,24.9,MIL,Combo,185,38,19.0%,31,103.4,25,14.2%,31,0.75,13,16.6%
Jaylen Brown,21.0,BOS,Wing,581,71,22.5%,60,112.9,43,8.2%,17,0.36,74,8.1%
Alec Burks,26.3,UTA,Wing,112,94,28.3%,83,119.4,94,25.0%,89,0.88,37,11.1%
Jimmy Butler,28.1,MIN,Wing,170,69,21.4%,57,112.9,83,18.0%,83,0.84,91,6.4%
Clint Capela,23.5,HOU,Big,518,27,13.4%,80,127.8,39,6.9%,59,0.52,78,9.6%
Ian Clark,26.7,NOP,Combo,166,6,15.4%,38,103.7,6,9.2%,13,0.60,25,13.6%
Jordan Clarkson,25.4,CLE,Combo,243,56,21.1%,0,68.6,0,4.5%,0,0.21,94,8.3%
Darren Collison,30.2,IND,Point,213,15,19.6%,62,109.7,38,24.1%,62,1.23,85,9.9%
Quinn Cook,24.6,GSW,Point,130,8,14.8%,38,104.4,0,7.4%,0,0.50,100,2.2%
Robert Covington,26.9,PHI,Forward,280,40,14.9%,13,90.0,60,12.8%,87,0.86,67,10.7%
Jamal Crawford,37.6,MIN,Wing,116,60,21.0%,63,113.5,63,13.0%,60,0.62,77,7.3%
Jae Crowder,27.3,UTA,Forward,320,47,17.8%,20,91.7,53,9.1%,33,0.51,60,10.9%
Stephen Curry,29.6,GSW,Point,552,77,29.8%,85,120.0,31,22.9%,23,0.77,77,11.7%
Anthony Davis,24.6,NOP,Big,357,95,25.9%,41,117.3,41,6.9%,5,0.27,68,10.5%
DeMar DeRozan,28.2,TOR,Wing,352,97,30.7%,23,103.2,89,20.2%,69,0.66,57,9.4%
Goran Dragic,31.5,MIA,Point,155,69,29.0%,54,108.1,46,24.7%,31,0.85,38,14.4%
Kevin Durant,29.1,GSW,Forward,805,93,31.1%,67,120.4,87,20.0%,67,0.64,80,9.0%
Wayne Ellington,29.9,MIA,Wing,100,31,14.0%,51,111.4,29,5.7%,34,0.41,69,9.0%
Joel Embiid,23.6,PHI,Big,278,100,29.1%,15,104.3,85,14.7%,51,0.51,29,15.3%
Dante Exum,22.3,UTA,Combo,110,69,24.9%,63,110.9,31,14.3%,6,0.57,0,23.6%
Derrick Favors,26.3,UTA,Big,284,22,12.9%,63,122.9,37,6.7%,61,0.52,54,12.0%
Rudy Gay,31.2,SAS,Big,158,85,21.4%,0,88.4,80,13.1%,71,0.61,93,8.1%
Paul George,27.5,OKC,Wing,250,91,27.8%,54,112.1,57,11.1%,31,0.40,9,15.3%
Taj Gibson,32.4,MIN,Big,122,2,9.2%,93,134.8,2,2.6%,10,0.28,15,17.0%
Manu Ginobili,40.3,SAS,Wing,106,66,21.2%,43,109.8,91,24.2%,97,1.14,14,13.5%
Rudy Gobert,25.3,UTA,Big,381,41,13.9%,83,128.3,12,4.5%,15,0.33,7,17.4%
Eric Gordon,28.9,HOU,Wing,546,63,21.1%,31,106.5,40,8.0%,26,0.38,60,9.2%
Marcin Gortat,33.7,WAS,Big,159,17,12.5%,34,113.0,17,5.2%,32,0.41,37,13.5%
Jerami Grant,23.6,OKC,Big,128,29,13.6%,7,102.7,24,5.9%,39,0.43,32,15.0%
Danny Green,30.4,SAS,Wing,102,29,13.7%,0,70.0,6,1.6%,3,0.12,86,6.8%
Draymond Green,27.7,GSW,Big,816,73,18.5%,22,105.6,100,27.4%,98,1.48,2,19.0%
Gerald Green,31.8,HOU,Wing,249,23,13.3%,66,114.6,0,0.0%,0,0.00,71,8.1%
Jeff Green,31.2,CLE,Big,493,51,14.9%,20,104.9,68,9.8%,78,0.66,61,10.9%
James Harden,28.2,HOU,Combo,619,100,39.6%,69,111.5,100,35.6%,63,0.90,44,11.9%
Nene Hilario,35.1,HOU,Big,107,20,12.6%,85,129.2,51,7.5%,68,0.59,0,27.6%
George Hill,31.5,CLE,Combo,555,13,15.8%,75,112.2,13,11.0%,25,0.70,50,11.7%
Jrue Holiday,27.4,NOP,Combo,347,81,26.8%,88,115.8,75,24.8%,75,0.92,75,10.5%
Rodney Hood,25.0,CLE,Wing,228,51,18.0%,11,93.7,46,8.5%,49,0.47,11,13.8%
Al Horford,31.4,BOS,Big,677,71,18.2%,73,125.6,88,15.5%,88,0.85,51,12.1%
Serge Ibaka,28.1,TOR,Big,258,59,16.0%,17,104.8,27,5.9%,24,0.37,10,17.4%
Andre Iguodala,33.8,GSW,Wing,400,14,13.1%,86,120.8,66,13.3%,94,1.01,26,12.0%
Ersan Ilyasova,30.5,PHI,Big,231,66,17.5%,5,98.9,63,8.6%,46,0.49,71,10.4%
Joe Ingles,30.1,UTA,Wing,379,49,17.8%,91,124.6,74,15.1%,86,0.85,3,17.3%
LeBron James,32.8,CLE,Forward,912,100,39.0%,80,124.4,100,45.4%,100,1.16,33,12.2%
James Johnson,30.7,MIA,Big,160,61,16.8%,76,126.5,95,23.3%,95,1.38,20,16.0%
Cory Joseph,26.2,IND,Combo,130,19,16.2%,6,86.7,69,22.1%,88,1.36,81,9.4%
Kyle Korver,36.6,CLE,Wing,496,20,13.3%,89,121.8,31,5.8%,37,0.44,51,9.8%
Shane Larkin,25.1,BOS,Combo,150,0,14.4%,44,105.9,63,21.5%,100,1.49,31,12.6%
Damian Lillard,27.3,POR,Point,162,54,25.9%,15,96.1,8,16.5%,8,0.64,15,16.4%
Shaun Livingston,32.1,GSW,Combo,347,25,16.4%,100,118.1,19,13.0%,50,0.80,38,12.5%
Kevon Looney,21.7,GSW,Big,360,0,9.2%,24,105.6,49,7.0%,83,0.76,80,9.4%
Kevin Love,29.1,CLE,Big,655,90,22.7%,12,103.6,66,8.8%,27,0.39,44,12.8%
Kyle Lowry,31.6,TOR,Point,359,23,24.1%,92,132.8,69,35.6%,85,1.48,23,16.0%
Thon Maker,20.7,MIL,Big,128,15,12.2%,37,113.8,22,5.3%,34,0.43,46,12.7%
Luc Mbah a Moute,31.1,HOU,Forward,130,33,12.5%,0,56.3,7,3.5%,7,0.28,0,16.2%
CJ McCollum,26.1,POR,Wing,155,83,24.7%,97,124.7,71,14.3%,54,0.58,49,9.9%
TJ McConnell,25.6,PHI,Point,152,0,13.5%,100,155.9,23,22.0%,92,1.62,69,12.8%
JaVale McGee,29.8,GSW,Big,145,54,15.0%,95,138.2,7,4.2%,7,0.28,63,10.8%
Khris Middleton,26.2,MIL,Forward,274,73,22.9%,100,146.6,73,13.8%,60,0.60,27,12.5%
CJ Miles,30.6,TOR,Wing,225,37,15.4%,94,124.7,26,5.6%,20,0.37,43,10.4%
Darius Miller,27.6,NOP,Forward,146,20,10.5%,60,119.4,47,8.5%,73,0.81,13,14.3%
Patty Mills,29.2,SAS,Combo,164,31,18.4%,94,117.5,31,14.3%,38,0.77,19,13.6%
Nikola Mirotic,26.7,NOP,Big,319,44,14.3%,61,122.7,29,6.2%,37,0.43,83,9.4%
Donovan Mitchell,21.1,UTA,Combo,409,94,32.8%,19,102.3,56,21.4%,19,0.65,69,10.6%
E'Twaun Moore,28.7,NOP,Wing,281,34,14.6%,46,110.9,34,6.8%,40,0.46,34,11.4%
Marcus Morris,28.2,BOS,Forward,555,67,20.2%,27,95.9,27,6.2%,13,0.31,87,7.3%
Markieff Morris,28.2,WAS,Big,180,39,13.8%,32,111.3,61,8.1%,66,0.59,66,10.6%
Larry Nance Jr.,24.8,CLE,Big,273,24,12.9%,66,123.5,71,9.8%,80,0.76,24,15.9%
Royce O'Neale,24.4,UTA,Wing,254,26,13.4%,77,118.8,49,9.6%,74,0.71,0,20.5%
Semi Ojeleye,22.9,BOS,Forward,206,0,6.2%,7,85.7,0,1.4%,0,0.23,93,7.3%
