Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Quincy Acy,24.1,NYK,Big,1179,90,-5.2,88,-4.6,68,-1.0%,59,+0.3%,77,-2.1,75,-1.2,68,-4.7
Jordan Adams,20.3,MEM,Wing,185,68,-1.7,48,+0.2,78,-2.0%,92,+2.0%,92,-3.8,63,-0.5,95,-21.3
Steven Adams,21.3,OKC,Big,1767,56,-0.4,39,+1.1,59,-0.2%,58,+0.3%,68,-1.5,45,+0.3,81,-10.1
Jeff Adrien,28.7,MIN,Big,189,82,-4.0,96,-7.1,83,-2.4%,16,-1.4%,55,-0.2,67,-0.7,44,+2.5
Arron Afflalo,29.0,DEN,Wing,1746,46,+0.7,27,+2.5,86,-2.8%,32,-0.7%,96,-4.9,81,-1.7,91,-16.6
Arron Afflalo,29.0,POR,Wing,747,36,+1.8,79,-3.2,60,-0.3%,57,+0.2%,20,+2.7,37,+0.8,23,+10.0
Alexis Ajinca,26.5,NOP,Big,873,44,+0.8,69,-1.9,12,+3.3%,40,-0.4%,6,+5.8,14,+2.4,9,+16.5
Furkan Aldemir,23.2,PHI,Big,488,4,+8.7,2,+10.2,82,-2.3%,36,-0.5%,58,-0.4,30,+1.2,81,-9.9
Cole Aldrich,26.0,NYK,Big,915,57,-0.4,66,-1.6,26,+1.8%,17,-1.4%,24,+2.1,36,+1.0,35,+5.2
LaMarcus Aldridge,29.3,POR,Big,2508,31,+2.3,44,+0.6,30,+1.6%,45,-0.1%,43,+0.6,57,-0.2,37,+4.8
Lavoy Allen,25.7,IND,Big,1025,61,-0.8,42,+0.8,92,-3.6%,77,+0.9%,96,-5.0,84,-1.9,95,-21.2
Tony Allen,32.8,MEM,Wing,1631,97,-8.6,98,-7.7,56,-0.1%,63,+0.5%,54,-0.1,50,+0.1,53,-0.8
Al-Farouq Aminu,24.1,DAL,Forward,1277,86,-4.6,82,-3.8,34,+1.3%,58,+0.3%,52,+0.0,49,+0.2,52,-0.3
Lou Amundson,31.9,NYK,Big,856,93,-6.6,92,-5.8,94,-3.7%,26,-0.9%,87,-3.1,60,-0.3,91,-16.2
Chris Andersen,36.3,MIA,Big,1127,84,-4.3,94,-6.2,13,+3.1%,24,-1.0%,48,+0.2,53,+0.0,48,+1.2
Alan Anderson,32.0,BKN,Wing,1713,95,-7.3,92,-5.9,53,+0.1%,56,+0.2%,92,-3.8,73,-1.1,90,-15.2
Kyle Anderson,21.1,SAS,Wing,316,12,+5.3,9,+5.9,41,+0.9%,45,-0.1%,46,+0.4,85,-2.1,5,+21.7
Ryan Anderson,26.5,NOP,Big,1653,5,+7.8,7,+6.7,12,+3.3%,26,-0.9%,36,+1.1,26,+1.4,61,-2.7
Giannis Antetokounmpo,19.9,MIL,Forward,2507,51,+0.2,31,+2.0,71,-1.2%,96,+2.4%,59,-0.5,81,-1.7,27,+7.8
Carmelo Anthony,30.4,NYK,Forward,1424,26,+2.9,27,+2.4,35,+1.2%,52,+0.1%,74,-1.9,39,+0.7,90,-15.4
Joel Anthony,32.2,DET,Big,367,88,-4.7,93,-6.1,48,+0.4%,51,+0.1%,34,+1.3,48,+0.2,31,+6.6
Pero Antic,32.3,ATL,Big,1015,69,-1.8,61,-1.1,90,-3.2%,69,+0.7%,84,-2.6,88,-2.5,46,+1.6
Trevor Ariza,29.3,HOU,Forward,2924,81,-3.8,58,-0.8,67,-0.9%,67,+0.6%,99,-7.3,93,-3.2,93,-18.3
Darrell Arthur,26.6,DEN,Forward,959,96,-7.9,98,-7.9,40,+0.9%,94,+2.1%,32,+1.4,72,-1.0,13,+14.5
Omer Asik,28.3,NOP,Big,1975,86,-4.6,68,-1.8,99,-6.7%,73,+0.8%,99,-7.1,98,-4.3,85,-11.9
D.J. Augustin,27.0,DET,Point,1261,35,+1.8,36,+1.5,58,-0.1%,36,-0.5%,89,-3.4,73,-1.1,88,-13.6
D.J. Augustin,27.0,OKC,Point,624,88,-4.9,100,-12.0,5,+5.0%,6,-2.2%,3,+8.4,5,+3.5,3,+25.7
