Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Steven Adams,31.3,HOU,Big,154,85,2.8%,29,0.8%,97,1.4%,97,16.3%,29,14.1%,0,0.0%,0,0.0%
Bam Adebayo,27.3,MIA,Big,233,38,1.3%,74,1.6%,85,2.0%,62,9.7%,76,19.9%,88,9.1%,21,11.1%
Santi Aldama,23.8,MEM,Big,177,3,0.3%,3,0.2%,76,2.4%,3,2.2%,47,15.5%,0,0.0%,53,22.2%
Nickeil Alexander-Walker,26.2,MIN,Wing,300,75,0.9%,21,0.9%,54,3.3%,25,2.2%,8,7.0%,0,0.0%,0,0.0%
Jarrett Allen,26.5,CLE,Big,261,53,1.6%,88,2.1%,79,2.3%,59,8.5%,82,20.9%,0,0.0%,88,35.7%
Giannis Antetokounmpo,29.9,MIL,Big,187,41,1.4%,53,1.2%,71,2.6%,74,10.9%,100,34.4%,0,0.0%,76,33.3%
OG Anunoby,27.3,NYK,Forward,703,87,1.6%,83,2.2%,70,2.7%,43,3.4%,17,7.7%,78,2.0%,61,21.6%
Paolo Banchero,22.0,ORL,Big,230,35,1.2%,21,0.8%,50,3.6%,35,5.2%,53,17.1%,0,0.0%,71,30.8%
Desmond Bane,26.4,MEM,Wing,211,50,0.7%,38,1.2%,92,2.3%,29,2.3%,71,13.7%,100,40.0%,50,10.0%
Nicolas Batum,35.9,LAC,Forward,170,100,3.8%,57,1.6%,48,3.5%,17,2.5%,74,14.1%,0,0.0%,57,20.0%
Malik Beasley,27.9,DET,Wing,163,17,0.3%,8,0.8%,88,2.4%,8,0.7%,25,8.0%,0,0.0%,46,9.1%
Anthony Black,20.8,ORL,Combo,107,95,1.5%,37,1.2%,32,3.7%,100,10.7%,95,15.8%,0,0.0%,0,0.0%
Bogdan Bogdanovic,32.2,LAC,Wing,114,0,0.0%,42,1.2%,0,7.8%,46,3.7%,75,13.9%,88,10.0%,0,0.0%
Christian Braun,23.5,DEN,Wing,544,79,0.9%,63,1.4%,46,3.5%,79,4.9%,54,10.1%,0,0.0%,92,30.3%
Mikal Bridges,28.2,NYK,Forward,705,74,1.2%,78,1.9%,87,2.2%,26,2.9%,26,8.6%,0,0.0%,26,10.3%
Dillon Brooks,28.8,HOU,Forward,205,22,0.5%,39,1.1%,0,5.1%,70,4.4%,4,6.4%,100,10.0%,0,0.0%
Jaylen Brown,28.0,BOS,Wing,402,29,0.4%,50,1.2%,58,3.2%,42,3.4%,92,15.5%,0,0.0%,63,15.0%
Jalen Brunson,28.2,NYK,Point,680,43,0.4%,0,0.5%,21,3.6%,43,1.8%,36,7.7%,0,0.0%,64,6.3%
Thomas Bryant,27.3,IND,Big,146,56,1.7%,56,1.2%,3,6.5%,32,5.1%,3,8.6%,0,0.0%,41,16.7%
