Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Quincy Acy,23.1,SAC,Big,744,25,-2.2%,24,-3.2%,76,+2.5%,4,-7.7%,19,-2.6%,80,+5.1%,40,-1.2%,57,+0.1%
Steven Adams,20.3,OKC,Big,1115,31,-1.6%,11,-5.3%,49,-0.2%,73,+1.8%,62,+0.8%,59,+1.0%,52,-0.2%,58,+0.1%
Jeff Adrien,27.7,CHA,Big,226,5,-5.2%,32,-2.1%,1,-13.6%,22,-2.7%,4,-6.6%,2,-16.0%,3,-7.1%,2,-9.2%
Jeff Adrien,27.7,MIL,Big,676,75,+1.2%,86,+3.6%,3,-10.5%,76,+2.0%,12,-3.5%,98,+14.9%,75,+2.0%,91,+4.4%
Arron Afflalo,28.0,ORL,Wing,2543,73,+1.0%,38,-1.4%,43,-0.8%,90,+3.9%,80,+2.0%,89,+6.8%,61,+0.5%,81,+2.4%
Alexis Ajinca,25.5,NOP,Big,934,42,-0.8%,49,-0.4%,52,+0.1%,71,+1.5%,62,+0.8%,9,-9.8%,73,+1.8%,44,-0.9%
Cole Aldrich,25.0,NYK,Big,210,16,-3.0%,4,-8.2%,31,-2.0%,84,+2.9%,60,+0.7%,59,+1.1%,36,-1.7%,46,-0.8%
LaMarcus Aldridge,28.3,POR,Big,2496,83,+2.1%,67,+1.4%,86,+3.7%,91,+4.1%,94,+4.0%,69,+2.5%,87,+3.8%,87,+3.5%
Lavoy Allen,24.7,PHI,Big,905,19,-2.7%,30,-2.3%,75,+2.3%,38,-1.0%,63,+0.9%,47,-0.7%,17,-3.6%,20,-3.0%
Ray Allen,38.3,MIA,Wing,1897,22,-2.4%,13,-4.9%,83,+3.2%,20,-3.0%,49,-0.2%,42,-1.5%,62,+0.6%,54,-0.1%
Tony Allen,31.8,MEM,Wing,1271,69,+0.8%,76,+2.0%,44,-0.8%,20,-2.9%,28,-1.8%,37,-2.6%,80,+2.7%,71,+1.2%
Al-Farouq Aminu,23.1,NOP,Forward,2032,29,-1.8%,59,+0.6%,41,-1.0%,22,-2.6%,31,-1.7%,61,+1.4%,21,-3.0%,31,-1.8%
