Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
LaMarcus Aldridge,25.3,POR,Big,258,0,79.2%,9,8.0%,84,3.0%,0,0.0%
Ray Allen,35.3,BOS,Wing,360,0,96.0%,38,6.2%,71,1.6%,94,42.9%
Tony Allen,28.8,MEM,Combo,348,0,65.9%,100,14.5%,33,1.4%,44,5.9%
Ryan Anderson,22.5,ORL,Big,145,0,100.0%,7,6.3%,44,1.3%,0,0.0%
Carmelo Anthony,26.4,NYK,Wing,155,88,85.3%,88,13.7%,97,3.7%,85,38.5%
Joel Anthony,28.2,MIA,Big,572,39,71.0%,86,22.6%,35,1.1%,28,7.1%
Trevor Ariza,25.3,NOP,Wing,240,0,72.7%,68,11.0%,35,0.8%,88,40.0%
Darrell Arthur,22.6,MEM,Big,197,0,76.5%,23,10.0%,56,1.6%,77,22.2%
Omer Asik,24.3,CHI,Big,136,0,37.5%,91,28.6%,95,3.6%,98,75.0%
J.J. Barea,26.3,DAL,Combo,384,50,79.4%,22,6.8%,89,3.2%,78,25.0%
Matt Barnes,30.6,LAL,Wing,125,0,57.1%,56,8.3%,62,1.5%,82,33.3%
Brandon Bass,25.5,ORL,Big,138,0,92.3%,47,14.0%,30,1.1%,49,16.7%
Shane Battier,32.1,MEM,Forward,337,0,66.7%,0,3.1%,25,1.3%,100,50.0%
Nicolas Batum,21.9,POR,Forward,150,0,75.0%,8,4.3%,42,1.4%,0,0.0%
Marco Belinelli,24.6,NOP,Wing,171,0,100.0%,15,3.1%,15,0.3%,0,0.0%
Mike Bibby,32.5,MIA,Point,413,0,50.0%,0,0.0%,21,1.2%,89,0.0%
Steve Blake,30.7,LAL,Point,144,0,0.0%,0,0.0%,0,0.0%,89,0.0%
Keith Bogans,30.5,CHI,Wing,307,0,25.0%,6,1.4%,24,0.6%,0,0.0%
Matt Bonner,30.6,SAS,Big,122,0,80.0%,30,11.1%,37,1.1%,0,0.0%
Carlos Boozer,28.9,CHI,Big,506,61,80.0%,49,14.0%,42,1.3%,74,21.4%
Chris Bosh,26.6,MIA,Big,831,72,81.4%,81,19.7%,47,1.3%,42,14.5%
Elton Brand,31.6,PHI,Big,183,0,76.9%,19,9.0%,26,1.0%,49,16.7%
Ronnie Brewer,25.6,CHI,Forward,247,0,76.5%,25,8.2%,50,1.6%,83,25.0%
Shannon Brown,24.9,LAL,Wing,158,0,66.7%,50,8.2%,50,1.2%,50,20.0%
Kobe Bryant,32.2,LAL,Wing,353,38,81.7%,74,11.7%,94,3.3%,59,20.8%
Andrew Bynum,23.0,LAL,Big,318,89,83.3%,63,15.8%,74,2.6%,72,21.1%
Marcus Camby,36.6,POR,Big,166,0,0.0%,2,4.3%,0,0.0%,0,0.0%
Mario Chalmers,24.5,MIA,Point,502,14,71.9%,42,8.0%,53,2.0%,53,20.0%
Tyson Chandler,28.1,DAL,Big,678,17,67.9%,93,29.0%,79,2.9%,37,13.2%
Wilson Chandler,23.5,DEN,Wing,114,0,77.8%,85,12.5%,32,0.8%,68,25.0%
Jason Collins,31.9,ATL,Big,157,0,37.5%,74,17.6%,67,2.3%,0,0.0%
Darren Collison,23.2,IND,Point,145,0,63.6%,26,6.1%,26,1.2%,0,0.0%
Nick Collison,30.0,OKC,Big,411,0,78.3%,42,13.1%,19,0.9%,63,18.2%
Mike Conley,23.1,MEM,Point,505,86,83.0%,47,10.4%,42,1.5%,16,4.8%
Daequan Cook,23.5,OKC,Wing,187,0,100.0%,12,2.0%,21,0.5%,0,0.0%
Jamal Crawford,30.6,ATL,Combo,356,75,82.4%,56,11.0%,56,1.9%,89,27.8%
Glen Davis,24.8,BOS,Big,187,0,72.7%,40,12.5%,12,0.8%,49,16.7%
Luol Deng,25.5,CHI,Wing,684,63,83.9%,71,11.2%,74,1.8%,62,21.4%
Toney Douglas,24.6,NYK,Combo,108,0,100.0%,0,4.9%,11,1.2%,0,0.0%
