Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Quincy Acy,23.1,SAC,Big,744,33,66.7%,68,15.0%,17,0.9%,40,20.0%
Steven Adams,20.3,OKC,Big,1115,16,56.8%,94,22.6%,85,2.4%,12,10.4%
Jeff Adrien,27.7,CHA,Big,226,0,54.5%,83,18.4%,75,2.1%,96,42.9%
Jeff Adrien,27.7,MIL,Big,676,40,68.5%,82,18.4%,37,1.3%,48,20.8%
Arron Afflalo,28.0,ORL,Wing,2543,63,81.4%,78,12.1%,75,1.6%,58,22.4%
Alexis Ajinca,25.5,NOP,Big,934,95,83.9%,40,10.8%,30,1.1%,65,24.1%
Cole Aldrich,25.0,NYK,Big,210,0,90.5%,77,16.7%,27,1.1%,17,12.5%
LaMarcus Aldridge,28.3,POR,Big,2496,93,82.2%,37,10.3%,85,2.4%,69,24.7%
Lavoy Allen,24.7,PHI,Big,905,39,68.4%,6,5.6%,30,1.2%,19,13.3%
Ray Allen,38.3,MIA,Wing,1897,97,91.7%,19,4.7%,70,1.5%,75,28.0%
Tony Allen,31.8,MEM,Wing,1271,5,63.0%,86,13.4%,32,0.8%,64,25.0%
Al-Farouq Aminu,23.1,NOP,Forward,2032,6,65.9%,68,12.8%,32,0.8%,41,18.6%
Lou Amundson,30.9,NOP,Big,165,0,27.3%,68,15.2%,95,3.1%,0,0.0%
Chris Andersen,35.3,MIA,Big,1368,49,71.2%,89,20.1%,91,2.8%,35,19.0%
Alan Anderson,31.0,BKN,Wing,1622,44,77.4%,61,9.9%,74,1.6%,52,21.7%
James Anderson,24.6,PHI,Wing,2289,20,71.8%,27,5.7%,12,0.6%,50,21.4%
Ryan Anderson,25.5,NOP,Big,778,100,94.8%,6,5.8%,47,1.4%,12,9.5%
Giannis Antetokounmpo,18.9,MIL,Forward,1796,15,68.0%,93,17.0%,80,1.7%,14,9.1%
Carmelo Anthony,29.4,NYK,Forward,2971,97,84.9%,59,11.4%,100,3.5%,57,20.2%
Joel Anthony,31.2,BOS,Big,128,0,25.0%,19,8.0%,0,0.0%,0,0.0%
Pero Antic,31.3,ATL,Big,898,65,75.4%,17,7.8%,94,2.9%,17,12.5%
Trevor Ariza,28.3,WAS,Wing,2715,41,77.2%,51,8.6%,49,1.1%,33,17.9%
Darrell Arthur,25.6,DEN,Big,1143,96,85.2%,5,5.6%,11,0.8%,9,8.3%
Omer Asik,27.3,HOU,Big,929,24,61.0%,95,25.0%,46,1.4%,16,12.1%
