Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Bobby Portis,28.7,MIL,Big,186,6,0.3%,32,0.7%,82,2.5%,65,9.7%,88,24.3%,0,0.0%,97,71.4%
Kristaps Porzingis,28.2,BOS,Big,164,91,3.7%,76,1.4%,32,4.0%,12,2.6%,26,15.8%,0,0.0%,62,28.6%
Norman Powell,30.4,LAC,Wing,177,0,0.0%,25,0.8%,39,3.8%,25,1.8%,32,9.0%,0,0.0%,0,0.0%
Taurean Prince,29.6,LAL,Wing,133,68,1.1%,21,0.7%,36,3.8%,0,0.8%,43,9.9%,0,0.0%,86,33.3%
Payton Pritchard,25.8,BOS,Point,322,0,0.0%,0,0.6%,43,2.9%,93,4.8%,14,7.1%,0,0.0%,0,0.0%
Austin Reaves,25.4,LAL,Combo,210,56,0.7%,61,1.6%,94,2.0%,50,2.6%,33,9.0%,0,0.0%,0,0.0%
Naz Reid,24.2,MIN,Big,359,62,1.9%,47,1.0%,38,3.9%,15,2.8%,24,15.6%,0,0.0%,24,15.8%
Mitchell Robinson,25.6,NYK,Big,114,82,3.1%,97,2.2%,6,5.5%,100,19.0%,12,14.4%,0,0.0%,32,20.0%
D'Angelo Russell,27.7,LAL,Point,221,57,0.5%,29,1.1%,86,1.9%,14,0.5%,0,5.6%,0,0.0%,0,0.0%
Ben Sheppard,22.3,IND,Wing,323,14,0.2%,32,1.0%,29,4.1%,68,3.5%,36,9.5%,0,0.0%,93,36.8%
Pascal Siakam,29.6,IND,Forward,602,28,0.6%,40,1.0%,48,3.5%,96,8.1%,72,14.2%,0,0.0%,80,27.3%
Max Strus,27.6,CLE,Wing,433,0,0.0%,36,1.0%,25,4.2%,29,2.0%,82,13.3%,0,0.0%,46,6.7%
Jalen Suggs,22.4,ORL,Combo,232,61,0.7%,78,1.7%,56,3.0%,89,4.6%,72,11.0%,0,0.0%,61,10.0%
Jayson Tatum,25.7,BOS,Forward,766,56,0.9%,56,1.2%,64,2.8%,24,2.4%,96,22.1%,0,0.0%,72,25.0%
Obi Toppin,25.7,IND,Big,336,26,0.9%,35,0.8%,79,2.6%,18,3.0%,65,18.8%,0,0.0%,50,22.2%
Karl-Anthony Towns,28.0,MIN,Big,520,9,0.3%,53,1.0%,24,4.1%,44,6.9%,76,21.8%,0,0.0%,88,42.1%
Myles Turner,27.6,IND,Big,550,74,2.3%,26,0.7%,71,2.9%,32,5.1%,29,16.2%,91,7.1%,18,13.6%
Jonas Valanciunas,31.5,NOP,Big,136,12,0.7%,24,0.6%,56,3.2%,97,18.1%,97,28.9%,0,0.0%,100,0.0%
Franz Wagner,22.2,ORL,Wing,258,100,1.9%,29,0.8%,46,3.2%,75,3.7%,89,15.1%,0,0.0%,54,9.1%
Cason Wallace,20.0,OKC,Combo,192,50,0.6%,94,2.0%,33,3.4%,83,3.9%,0,3.2%,0,0.0%,0,0.0%
PJ Washington,25.2,DAL,Forward,784,72,1.1%,36,0.9%,44,3.7%,60,4.3%,64,14.0%,88,3.9%,44,18.5%
Russell Westbrook,35.0,LAC,Point,114,93,1.4%,93,2.6%,7,4.1%,100,4.8%,86,14.0%,0,0.0%,93,44.4%
Derrick White,29.3,BOS,Combo,673,100,1.8%,39,1.2%,61,2.9%,56,2.7%,44,9.5%,94,10.5%,72,12.5%
Aaron Wiggins,24.8,OKC,Forward,145,40,0.7%,80,1.9%,92,1.9%,88,6.9%,48,10.9%,0,0.0%,36,14.3%
Jalen Williams,22.5,OKC,Wing,375,43,0.6%,96,2.1%,79,2.6%,71,3.7%,68,12.7%,0,0.0%,82,30.0%
Jaylin Williams,21.3,OKC,Big,115,41,1.3%,85,1.6%,29,4.0%,21,3.3%,41,17.1%,0,0.0%,79,36.4%
Delon Wright,31.5,MIA,Combo,143,83,1.1%,100,2.4%,89,2.0%,94,4.6%,39,9.3%,0,0.0%,0,0.0%
Ivica Zubac,26.6,LAC,Big,191,15,0.8%,62,1.2%,21,4.3%,68,10.2%,68,20.2%,0,0.0%,26,16.7%
