Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Shareef Abdur-Rahim,26.9,ATL,Forward,1955,74,48.8%,93,49.3%,9,21.7%,95,88.0%,89,54%,59,54%,78,54%,96,80%
Shareef Abdur-Rahim,26.9,POR,Forward,708,30,45.4%,35,45.0%,0,36.4%,78,82.6%,87,54%,87,48%,67,58%,17,100%
Malik Allen,25.3,MIA,Big,576,19,42.2%,19,42.2%,0,0.0%,61,72.4%,45,68%,38,64%,61,69%,0,0%
Ray Allen,28.3,OKC,Combo,2147,82,51.4%,82,46.9%,85,39.6%,100,90.3%,58,51%,82,31%,49,42%,64,80%
Rafer Alston,27.3,MIA,Point,2546,77,48.6%,21,38.3%,69,37.6%,37,77.7%,29,58%,58,29%,98,12%,44,86%
Chris Andersen,25.3,DEN,Big,1016,29,44.3%,30,44.3%,0,0.0%,19,58.9%,48,67%,58,58%,11,92%,0,0%
Derek Anderson,29.3,POR,Wing,1807,36,44.8%,41,43.0%,22,31.2%,77,82.4%,59,65%,58,54%,66,55%,82,84%
Kenny Anderson,33.1,IND,Point,862,40,44.2%,65,44.3%,0,25.0%,4,67.5%,23,58%,23,47%,3,67%,8,100%
Shandon Anderson,29.8,NYK,Wing,1916,45,45.5%,70,46.4%,12,28.2%,37,76.1%,50,68%,25,66%,60,57%,36,97%
Carmelo Anthony,19.4,DEN,Wing,2984,42,45.2%,52,44.4%,31,32.9%,48,77.7%,80,56%,43,58%,88,42%,91,77%
Robert Archibald,23.6,TOR,Big,232,0,26.9%,0,26.9%,0,0.0%,4,48.1%,98,43%,94,40%,91,50%,0,0%
Gilbert Arenas,21.8,WAS,Combo,2047,56,46.1%,31,40.2%,73,37.8%,35,74.8%,84,43%,91,24%,80,28%,69,76%
Brandon Armstrong,23.4,BKN,Combo,329,36,44.0%,27,39.5%,63,35.9%,0,50.0%,13,75%,0,90%,11,75%,89,64%
Darrell Armstrong,35.4,NOP,Point,2212,84,49.4%,98,50.7%,31,32.3%,83,85.0%,18,62%,15,51%,37,49%,68,77%
Carlos Arroyo,24.3,UTA,Point,1999,61,47.0%,82,46.5%,39,33.3%,52,80.4%,73,39%,97,11%,42,45%,73,73%
Chucky Atkins,29.2,BOS,Point,793,92,50.2%,85,47.1%,55,35.8%,38,77.8%,56,44%,52,31%,94,19%,65,77%
Chucky Atkins,29.2,DET,Point,717,65,47.5%,55,43.3%,47,34.2%,17,72.1%,34,56%,63,27%,31,50%,74,73%
Stacey Augmon,35.2,NOP,Wing,1409,18,41.8%,33,41.8%,0,20.0%,57,78.8%,25,74%,9,75%,27,72%,3,100%
Vin Baker,31.9,BOS,Big,1003,80,50.5%,80,50.6%,0,0.0%,63,73.2%,61,64%,60,58%,55,71%,0,0%
Vin Baker,31.9,NYK,Big,301,9,39.4%,9,39.4%,0,0.0%,52,70.7%,85,57%,91,45%,51,73%,0,0%
Marcus Banks,21.9,BOS,Point,1319,29,41.7%,35,41.4%,18,28.6%,27,75.4%,82,33%,79,20%,71,32%,50,82%
Leandro Barbosa,20.9,PHX,Combo,1485,93,53.8%,91,49.0%,90,39.7%,41,77.0%,36,57%,58,40%,73,33%,44,86%
Matt Barnes,23.6,LAC,Forward,699,43,47.0%,91,49.2%,0,16.7%,27,69.5%,85,56%,96,42%,17,76%,17,100%
Brent Barry,31.8,OKC,Wing,1798,100,64.1%,99,57.5%,98,45.6%,78,82.7%,53,67%,85,39%,72,53%,77,87%
Jon Barry,34.3,DEN,Wing,1042,64,48.4%,32,41.4%,69,37.8%,81,84.1%,49,68%,55,56%,35,69%,95,73%
Tony Battie,27.7,BOS,Big,491,60,48.3%,52,47.4%,0,100.0%,48,69.7%,25,73%,42,63%,27,81%,71,100%
Tony Battie,27.7,CLE,Big,951,23,43.2%,25,43.3%,0,25.0%,79,76.8%,63,64%,95,39%,43,76%,71,100%
Shane Battier,25.1,MEM,Wing,1919,85,51.5%,92,50.1%,52,36.1%,21,72.8%,31,72%,79,42%,17,79%,31,98%
Lonny Baxter,24.8,CHI,Big,124,91,52.9%,75,50.0%,0,100.0%,0,62.5%,50,67%,46,62%,45,75%,71,100%
Lonny Baxter,24.8,TOR,Big,477,47,47.2%,48,47.2%,0,0.0%,10,53.7%,53,66%,51,60%,26,81%,0,0%
Lonny Baxter,24.8,WAS,Big,114,75,50.0%,87,52.0%,0,0.0%,0,62.5%,42,69%,63,57%,23,83%,0,0%
Raja Bell,27.1,UTA,Wing,1987,37,44.8%,34,42.0%,62,37.0%,52,78.4%,23,74%,39,59%,24,74%,57,92%
