Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Shareef Abdur-Rahim,27.9,POR,Forward,1856,80,51.6%,83,44%,93,27%,39,24%,67,50%,22,2%,28,4%,22,6%
Cory Alexander,31.4,CHA,Point,169,28,43.8%,44,23%,13,8%,37,30%,20,38%,30,3%,89,38%,80,40%
Malik Allen,26.3,CHA,Big,238,63,50.0%,2,12%,27,18%,99,70%,99,88%,0,0%,0,0%,0,0%
Malik Allen,26.3,MIA,Big,243,45,46.7%,11,23%,37,20%,97,57%,97,77%,0,0%,0,0%,0,0%
Ray Allen,29.3,OKC,Wing,3057,70,50.2%,34,20%,68,15%,32,27%,42,43%,38,7%,84,29%,70,37%
Tony Allen,22.8,BOS,Wing,1207,49,48.4%,98,61%,54,13%,11,19%,17,32%,25,5%,8,2%,11,7%
Rafer Alston,28.3,TOR,Point,2714,63,48.7%,78,31%,41,12%,9,18%,9,29%,41,4%,87,36%,78,40%
Chris Andersen,26.3,NOP,Big,1388,89,54.0%,78,60%,15,13%,55,27%,28,40%,0,0%,59,0%,57,0%
Derek Anderson,30.3,POR,Wing,1234,32,46.4%,21,17%,40,11%,61,34%,45,45%,58,11%,81,28%,75,38%
Kenny Anderson,34.1,ATL,Point,715,33,44.2%,61,26%,80,18%,85,49%,93,67%,46,4%,4,3%,11,7%
Shandon Anderson,30.8,MIA,Forward,1116,46,47.4%,76,43%,65,20%,48,25%,50,45%,67,10%,22,3%,37,12%
Carmelo Anthony,20.4,DEN,Forward,2597,30,45.0%,85,44%,11,8%,76,36%,43,43%,20,2%,52,11%,35,12%
Rafael Araujo,24.2,TOR,Big,706,28,44.7%,59,48%,64,27%,48,23%,48,50%,84,1%,78,1%,79,2%
Gilbert Arenas,22.8,WAS,Wing,3266,69,50.2%,50,26%,61,13%,24,24%,26,37%,23,5%,88,31%,68,37%
Trevor Ariza,19.3,NYK,Wing,1333,21,45.0%,95,50%,45,12%,63,35%,54,47%,13,2%,3,0%,7,3%
Darrell Armstrong,36.4,DAL,Point,508,2,34.3%,59,25%,43,12%,39,30%,35,42%,83,11%,56,22%,65,32%
Darrell Armstrong,36.4,NOP,Point,415,15,39.9%,17,16%,2,3%,61,38%,31,41%,69,8%,85,35%,85,43%
Carlos Arroyo,25.3,DET,Point,653,6,37.9%,72,30%,19,8%,94,57%,91,65%,15,2%,7,4%,7,5%
Carlos Arroyo,25.3,UTA,Point,738,19,41.9%,46,23%,44,12%,96,57%,94,70%,7,1%,13,6%,13,7%
Chucky Atkins,30.2,LAL,Point,2904,91,53.2%,28,19%,11,6%,20,25%,15,31%,85,12%,91,38%,89,49%
Stacey Augmon,36.3,ORL,Wing,604,4,39.5%,79,37%,100,34%,43,29%,89,63%,0,0%,0,0%,0,0%
Vin Baker,32.9,NYK,Big,156,5,36.4%,48,42%,66,27%,64,30%,64,58%,0,0%,0,0%,0,0%
Marcus Banks,23.0,BOS,Point,1062,26,43.5%,100,45%,22,8%,30,27%,19,36%,44,4%,35,15%,33,19%
Leandro Barbosa,21.9,PHX,Combo,981,100,55.7%,86,37%,49,11%,5,14%,5,24%,68,9%,86,30%,77,38%
Matt Barnes,24.6,SAC,Wing,638,24,45.2%,85,40%,90,22%,36,28%,60,50%,23,5%,23,6%,15,10%
Andre Barrett,22.7,HOU,Point,287,11,39.2%,11,15%,57,13%,6,17%,11,30%,100,33%,57,22%,96,55%
Andre Barrett,22.7,ORL,Point,153,81,51.0%,20,18%,17,8%,81,46%,57,54%,89,14%,30,14%,50,28%
Brent Barry,32.8,SAS,Wing,1652,89,53.6%,29,19%,28,9%,5,11%,4,20%,86,16%,98,45%,98,61%
Jon Barry,35.3,ATL,Combo,274,79,48.6%,33,21%,25,8%,46,32%,32,40%,77,12%,81,27%,79,40%
Jon Barry,35.3,HOU,Wing,1190,95,56.2%,11,12%,30,9%,51,32%,36,41%,80,15%,90,32%,88,47%
Tony Battie,28.7,ORL,Big,1900,40,46.2%,20,30%,75,33%,75,36%,87,69%,82,1%,66,1%,74,1%
Shane Battier,26.1,MEM,Forward,2493,70,50.3%,67,39%,61,19%,9,13%,20,32%,93,16%,57,13%,76,29%
Raja Bell,28.1,UTA,Wing,1783,63,49.9%,14,14%,32,10%,97,57%,94,67%,54,10%,31,10%,35,19%
Travis Best,32.3,BKN,Combo,1389,54,46.4%,49,25%,37,10%,81,48%,75,57%,37,4%,32,14%,26,18%
Mike Bibby,26.5,SAC,Point,3083,69,49.5%,24,19%,28,9%,72,43%,56,53%,56,5%,65,23%,54,28%
Andris Biedrins,18.6,GSW,Big,357,97,58.9%,97,78%,41,21%,2,1%,6,22%,0,0%,0,0%,0,0%
Chauncey Billups,28.1,DET,Combo,2860,96,53.5%,39,21%,40,10%,28,27%,21,37%,56,7%,93,34%,82,42%
Steve Blake,24.7,WAS,Point,607,30,43.8%,4,10%,20,8%,43,32%,28,40%,98,20%,74,30%,93,50%
Mark Blount,28.9,BOS,Big,2129,81,52.8%,40,38%,55,24%,78,39%,72,62%,69,0%,0,0%,51,0%
Keith Bogans,24.5,CHA,Wing,1762,8,42.4%,71,31%,75,18%,34,28%,50,45%,52,10%,47,14%,47,24%
Matt Bonner,24.6,TOR,Big,1506,96,58.0%,9,20%,30,18%,82,41%,66,59%,93,5%,91,15%,91,20%
Calvin Booth,28.5,DAL,Big,224,17,42.2%,23,31%,32,19%,91,48%,84,67%,0,0%,80,2%,78,2%
Calvin Booth,28.5,MIL,Big,153,100,68.8%,39,38%,86,38%,52,25%,74,63%,0,0%,0,0%,0,0%
Carlos Boozer,22.9,UTA,Big,1776,76,52.1%,50,44%,60,25%,66,31%,60,56%,0,0%,53,0%,48,0%
Curtis Borchardt,24.1,UTA,Big,819,18,42.4%,80,62%,51,23%,35,15%,26,38%,0,0%,0,0%,0,0%
Chris Bosh,20.6,TOR,Big,2994,49,47.3%,36,37%,63,26%,75,36%,74,63%,71,0%,69,1%,68,1%
Bruce Bowen,33.4,SAS,Wing,2602,76,50.6%,30,19%,57,13%,31,26%,29,39%,100,38%,16,4%,81,42%
Ryan Bowen,29.0,HOU,Forward,531,15,42.1%,41,33%,9,7%,98,55%,91,62%,46,5%,0,0%,20,5%
Earl Boykins,28.4,DEN,Point,2087,35,44.4%,19,18%,74,17%,80,46%,83,63%,33,3%,44,17%,35,19%
Shawn Bradley,32.6,DAL,Big,848,50,47.4%,54,46%,49,23%,68,31%,56,54%,0,0%,0,0%,0,0%
Elton Brand,25.6,LAC,Big,2999,66,50.4%,30,35%,84,37%,56,28%,79,65%,0,0%,52,0%,48,0%
Jamison Brewer,24.0,NYK,Combo,156,2,35.9%,77,34%,58,13%,4,13%,7,25%,95,22%,46,19%,81,41%
Primoz Brezec,25.1,CHA,Big,2264,71,51.1%,55,46%,48,22%,68,32%,55,54%,0,0%,0,0%,0,0%
Damone Brown,25.3,WAS,Forward,135,9,41.1%,48,34%,54,18%,67,32%,65,50%,0,0%,70,16%,48,16%
Devin Brown,25.8,SAS,Wing,1122,41,47.2%,73,31%,56,13%,40,28%,37,41%,77,15%,42,13%,53,28%
Kwame Brown,22.6,WAS,Big,896,42,46.2%,41,38%,97,49%,30,14%,73,62%,0,0%,0,0%,0,0%
P.J. Brown,35.0,NOP,Big,2820,25,44.6%,28,33%,44,21%,88,46%,83,67%,0,0%,0,0%,0,0%
Tierre Brown,25.4,LAL,Combo,1015,19,40.3%,81,35%,91,23%,18,23%,46,46%,30,4%,37,16%,30,19%
Rick Brunson,32.4,LAC,Point,1906,22,43.0%,7,12%,6,5%,93,55%,80,60%,91,14%,31,14%,52,28%
Kobe Bryant,26.2,LAL,Wing,2679,53,48.8%,60,28%,71,17%,30,26%,43,43%,19,4%,70,25%,56,29%
Greg Buckner,28.1,DEN,Wing,1490,98,60.0%,92,45%,14,7%,3,10%,0,17%,83,16%,66,22%,73,38%
Rodney Buford,27.0,BKN,Wing,1251,7,42.2%,23,17%,34,10%,93,52%,87,62%,59,11%,35,10%,41,21%
Antonio Burks,24.7,MEM,Point,191,87,51.9%,56,25%,56,13%,78,45%,74,58%,17,2%,39,15%,28,17%
