Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Quincy Acy,22.1,TOR,Big,291,99,-9.5,94,-2.0,64,-0.5%,98,-21.1,98,-1.6,97,-12.5%,99,-38.9,85,-1.0,3,+5.8%,93,-19.0
Jeff Adrien,26.7,CHA,Big,660,78,-3.0,42,+0.3,3,+2.4%,71,-5.5,15,+0.7,12,+7.2%,42,+2.8,67,-0.4,13,+3.5%,79,-9.8
Arron Afflalo,27.0,ORL,Wing,2288,33,+1.9,28,+0.8,63,-0.4%,21,+8.0,42,+0.1,28,+3.1%,44,+1.9,31,+0.5,53,-0.2%,23,+9.3
Cole Aldrich,24.0,HOU,Big,179,9,+5.9,26,+0.9,1,+3.5%,36,+3.5,50,+0.0,67,-2.3%,51,-0.1,20,+0.9,1,+7.1%,36,+4.7
Cole Aldrich,24.0,SAC,Big,149,99,-9.5,8,+1.9,10,+1.7%,21,+8.0,3,+1.7,33,+2.2%,1,+44.0,33,+0.4,0,+9.1%,64,-4.0
LaMarcus Aldridge,27.3,POR,Big,2782,91,-5.5,53,-0.1,93,-2.0%,27,+5.7,26,+0.4,64,-2.0%,14,+15.2,80,-0.9,89,-3.8%,70,-6.5
Lavoy Allen,23.7,PHI,Big,1623,82,-3.7,27,+0.8,89,-1.6%,11,+11.8,47,+0.1,66,-2.3%,45,+1.8,23,+0.7,90,-3.9%,9,+17.2
Ray Allen,37.3,MIA,Wing,1989,3,+8.0,9,+1.8,75,-0.9%,9,+14.2,35,+0.2,75,-3.6%,21,+11.5,8,+1.6,80,-2.6%,10,+16.5
Tony Allen,30.8,MEM,Wing,2102,93,-6.2,68,-0.6,29,+0.8%,79,-7.4,31,+0.3,41,+1.3%,46,+1.2,79,-0.8,42,+0.6%,84,-12.3
Al-Farouq Aminu,22.1,NOH,Wing,2049,93,-5.9,40,+0.4,69,-0.6%,28,+5.6,51,-0.0,55,-0.6%,70,-7.1,37,+0.4,36,+1.0%,15,+13.0
Lou Amundson,29.9,MIN,Big,121,27,+2.5,96,-2.3,32,+0.6%,94,-13.9,53,-0.0,88,-6.4%,19,+11.8,99,-2.2,74,-1.9%,95,-21.0
Lou Amundson,29.9,NOH,Big,205,87,-4.3,91,-1.7,24,+1.0%,73,-6.0,78,-0.5,80,-4.5%,67,-6.3,86,-1.1,14,+3.3%,64,-4.4
Chris Andersen,34.3,MIA,Big,604,43,+0.8,6,+2.2,15,+1.4%,12,+11.2,6,+1.3,9,+8.5%,13,+16.4,17,+1.0,51,-0.0%,31,+5.9
Alan Anderson,30.0,TOR,Wing,1406,10,+5.6,86,-1.4,98,-3.0%,82,-8.5,91,-0.9,96,-10.5%,66,-6.0,65,-0.4,93,-4.6%,74,-7.6
James Anderson,23.6,HOU,Wing,229,24,+2.9,28,+0.8,58,-0.3%,51,+0.2,23,+0.5,18,+5.3%,19,+12.3,38,+0.3,15,+3.2%,62,-3.3
