Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Precious Achiuwa,22.1,TOR,Big,166,59,1.7%,3,0.3%,73,3.4%,22,5.4%,22,14.4%,0,0.0%,84,50.0%
Steven Adams,28.3,MEM,Big,109,22,0.9%,14,0.4%,41,4.5%,89,12.3%,81,24.0%,0,0.0%,0,0.0%
Bam Adebayo,24.3,MIA,Big,612,35,1.2%,78,1.3%,70,3.5%,30,6.3%,51,18.7%,0,0.0%,22,12.5%
Grayson Allen,26.1,MIL,Wing,305,69,0.7%,38,1.1%,58,3.1%,31,1.5%,58,9.6%,0,0.0%,42,5.9%
Jose Alvarado,23.6,NOP,Point,150,23,0.4%,69,2.0%,0,5.8%,85,2.9%,0,6.2%,92,7.7%,0,0.0%
Kyle Anderson,28.1,MEM,Forward,211,92,1.9%,96,2.2%,44,3.9%,64,3.8%,96,19.3%,100,11.8%,44,14.3%
Giannis Antetokounmpo,26.9,MIL,Big,447,76,1.8%,43,0.8%,97,2.0%,24,5.6%,86,28.1%,78,3.4%,81,47.1%
OG Anunoby,24.3,TOR,Wing,216,12,0.3%,62,1.3%,35,3.6%,92,3.5%,35,8.5%,0,0.0%,100,40.0%
Deandre Ayton,23.3,PHX,Big,390,49,1.3%,27,0.6%,76,3.2%,68,10.1%,54,19.2%,0,0.0%,95,56.5%
Desmond Bane,23.4,MEM,Wing,426,81,1.0%,42,1.1%,96,1.9%,15,1.3%,31,8.2%,0,0.0%,85,22.2%
Scottie Barnes,20.3,TOR,Forward,132,32,0.4%,60,1.4%,32,4.2%,80,5.5%,100,24.0%,0,0.0%,0,0.0%
Will Barton,30.8,DEN,Wing,172,19,0.3%,27,1.0%,69,2.7%,77,3.1%,96,16.3%,0,0.0%,0,0.0%
Malik Beasley,24.9,MIN,Wing,144,62,0.7%,4,0.3%,77,2.6%,19,1.4%,92,15.4%,0,0.0%,50,8.3%
Davis Bertans,29.0,DAL,Forward,179,44,0.6%,68,1.6%,4,5.7%,20,1.8%,64,13.5%,0,0.0%,92,33.3%
Patrick Beverley,33.3,MIN,Combo,226,100,2.0%,52,1.6%,5,5.6%,71,3.3%,57,9.8%,90,5.9%,0,0.0%
Nemanja Bjelica,33.5,GSW,Big,125,19,0.9%,81,1.5%,24,5.5%,19,4.5%,43,17.4%,0,0.0%,0,0.0%
Bogdan Bogdanovic,29.2,ATL,Wing,160,23,0.3%,92,1.7%,12,5.4%,100,4.2%,73,12.5%,0,0.0%,0,0.0%
Bojan Bogdanovic,32.5,UTA,Forward,214,0,0.0%,4,0.4%,20,4.4%,12,1.5%,28,11.6%,0,0.0%,0,0.0%
Devin Booker,25.0,PHX,Wing,365,50,0.6%,12,0.6%,81,2.6%,81,3.2%,62,10.5%,0,0.0%,38,5.6%
Chris Boucher,28.8,TOR,Big,129,92,3.3%,8,0.3%,54,4.2%,62,9.2%,76,23.7%,0,0.0%,0,0.0%
Mikal Bridges,25.2,PHX,Wing,491,96,1.4%,58,1.3%,65,2.9%,73,2.9%,65,10.6%,0,0.0%,0,0.0%
Dillon Brooks,25.8,MEM,Wing,335,35,0.5%,65,1.3%,27,4.1%,58,2.2%,4,6.5%,0,0.0%,0,0.0%
Bruce Brown,25.2,BKN,Forward,179,48,0.9%,88,2.1%,16,4.6%,88,6.6%,24,11.4%,0,0.0%,0,0.0%
Jaylen Brown,25.0,BOS,Wing,919,46,0.6%,73,1.4%,62,3.0%,96,3.9%,81,13.2%,0,0.0%,92,28.2%
