Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Rafer Alston,30.3,HOU,Point,308,83,0.5%,61,2.0%,33,3.6%,61,1.8%,94,14.0%,94,6.7%,94,15.4%
Carmelo Anthony,22.4,DEN,Wing,209,0,0.0%,56,1.1%,96,1.1%,100,9.4%,59,12.5%,0,0.0%,0,0.0%
Leandro Barbosa,23.9,PHX,Combo,344,27,0.3%,55,1.6%,73,3.3%,73,2.3%,73,9.4%,0,0.0%,0,0.0%
Andrea Bargnani,21.0,TOR,Big,174,27,1.0%,63,1.4%,71,3.7%,0,2.1%,32,14.5%,0,0.0%,12,10.0%
Matt Barnes,26.6,GSW,Forward,328,46,0.7%,77,2.0%,8,5.5%,100,8.7%,15,9.8%,0,0.0%,85,31.8%
Brent Barry,34.8,SAS,Wing,209,52,0.5%,26,0.9%,70,3.1%,44,2.0%,37,9.4%,0,0.0%,37,7.7%
Shane Battier,28.1,HOU,Forward,271,77,1.4%,85,2.1%,54,3.2%,0,0.4%,0,6.0%,92,20.0%,0,0.0%
Raja Bell,30.1,PHX,Wing,437,15,0.2%,41,1.0%,37,3.9%,22,1.6%,7,6.4%,0,0.0%,22,3.4%
Andris Biedrins,20.6,GSW,Big,264,88,3.5%,56,1.4%,49,4.7%,37,7.5%,61,17.8%,76,4.0%,78,41.2%
Chauncey Billups,30.1,DET,Point,647,33,0.2%,33,1.3%,61,2.2%,39,1.3%,56,8.1%,0,0.0%,44,1.6%
Steve Blake,26.7,DEN,Point,179,0,0.0%,17,0.8%,83,1.8%,11,0.6%,22,6.3%,0,0.0%,0,0.0%
Josh Boone,21.9,BKN,Big,103,56,1.6%,15,0.5%,15,6.7%,39,7.7%,22,12.4%,0,0.0%,0,0.0%
Carlos Boozer,24.9,UTA,Big,651,5,0.4%,49,1.2%,95,2.8%,51,9.0%,93,23.6%,83,7.7%,71,35.8%
Chris Bosh,22.6,TOR,Big,222,80,2.8%,37,0.9%,68,3.7%,2,3.6%,88,21.9%,0,0.0%,88,45.5%
Bruce Bowen,35.4,SAS,Wing,684,19,0.3%,85,2.0%,44,3.7%,30,1.7%,33,8.6%,81,3.6%,96,34.1%
Kwame Brown,24.6,LAL,Big,132,54,1.6%,2,0.3%,59,4.2%,54,9.1%,10,10.5%,93,12.5%,73,40.0%
P.J. Brown,37.0,CHI,Big,225,10,0.5%,78,1.7%,32,5.8%,22,6.0%,17,12.3%,100,23.5%,61,31.3%
Kobe Bryant,28.2,LAL,Wing,211,48,0.5%,33,1.0%,100,1.0%,0,0.5%,67,13.4%,0,0.0%,0,0.0%
Jose Calderon,25.1,TOR,Point,138,0,0.0%,56,1.8%,28,3.6%,56,1.7%,28,6.8%,0,0.0%,0,0.0%
