Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
LaMarcus Aldridge,23.3,POR,Big,236,100,-18.3%,3,+15.0%,87,-11.6%,92,-10.0%,98,-11.6%,97,-43.3%,100,-37.9%,100,-41.7%
Ray Allen,33.3,BOS,Wing,564,18,+3.6%,9,+11.0%,7,+17.4%,42,+3.0%,11,+9.1%,81,-13.8%,79,-5.8%,88,-8.3%
Rafer Alston,32.3,ORL,Point,739,63,-0.7%,16,+8.5%,78,-6.6%,65,-2.1%,81,-3.6%,72,-9.4%,72,-4.0%,76,-5.7%
Chris Andersen,30.3,DEN,Big,317,84,-3.7%,96,-15.6%,44,+2.7%,76,-4.6%,60,-0.9%,45,+1.8%,40,+2.1%,41,+2.5%
Carmelo Anthony,24.4,DEN,Forward,610,20,+3.6%,6,+12.7%,91,-14.5%,15,+8.4%,68,-1.6%,41,+2.3%,53,+0.0%,42,+1.1%
Trevor Ariza,23.3,LAL,Wing,720,49,+0.5%,47,+0.1%,84,-10.3%,19,+5.9%,56,-0.6%,41,+2.4%,52,+0.2%,46,+0.7%
J.J. Barea,24.4,DAL,Combo,207,78,-2.8%,41,+2.1%,69,-3.7%,68,-2.8%,79,-3.2%,97,-41.8%,23,+5.8%,73,-5.4%
Brandon Bass,23.5,DAL,Big,186,30,+2.0%,41,+1.6%,54,0.0%,98,-14.4%,93,-8.2%,19,+13.0%,16,+9.8%,11,+10.5%
Tony Battie,32.7,ORL,Big,124,50,+0.3%,34,+3.6%,67,-3.2%,26,+5.1%,38,+2.0%,34,+4.1%,77,-5.0%,68,-3.5%
Shane Battier,30.1,HOU,Wing,495,68,-1.1%,64,-2.8%,47,+2.0%,61,-1.9%,55,-0.5%,42,+2.0%,24,+5.5%,28,+4.9%
Michael Beasley,19.8,MIA,Big,163,57,-0.2%,63,-2.7%,89,-12.6%,27,+5.0%,80,-3.6%,18,+13.3%,73,-4.8%,44,+1.1%
Mike Bibby,30.5,ATL,Point,387,17,+3.7%,50,-0.6%,91,-13.5%,10,+12.6%,24,+4.2%,55,-1.4%,13,+11.5%,15,+9.0%
Chauncey Billups,32.1,DEN,Combo,616,24,+3.4%,12,+9.3%,84,-10.6%,13,+10.0%,62,-1.0%,44,+1.8%,18,+8.9%,28,+4.9%
Steve Blake,28.7,POR,Point,229,72,-1.7%,5,+13.9%,18,+9.5%,90,-9.1%,70,-1.7%,94,-29.5%,86,-7.9%,95,-11.4%
Carlos Boozer,26.9,UTA,Big,185,1,+11.5%,80,-7.1%,4,+20.6%,0,+29.4%,0,+24.4%,46,+1.7%,21,+7.2%,17,+6.9%
Bruce Bowen,37.4,SAS,Wing,122,86,-4.0%,71,-4.6%,99,-25.4%,80,-6.1%,99,-13.4%,5,+27.2%,61,-1.8%,18,+6.7%
Ronnie Brewer,23.6,UTA,Wing,157,13,+4.8%,35,+3.0%,17,+10.0%,1,+29.2%,3,+19.6%,89,-25.0%,76,-4.8%,89,-8.4%
Aaron Brooks,23.8,HOU,Combo,438,37,+1.7%,65,-2.9%,8,+16.2%,63,-2.0%,17,+5.8%,35,+3.8%,90,-9.2%,74,-5.5%
Shannon Brown,22.9,LAL,Point,260,74,-2.1%,66,-3.2%,58,-1.1%,87,-7.2%,84,-5.1%,16,+14.1%,55,-0.4%,39,+3.0%
Kobe Bryant,30.2,LAL,Wing,939,34,+1.8%,33,+3.7%,94,-16.2%,66,-2.4%,91,-7.5%,37,+3.6%,9,+13.0%,12,+10.5%
Rasual Butler,29.4,NOH,Wing,155,71,-1.6%,15,+8.8%,93,-15.6%,31,+4.3%,66,-1.2%,29,+7.1%,80,-5.9%,72,-4.2%
Andrew Bynum,21.0,LAL,Big,399,52,+0.2%,29,+4.1%,34,+5.3%,78,-5.4%,65,-1.1%,84,-15.8%,29,+4.9%,52,-0.5%
Anthony Carter,33.4,DEN,Point,212,31,+1.9%,82,-8.4%,14,+12.0%,71,-3.2%,25,+4.0%,38,+3.5%,28,+4.9%,29,+4.5%
Mario Chalmers,22.5,MIA,Point,230,11,+5.7%,2,+19.9%,66,-3.0%,93,-10.1%,87,-6.4%,15,+14.6%,34,+3.0%,22,+5.9%
Daequan Cook,21.5,MIA,Wing,142,83,-3.6%,86,-10.7%,65,-2.3%,21,+5.7%,41,+1.8%,74,-10.9%,59,-1.6%,71,-4.2%
Samuel Dalembert,28.5,PHI,Big,133,5,+7.8%,47,+0.2%,32,+5.6%,37,+3.6%,22,+4.6%,53,-0.7%,3,+21.4%,5,+14.5%
Erick Dampier,33.3,DAL,Big,254,56,-0.1%,79,-7.1%,10,+14.8%,9,+13.3%,4,+13.9%,73,-9.8%,57,-1.2%,67,-3.4%
Glen Davis,22.8,BOS,Big,509,22,+3.4%,16,+7.7%,34,+4.7%,45,+2.1%,27,+3.8%,61,-4.5%,39,+2.1%,49,+0.0%
Tim Duncan,32.5,SAS,Big,163,15,+4.3%,97,-20.6%,31,+5.9%,48,+1.0%,33,+3.0%,9,+18.5%,4,+20.4%,0,+20.8%
Maurice Evans,30.0,ATL,Wing,244,16,+4.2%,19,+7.3%,13,+12.4%,49,+0.6%,28,+3.7%,12,+17.4%,60,-1.7%,40,+2.5%
Jordan Farmar,21.9,LAL,Point,246,61,-0.5%,53,-1.2%,16,+10.9%,40,+3.4%,16,+6.8%,70,-8.6%,87,-8.1%,87,-8.1%
Rudy Fernandez,23.6,POR,Wing,158,65,-0.9%,51,-1.1%,79,-7.3%,97,-14.4%,97,-11.2%,3,+31.0%,22,+7.0%,7,+12.9%
