Player,Age,Team,Pos,MIN,FT% Rank,FT%,SFLD% Rank,SFLD%,FFLD% Rank,FFLD%,AND1% Rank,AND1%
Arron Afflalo,26.0,DEN,Wing,2077,59,79.8%,82,12.3%,46,1.1%,51,20.0%
Solomon Alabi,23.6,TOR,Big,105,0,87.5%,45,12.5%,25,0.9%,0,0.0%
LaMarcus Aldridge,26.3,POR,Big,1987,93,81.4%,44,12.3%,86,2.3%,69,23.4%
Lavoy Allen,22.7,PHI,Big,569,0,83.3%,4,3.8%,54,1.4%,91,33.3%
Ray Allen,36.3,BOS,Wing,1558,99,91.5%,34,6.6%,78,1.5%,82,26.5%
Tony Allen,29.8,MEM,Wing,1523,60,80.0%,94,15.5%,56,1.2%,54,20.3%
Al-Farouq Aminu,21.1,NOP,Forward,1436,51,76.4%,69,13.4%,67,1.5%,79,24.5%
Lou Amundson,28.9,IND,Big,650,9,48.2%,57,13.8%,57,1.5%,30,15.4%
Chris Andersen,33.3,DEN,Big,481,21,60.0%,94,23.3%,93,2.7%,32,16.1%
Alan Anderson,29.0,TOR,Wing,450,89,87.5%,52,8.6%,78,1.5%,70,23.1%
James Anderson,22.6,SAS,Wing,512,42,77.5%,78,11.7%,14,0.5%,12,10.5%
Ryan Anderson,23.5,ORL,Big,1956,98,87.6%,22,9.0%,31,1.0%,63,21.9%
Carmelo Anthony,27.4,NYK,Forward,1871,74,80.4%,71,13.4%,96,2.8%,42,19.6%
Joel Anthony,29.2,MIA,Big,1342,53,69.0%,84,18.6%,8,0.6%,14,8.8%
Gilbert Arenas,29.8,MEM,Point,210,0,70.0%,27,5.9%,8,0.9%,0,0.0%
Trevor Ariza,26.3,NOP,Wing,1346,41,77.5%,66,10.3%,67,1.3%,51,20.0%
Omer Asik,25.3,CHI,Big,874,8,47.7%,95,25.9%,70,1.7%,68,23.3%
D.J. Augustin,24.0,CHA,Point,1404,93,87.5%,52,7.5%,66,1.9%,27,13.2%
Gustavo Ayon,26.6,NOP,Big,1042,32,63.8%,30,10.0%,42,1.2%,91,33.3%
Luke Babbitt,22.4,POR,Forward,468,0,78.6%,10,2.6%,27,0.8%,0,0.0%
Leandro Barbosa,28.9,IND,Wing,413,33,75.8%,45,8.1%,47,1.1%,91,33.3%
Leandro Barbosa,28.9,TOR,Combo,925,63,83.5%,49,7.8%,40,1.3%,76,25.0%
J.J. Barea,27.3,MIN,Point,1022,19,77.6%,72,9.7%,48,1.6%,36,18.6%
Andrea Bargnani,26.0,TOR,Forward,1030,100,87.3%,85,14.5%,98,2.9%,40,19.0%
Matt Barnes,31.6,LAL,Wing,1429,30,74.2%,76,11.6%,54,1.2%,34,16.7%
Brandon Bass,26.5,BOS,Big,1850,92,81.1%,32,10.2%,43,1.2%,24,12.9%
Tony Battie,35.7,PHI,Big,286,0,100.0%,2,2.0%,20,0.8%,0,0.0%
Shane Battier,33.1,MIA,Wing,1451,8,62.2%,5,2.1%,44,1.0%,34,16.7%
Nicolas Batum,22.9,POR,Wing,1747,80,84.6%,61,9.6%,92,1.8%,70,23.1%
Jerryd Bayless,23.2,TOR,Combo,684,74,85.2%,87,11.9%,87,2.2%,13,11.1%
Michael Beasley,22.8,MIN,Forward,1043,9,63.6%,35,8.7%,33,0.9%,50,20.5%
Rodrigue Beaubois,23.7,DAL,Combo,1069,69,84.4%,29,6.4%,78,2.0%,87,28.6%
Marco Belinelli,25.6,NOP,Combo,1944,43,81.1%,27,6.1%,36,1.3%,82,25.6%
Raja Bell,35.1,UTA,Wing,794,0,84.0%,10,3.4%,66,1.3%,91,33.3%
Mike Bibby,33.5,NYK,Point,522,0,75.0%,2,0.8%,9,0.9%,0,0.0%
Andris Biedrins,25.6,GSW,Big,737,0,11.1%,13,7.4%,2,0.4%,53,20.0%
Chauncey Billups,35.1,LAC,Combo,605,89,89.5%,78,10.7%,98,3.5%,9,7.4%
Bismack Biyombo,19.2,CHA,Big,1377,12,50.0%,86,19.9%,66,1.7%,66,23.0%
DeJuan Blair,22.5,SAS,Big,1319,20,59.6%,25,9.4%,52,1.4%,73,24.5%
Steve Blake,31.7,LAL,Point,1234,21,77.8%,6,2.3%,13,0.9%,0,0.0%
Andray Blatche,25.2,WAS,Big,623,46,67.3%,21,8.7%,57,1.5%,37,17.4%
Eric Bledsoe,21.9,LAC,Combo,431,3,63.6%,96,15.6%,38,1.3%,51,19.0%
Andrew Bogut,26.9,MIL,Big,363,0,60.9%,15,7.7%,96,2.9%,84,27.3%
Matt Bonner,31.6,SAS,Big,1299,0,76.2%,1,1.7%,32,1.0%,0,0.0%
Trevor Booker,23.9,WAS,Big,1243,22,60.2%,42,11.6%,65,1.6%,89,31.0%
Carlos Boozer,29.9,CHI,Big,1946,57,69.9%,17,8.0%,11,0.7%,58,20.8%
Chris Bosh,27.6,MIA,Big,1977,94,81.9%,66,15.0%,61,1.5%,50,19.3%
Earl Boykins,35.4,HOU,Point,110,0,86.7%,56,8.1%,95,3.0%,0,0.0%
Avery Bradley,20.9,BOS,Combo,1300,46,81.2%,56,8.1%,31,1.3%,29,15.2%
Elton Brand,32.6,PHI,Big,1728,68,73.3%,32,10.2%,28,1.0%,75,25.0%
Corey Brewer,25.7,DEN,Wing,1245,18,68.5%,75,11.4%,38,0.9%,31,16.1%
Ronnie Brewer,26.6,CHI,Wing,1585,1,56.3%,59,9.5%,24,0.7%,23,14.0%
