Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
LaMarcus Aldridge,23.3,POR,Big,236,88,24.1%,38,105.4,45,7.0%,28,0.29,88,9.0%
Ray Allen,33.3,BOS,Wing,564,58,19.7%,67,111.8,55,10.7%,52,0.54,64,10.4%
Rafer Alston,32.3,ORL,Point,739,65,23.4%,24,94.6,35,22.4%,29,0.95,88,11.0%
Chris Andersen,30.3,DEN,Big,317,10,10.3%,90,127.1,30,4.1%,45,0.40,70,11.0%
Carmelo Anthony,24.4,DEN,Forward,610,90,31.2%,70,114.2,80,19.2%,60,0.61,60,8.9%
Trevor Ariza,23.3,LAL,Wing,720,39,15.8%,85,121.5,58,11.8%,76,0.74,18,15.5%
J.J. Barea,24.4,DAL,Combo,207,50,21.7%,33,100.0,67,20.9%,58,0.96,100,5.5%
Brandon Bass,23.5,DAL,Big,186,57,17.8%,85,126.0,48,7.2%,48,0.40,95,5.8%
Tony Battie,32.7,ORL,Big,124,38,15.6%,5,91.1,13,2.9%,10,0.19,100,5.0%
Shane Battier,30.1,HOU,Wing,495,6,10.7%,79,116.7,45,9.8%,85,0.92,33,13.9%
Michael Beasley,19.8,MIA,Big,163,98,28.5%,0,83.9,80,10.3%,40,0.36,75,10.6%
Mike Bibby,30.5,ATL,Point,387,29,18.3%,100,128.8,41,22.7%,65,1.24,24,16.4%
Chauncey Billups,32.1,DEN,Combo,616,75,23.3%,100,135.8,92,27.8%,100,1.19,42,9.9%
Steve Blake,28.7,POR,Point,229,18,16.0%,94,122.9,71,26.4%,94,1.66,65,12.8%
Carlos Boozer,26.9,UTA,Big,185,83,22.7%,68,115.7,85,11.6%,65,0.51,28,15.4%
Bruce Bowen,37.4,SAS,Wing,122,0,5.3%,94,138.5,3,2.2%,24,0.42,21,15.4%
Ronnie Brewer,23.6,UTA,Wing,157,52,18.8%,6,91.1,67,13.3%,67,0.71,6,16.8%
Aaron Brooks,23.8,HOU,Combo,438,83,24.9%,75,116.1,50,17.4%,17,0.70,25,12.9%
Shannon Brown,22.9,LAL,Point,260,24,16.1%,76,111.0,0,7.3%,0,0.45,100,8.6%
Kobe Bryant,30.2,LAL,Wing,939,94,34.4%,76,114.5,91,26.0%,79,0.75,85,8.4%
Rasual Butler,29.4,NOP,Wing,155,12,12.5%,91,132.5,0,1.3%,0,0.10,24,14.6%
Andrew Bynum,21.0,LAL,Big,399,55,17.5%,20,100.0,28,4.0%,18,0.23,48,12.7%
Anthony Carter,33.4,DEN,Point,212,0,14.4%,0,88.0,24,20.4%,71,1.41,35,15.7%
Mario Chalmers,22.5,MIA,Point,230,35,18.8%,29,96.2,47,22.8%,59,1.21,0,20.5%
Daequan Cook,21.5,MIA,Wing,142,21,13.8%,9,92.1,15,5.4%,18,0.39,39,12.8%
