Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Quincy Acy,23.1,SAC,Big,744,42,1.6%,48,1.1%,16,6.2%,50,8.9%,30,15.4%,44,3.1%,51,27.2%
Steven Adams,20.3,OKC,Big,1115,71,2.5%,68,1.4%,13,6.4%,96,13.0%,25,15.0%,30,1.7%,58,29.5%
Jeff Adrien,27.7,CHA,Big,226,90,3.5%,36,0.9%,30,5.5%,85,11.6%,75,20.3%,80,6.5%,99,55.6%
Jeff Adrien,27.7,MIL,Big,676,44,1.6%,51,1.1%,60,4.2%,71,10.5%,81,21.0%,88,7.4%,91,44.7%
Arron Afflalo,28.0,ORL,Wing,2543,3,0.1%,4,0.6%,93,2.1%,16,1.4%,41,9.4%,0,0.0%,41,6.9%
Alexis Ajinca,25.5,NOP,Big,934,72,2.6%,49,1.1%,3,8.3%,81,11.1%,64,18.5%,37,2.6%,85,38.8%
Cole Aldrich,25.0,NYK,Big,210,100,6.0%,32,0.9%,36,5.2%,91,12.2%,95,25.1%,0,0.0%,98,54.5%
LaMarcus Aldridge,28.3,POR,Big,2496,37,1.4%,49,1.1%,98,2.1%,29,6.7%,88,22.7%,53,4.2%,71,32.2%
Lavoy Allen,24.7,PHI,Big,905,40,1.5%,38,1.0%,50,4.8%,64,9.9%,51,17.2%,96,9.6%,53,27.4%
Ray Allen,38.3,MIA,Wing,1897,18,0.2%,52,1.3%,73,2.6%,21,1.5%,64,10.9%,0,0.0%,12,2.0%
Tony Allen,31.8,MEM,Wing,1271,76,0.8%,100,3.2%,18,4.0%,97,6.9%,56,10.4%,62,1.2%,87,20.3%
Al-Farouq Aminu,23.1,NOP,Forward,2032,61,1.0%,75,1.8%,73,2.9%,91,6.5%,100,19.2%,66,3.7%,32,15.6%
Lou Amundson,30.9,NOP,Big,165,88,3.3%,92,2.0%,0,10.9%,99,15.1%,16,14.0%,81,6.7%,29,21.4%
Chris Andersen,35.3,MIA,Big,1368,94,3.9%,50,1.1%,42,5.0%,81,11.0%,58,18.1%,68,5.0%,74,33.8%
Alan Anderson,31.0,BKN,Wing,1622,34,0.4%,31,1.1%,23,3.9%,50,2.2%,18,8.2%,78,2.1%,32,5.1%
James Anderson,24.6,PHI,Wing,2289,64,0.6%,56,1.3%,79,2.6%,58,2.5%,68,11.3%,0,0.0%,21,3.5%
Ryan Anderson,25.5,NOP,Big,778,5,0.5%,4,0.5%,98,2.5%,47,8.4%,1,9.4%,82,6.8%,15,16.0%
Giannis Antetokounmpo,18.9,MIL,Forward,1796,91,1.7%,43,1.4%,45,3.7%,57,4.3%,52,13.5%,50,2.4%,41,17.4%
Carmelo Anthony,29.4,NYK,Forward,2971,55,0.9%,55,1.5%,70,2.9%,66,4.8%,89,16.8%,91,7.9%,59,23.8%
Joel Anthony,31.2,BOS,Big,128,78,2.8%,45,1.0%,78,3.5%,47,8.4%,1,9.3%,98,12.5%,6,12.5%
Pero Antic,31.3,ATL,Big,898,11,0.7%,35,0.9%,32,5.5%,21,6.2%,54,17.5%,94,9.4%,9,13.0%
Trevor Ariza,28.3,WAS,Wing,2715,40,0.4%,89,2.1%,75,2.6%,79,3.8%,89,13.2%,83,2.6%,99,34.3%
Darrell Arthur,25.6,DEN,Big,1143,58,2.2%,75,1.5%,15,6.3%,8,4.5%,12,13.0%,57,4.4%,5,10.8%
Omer Asik,27.3,HOU,Big,929,54,2.0%,16,0.7%,78,3.4%,83,11.2%,99,27.0%,32,1.9%,61,30.0%
D.J. Augustin,26.0,CHI,Point,1813,10,0.1%,31,1.3%,39,3.3%,5,0.8%,7,6.0%,0,0.0%,76,5.8%
Gustavo Ayon,28.6,ATL,Big,401,32,1.3%,99,2.7%,65,4.1%,65,10.0%,73,19.8%,74,5.6%,100,66.7%
Jeff Ayres,26.5,SAS,Big,855,40,1.5%,6,0.5%,19,6.0%,78,10.9%,40,16.3%,39,2.8%,70,31.9%
Chris Babb,23.7,BOS,Wing,106,0,0.0%,99,2.6%,4,5.2%,63,2.7%,61,10.8%,100,11.1%,0,0.0%
Luke Babbitt,24.4,NOP,Big,453,38,1.4%,12,0.6%,41,5.0%,6,4.1%,35,15.7%,78,6.3%,19,17.6%
Leandro Barbosa,30.9,PHX,Combo,366,81,0.6%,7,0.8%,65,3.2%,37,1.4%,54,8.6%,0,0.0%,54,3.7%
J.J. Barea,29.3,MIN,Combo,1413,0,0.0%,5,0.7%,54,3.4%,18,1.1%,77,10.0%,0,0.0%,35,2.4%
Andrea Bargnani,28.0,NYK,Big,1252,65,2.4%,5,0.5%,88,3.2%,13,5.1%,15,13.8%,98,11.3%,11,14.3%
Harrison Barnes,21.4,GSW,Forward,2097,9,0.5%,36,1.2%,68,2.9%,27,3.1%,25,10.9%,20,0.9%,27,14.9%
Matt Barnes,33.6,LAC,Forward,1701,48,0.8%,41,1.4%,20,4.5%,39,3.5%,43,12.1%,77,5.5%,36,16.4%
Will Barton,22.8,POR,Wing,310,89,1.1%,24,1.0%,45,3.3%,70,3.1%,91,13.5%,0,0.0%,66,10.5%
Brandon Bass,28.5,BOS,Big,2263,46,1.7%,18,0.7%,83,3.4%,32,7.2%,19,14.1%,49,3.8%,24,19.5%
Shane Battier,35.1,MIA,Wing,1456,96,1.5%,72,1.6%,20,4.0%,66,2.7%,6,6.8%,95,3.5%,89,21.0%
Nicolas Batum,24.9,POR,Wing,2951,88,1.0%,33,1.1%,93,2.1%,81,3.9%,98,15.5%,93,3.4%,98,30.3%
Jerryd Bayless,25.2,BOS,Combo,1009,32,0.2%,60,1.7%,53,3.5%,28,1.3%,32,7.7%,95,2.6%,53,3.5%
Jerryd Bayless,25.2,MEM,Combo,640,63,0.4%,42,1.4%,14,4.9%,33,1.3%,53,8.6%,0,0.0%,37,2.9%
Aron Baynes,26.9,SAS,Big,381,5,0.4%,1,0.1%,11,7.0%,96,13.3%,68,19.0%,81,6.7%,25,20.0%
Kent Bazemore,24.3,GSW,Wing,190,95,1.5%,61,1.4%,0,8.3%,19,1.5%,97,15.4%,0,0.0%,62,10.0%
Kent Bazemore,24.3,LAL,Wing,609,61,0.6%,74,1.7%,19,4.0%,3,0.9%,75,11.9%,0,0.0%,0,0.0%
Bradley Beal,20.3,WAS,Wing,2516,38,0.4%,51,1.3%,69,2.7%,49,2.2%,38,9.1%,74,1.7%,42,7.0%
Michael Beasley,24.8,MIA,Big,746,33,1.3%,65,1.3%,39,5.1%,9,4.6%,56,17.6%,37,2.6%,44,25.6%
Marco Belinelli,27.6,SAS,Wing,1942,14,0.2%,32,1.1%,64,2.7%,7,1.0%,55,10.4%,59,1.1%,49,8.3%
Anthony Bennett,20.6,CLE,Big,590,9,0.6%,76,1.5%,33,5.3%,26,6.6%,25,14.9%,63,4.7%,33,22.5%
Patrick Beverley,25.3,HOU,Combo,1741,84,0.7%,88,2.0%,33,4.1%,100,4.7%,12,6.9%,0,0.0%,79,6.8%
Chauncey Billups,37.1,DET,Combo,298,28,0.2%,21,1.2%,63,3.2%,35,1.4%,51,8.5%,0,0.0%,0,0.0%
Bismack Biyombo,21.2,CHA,Big,987,96,4.1%,2,0.3%,48,4.9%,67,10.1%,88,22.9%,29,1.7%,77,35.7%
DeJuan Blair,24.5,DAL,Big,1183,19,1.0%,94,2.1%,12,6.7%,88,12.0%,70,19.2%,68,4.9%,53,27.8%
Steve Blake,33.7,GSW,Combo,542,79,0.6%,51,1.6%,75,2.8%,9,0.9%,47,8.5%,0,0.0%,51,3.3%
Steve Blake,33.7,LAL,Combo,875,16,0.1%,63,1.7%,84,2.5%,5,0.9%,84,10.7%,0,0.0%,63,4.8%
