Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,TEAM FG%: Rim Rank,TEAM FG%: Rim,TEAM FG%: Short Mid Rank,TEAM FG%: Short Mid,TEAM FG%: Long Mid Rank,TEAM FG%: Long Mid,TEAM FG%: All Mid Rank,TEAM FG%: All Mid,TEAM FG%: Corner Three Rank,TEAM FG%: Corner Three,TEAM FG%: Non Corner Rank,TEAM FG%: Non Corner,TEAM FG%: All Three Rank,TEAM FG%: All Three
Ray Allen,37.3,MIA,Wing,565,60,-1.6%,49,-0.2%,50,+0.4%,57,-0.9%,49,-0.0%,52,-1.1%,66,-4.3%,71,-3.8%
Tony Allen,30.8,MEM,Wing,420,71,-3.4%,96,-11.8%,34,+2.6%,87,-9.2%,76,-3.4%,50,-0.8%,17,+9.3%,18,+6.8%
Chris Andersen,34.3,MIA,Big,298,78,-4.0%,64,-3.0%,32,+3.2%,46,+0.9%,28,+2.9%,93,-19.6%,71,-5.2%,89,-9.1%
Carmelo Anthony,28.4,NYK,Forward,480,4,+8.7%,8,+12.3%,22,+6.7%,13,+7.8%,7,+7.1%,27,+8.3%,37,+1.8%,30,+3.8%
Darrell Arthur,24.6,MEM,Big,173,45,+0.8%,13,+9.5%,87,-12.1%,13,+7.7%,66,-2.6%,61,-4.4%,61,-2.4%,69,-3.7%
Omer Asik,26.3,HOU,Big,207,100,-15.0%,87,-8.5%,98,-18.1%,89,-9.6%,97,-14.6%,94,-20.6%,85,-9.4%,99,-12.1%
D.J. Augustin,25.0,IND,Point,308,8,+7.6%,28,+4.4%,18,+7.5%,27,+4.4%,15,+5.7%,68,-6.0%,6,+13.3%,14,+8.7%
Harrison Barnes,20.4,GSW,Wing,459,56,-1.2%,56,-1.8%,80,-8.0%,7,+11.4%,45,+0.4%,84,-11.3%,32,+3.7%,45,-0.3%
Matt Barnes,32.6,LAC,Wing,160,88,-5.8%,93,-10.1%,40,+1.7%,97,-17.3%,92,-7.7%,67,-5.9%,1,+20.6%,8,+11.5%
Brandon Bass,27.5,BOS,Big,201,23,+3.2%,10,+11.4%,61,-2.6%,99,-21.4%,97,-15.0%,9,+19.3%,8,+11.6%,3,+13.4%
Shane Battier,34.1,MIA,Forward,375,59,-1.4%,35,+2.6%,38,+2.2%,85,-7.9%,60,-1.8%,75,-7.8%,50,-0.8%,59,-2.2%
Jerryd Bayless,24.2,MEM,Combo,313,18,+4.4%,13,+9.5%,24,+5.5%,26,+4.6%,18,+5.0%,58,-2.9%,79,-7.9%,82,-6.8%
Marco Belinelli,26.6,CHI,Wing,314,12,+5.6%,26,+5.3%,11,+11.2%,41,+2.0%,16,+5.4%,81,-10.3%,11,+10.7%,32,+3.6%
Patrick Beverley,24.3,HOU,Point,191,27,+2.9%,40,+2.1%,97,-17.1%,11,+8.9%,67,-2.7%,86,-13.4%,16,+9.3%,24,+5.2%
Chauncey Billups,36.1,LAC,Wing,115,11,+5.7%,12,+9.8%,71,-5.2%,3,+15.9%,17,+5.4%,5,+23.7%,94,-16.5%,66,-3.2%
Andray Blatche,26.2,BKN,Big,138,46,+0.7%,34,+3.1%,33,+3.0%,20,+5.6%,26,+3.7%,45,+2.2%,91,-13.1%,94,-10.0%
Andrew Bogut,27.9,GSW,Big,326,67,-2.5%,98,-14.0%,23,+6.2%,3,+12.3%,3,+8.8%,46,+1.4%,65,-4.0%,61,-2.5%
Matt Bonner,32.6,SAS,Big,249,35,+2.0%,23,+6.1%,26,+4.6%,29,+4.1%,22,+4.3%,66,-5.6%,72,-5.8%,80,-6.4%
Carlos Boozer,30.9,CHI,Big,430,17,+4.5%,38,+2.5%,84,-10.6%,10,+10.4%,34,+1.6%,62,-4.6%,14,+9.4%,29,+4.6%
Chris Bosh,28.6,MIA,Big,747,33,+2.2%,51,-0.5%,44,+1.4%,51,-0.3%,47,+0.2%,14,+16.2%,38,+1.5%,28,+4.6%
Avery Bradley,21.9,BOS,Combo,189,65,-2.1%,82,-6.7%,82,-9.1%,25,+4.6%,51,-0.3%,24,+10.3%,47,-0.5%,35,+3.2%
Corey Brewer,26.7,DEN,Wing,145,10,+6.0%,6,+13.6%,13,+9.7%,88,-9.4%,52,-0.4%,3,+25.5%,52,-0.9%,15,+7.6%
