Player,Age,Team,Pos,MIN,BLK% Rank,BLK%,STL% Rank,STL%,FOUL% Rank,FOUL%,fgOR% Rank,fgOR%,fgDR% Rank,fgDR%,ftOR% Rank,ftOR%,ftDR% Rank,ftDR%
Arron Afflalo,26.0,DEN,Wing,2077,28,0.3%,7,0.8%,69,2.5%,38,2.1%,16,7.3%,56,0.7%,58,11.6%
Solomon Alabi,23.6,TOR,Big,105,91,4.0%,27,0.9%,48,4.5%,98,14.1%,87,21.2%,0,0.0%,96,50.0%
LaMarcus Aldridge,26.3,POR,Big,1987,29,1.3%,52,1.2%,88,3.1%,39,8.0%,30,15.1%,53,3.3%,29,23.0%
Lavoy Allen,22.7,PHI,Big,569,47,1.8%,16,0.8%,19,5.9%,37,7.9%,75,19.8%,64,4.3%,57,30.4%
Ray Allen,36.3,BOS,Wing,1558,20,0.3%,63,1.5%,85,2.2%,8,1.1%,35,8.6%,0,0.0%,9,2.5%
Tony Allen,29.8,MEM,Wing,1523,93,1.2%,100,3.1%,16,3.9%,97,7.1%,41,9.0%,0,0.0%,68,14.7%
Al-Farouq Aminu,21.1,NOP,Forward,1436,77,1.3%,81,1.9%,33,3.8%,92,7.6%,73,14.9%,40,1.2%,25,13.1%
Lou Amundson,28.9,IND,Big,650,83,3.3%,86,1.7%,6,7.1%,93,12.9%,52,16.7%,77,6.0%,32,23.4%
Chris Andersen,33.3,DEN,Big,481,98,4.9%,82,1.7%,46,4.5%,76,10.9%,65,18.5%,45,2.8%,78,36.4%
Alan Anderson,29.0,TOR,Wing,450,34,0.4%,2,0.5%,31,3.5%,34,1.9%,6,6.1%,0,0.0%,15,3.0%
James Anderson,22.6,SAS,Wing,512,12,0.2%,1,0.5%,88,2.1%,54,2.7%,57,10.3%,0,0.0%,0,0.0%
Ryan Anderson,23.5,ORL,Big,1956,12,0.7%,50,1.2%,81,3.3%,86,11.8%,14,12.9%,81,6.6%,27,22.9%
Carmelo Anthony,27.4,NYK,Forward,1871,25,0.7%,54,1.5%,54,3.0%,50,4.5%,56,13.9%,100,8.9%,38,15.4%
Joel Anthony,29.2,MIA,Big,1342,84,3.4%,61,1.2%,60,4.1%,53,8.9%,5,10.7%,0,0.0%,15,18.8%
Gilbert Arenas,29.8,MEM,Point,210,50,0.3%,84,2.4%,0,7.3%,13,1.0%,53,8.7%,0,0.0%,0,0.0%
Trevor Ariza,26.3,NOP,Wing,1346,87,1.0%,95,2.4%,84,2.2%,69,3.3%,88,13.0%,81,2.8%,96,26.4%
Omer Asik,25.3,CHI,Big,874,90,3.9%,75,1.5%,24,5.6%,96,13.5%,78,20.4%,94,10.3%,20,21.2%
D.J. Augustin,24.0,CHA,Point,1404,13,0.0%,19,1.2%,95,1.6%,53,1.8%,11,6.4%,0,0.0%,58,3.1%
Gustavo Ayon,26.6,NOP,Big,1042,65,2.4%,98,2.3%,39,4.7%,45,8.7%,45,16.0%,89,8.2%,67,31.8%
Luke Babbitt,22.4,POR,Forward,468,6,0.3%,4,0.8%,27,4.0%,25,2.8%,58,14.1%,0,0.0%,0,0.0%
Leandro Barbosa,28.9,IND,Wing,413,0,0.0%,80,1.9%,49,3.0%,60,2.9%,25,8.1%,0,0.0%,66,13.5%
Leandro Barbosa,28.9,TOR,Combo,925,53,0.4%,56,1.6%,11,4.3%,67,2.3%,11,6.3%,82,1.7%,51,2.8%
J.J. Barea,27.3,MIN,Point,1022,0,0.0%,8,0.9%,80,2.3%,36,1.4%,73,9.6%,0,0.0%,64,3.6%
