Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Precious Achiuwa,23.1,TOR,Big,1113,22,52.4%,28,56.1%,17,28.2%,33,68.1%,64,70%,68,63%,54,71%,18,100%
Steven Adams,29.3,MEM,Big,1132,62,59.7%,52,59.9%,0,0.0%,1,35.9%,95,50%,95,49%,82,57%,0,0%
Bam Adebayo,25.3,MIA,Big,2594,28,54.3%,24,54.6%,0,11.1%,83,80.5%,88,60%,63,64%,81,57%,18,100%
Ochai Agbaji,22.5,UTA,Combo,1159,67,54.4%,64,52.7%,54,36.9%,71,84.6%,3,88%,6,75%,2,80%,8,99%
Santi Aldama,21.8,MEM,Big,1625,42,56.5%,44,59.1%,58,35.9%,67,76.4%,32,79%,49,68%,56,71%,82,97%
Nickeil Alexander-Walker,24.2,MIN,Wing,353,27,50.4%,10,43.1%,55,37.1%,0,61.9%,59,67%,81,46%,95,22%,52,92%
Nickeil Alexander-Walker,24.2,UTA,Combo,486,93,59.2%,87,56.8%,86,41.0%,6,65.7%,67,46%,67,35%,84,21%,83,69%
Grayson Allen,27.1,MIL,Wing,1968,79,57.3%,50,52.1%,74,40.0%,93,90.5%,36,77%,48,60%,33,62%,71,88%
Jarrett Allen,24.5,CLE,Big,2212,85,64.7%,84,65.5%,0,10.0%,52,73.3%,40,77%,25,76%,33,82%,18,100%
Jose Alvarado,24.6,NOP,Point,1285,35,50.0%,39,48.9%,33,33.8%,37,80.3%,13,61%,24,38%,22,37%,7,95%
Kyle Anderson,29.1,MIN,Forward,1954,59,55.1%,52,53.5%,89,41.6%,34,73.1%,83,58%,79,52%,69,50%,59,95%
Giannis Antetokounmpo,27.9,MIL,Big,2021,47,57.2%,50,59.5%,16,27.8%,21,64.4%,99,43%,99,42%,95,40%,99,62%
Thanasis Antetokounmpo,30.3,MIL,Big,113,1,40.6%,11,50.0%,0,0.0%,0,58.3%,15,85%,12,80%,1,100%,0,0%
Cole Anthony,22.5,ORL,Point,1524,52,51.8%,46,50.0%,51,36.6%,89,89.7%,52,38%,28,36%,61,20%,48,74%
OG Anunoby,25.3,TOR,Wing,2385,67,55.7%,63,53.9%,67,38.8%,67,84.3%,53,70%,41,62%,64,44%,39,96%
Ryan Arcidiacono,28.6,POR,Point,127,0,34.5%,0,8.3%,44,35.3%,0,0.0%,0,86%,0,0%,0,100%,26,83%
Deni Avdija,21.8,WAS,Forward,1998,22,49.4%,46,53.1%,16,30.1%,38,74.1%,72,65%,62,58%,82,38%,65,94%
Deandre Ayton,24.3,PHX,Big,2033,59,59.3%,50,59.7%,19,29.2%,66,76.0%,33,79%,27,75%,32,83%,96,86%
