Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,2P% Rank,2P%,3P% Rank,3P%,FT% Rank,FT%,ASTD% All Rank,ASTD% All,ASTD% Rim Rank,ASTD% Rim,ASTD% Mid Rank,ASTD% Mid,ASTD% Three Rank,ASTD% Three
Quincy Acy,25.1,SAC,Big,843,89,59.1%,90,60.4%,61,36.4%,51,72.6%,43,74%,46,68%,33,79%,87,94%
Steven Adams,22.3,OKC,Big,1999,93,61.4%,92,61.4%,0,0.0%,18,58.9%,30,76%,27,74%,20,85%,0,0%
Arron Afflalo,30.0,NYK,Wing,2354,55,50.2%,47,46.9%,75,38.5%,70,83.6%,71,60%,66,48%,48,49%,58,91%
Alexis Ajinca,27.5,NOP,Big,815,30,48.8%,36,49.0%,0,0.0%,94,84.2%,26,77%,48,67%,23,84%,0,0%
Cole Aldrich,27.0,LAC,Big,704,90,59.2%,87,59.2%,0,0.0%,37,69.4%,33,76%,23,75%,35,78%,0,0%
LaMarcus Aldridge,30.3,SAS,Big,2251,47,51.3%,52,52.0%,0,0.0%,96,85.9%,73,66%,73,59%,52,71%,0,0%
Lavoy Allen,26.7,IND,Big,1558,47,51.4%,48,51.4%,0,0.0%,26,63.9%,59,69%,71,59%,27,83%,0,0%
Tony Allen,33.8,MEM,Wing,1606,31,47.4%,46,46.8%,56,35.7%,5,65.2%,68,60%,53,55%,18,69%,45,93%
Al-Farouq Aminu,25.1,POR,Forward,2337,56,50.6%,37,46.8%,62,36.4%,51,73.7%,44,74%,47,62%,47,55%,65,93%
Lou Amundson,32.9,NYK,Big,171,4,42.1%,5,42.1%,0,0.0%,0,56.0%,61,69%,50,67%,1,100%,0,0%
Chris Andersen,37.3,MEM,Big,361,78,56.5%,90,60.4%,0,22.2%,34,68.8%,44,74%,30,72%,63,67%,47,100%
Alan Anderson,33.0,WAS,Wing,190,38,48.2%,11,40.9%,50,35.3%,0,73.3%,37,71%,98,17%,20,67%,0,100%
James Anderson,26.6,SAC,Wing,690,13,44.1%,61,48.3%,8,26.3%,17,74.1%,63,63%,50,56%,80,33%,75,86%
Justin Anderson,21.9,DAL,Wing,556,19,45.6%,89,54.2%,4,23.8%,23,75.0%,72,59%,67,48%,68,40%,45,93%
Kyle Anderson,22.1,SAS,Forward,1048,40,49.6%,53,48.5%,73,37.9%,53,74.6%,86,56%,51,61%,72,45%,0,100%
Ryan Anderson,27.5,NOP,Big,1965,34,49.8%,25,46.9%,63,36.4%,97,87.0%,85,61%,95,44%,96,46%,88,93%
Giannis Antetokounmpo,20.9,MIL,Forward,2813,70,52.3%,81,53.7%,10,26.9%,47,72.1%,91,50%,82,50%,79,43%,88,82%
Carmelo Anthony,31.4,NYK,Wing,2524,33,47.6%,40,46.3%,40,34.3%,63,82.9%,96,36%,96,25%,88,28%,96,74%
Trevor Ariza,30.3,HOU,Forward,2853,72,52.5%,47,47.8%,69,37.1%,69,78.3%,32,76%,44,63%,58,50%,70,91%
Darrell Arthur,27.6,DEN,Big,1496,39,50.2%,29,47.5%,85,39.1%,63,75.5%,14,83%,42,69%,27,83%,47,100%
Omer Asik,29.3,NOP,Big,1175,61,53.3%,62,53.3%,0,0.0%,12,55.5%,52,71%,36,71%,1,100%,0,0%
D.J. Augustin,28.0,DEN,Point,631,97,55.8%,72,47.9%,98,43.8%,67,80.9%,54,33%,64,21%,84,9%,80,57%
D.J. Augustin,28.0,OKC,Point,471,48,48.6%,0,35.7%,92,41.5%,43,76.5%,13,50%,84,14%,5,33%,44,77%
Luke Babbitt,26.4,NOP,Forward,798,39,49.5%,18,43.9%,83,39.0%,78,80.4%,61,69%,88,45%,39,62%,58,95%
Leandro Barbosa,32.9,GSW,Wing,955,69,52.3%,74,50.4%,73,37.9%,64,83.0%,25,75%,16,73%,37,54%,25,97%
J.J. Barea,31.3,DAL,Point,1601,89,53.0%,80,48.3%,83,40.3%,63,80.0%,64,31%,48,27%,77,12%,75,58%
Andrea Bargnani,30.0,BKN,Big,612,19,46.1%,25,47.1%,0,20.0%,89,82.1%,10,86%,50,67%,16,90%,47,100%
Harrison Barnes,23.4,GSW,Forward,2008,77,52.7%,58,50.0%,75,38.5%,62,76.5%,39,74%,11,76%,51,54%,39,99%
Matt Barnes,35.6,MEM,Forward,2145,28,47.4%,25,45.1%,40,33.1%,80,80.6%,23,77%,39,64%,37,63%,63,94%
